Winner,http://upload.wikimedia.org/wikipedia/commons/6/6e/Kailash_Satyarthi.jpg,Known For,Field,Gender,Place of Birth,Country of Birth,Short Description,Description,Year of Birth,Age of Nobel Win,Universities,Country represented for Nobel Prize,Image,DBpedia Link,Profile
Martin Rodbell,1994 - Medicine / Physiology,"G-proteins, Signal transduction",,Male,"Maryland, United States",United States of America,American Biochemist,"Martin Rodbell (December 1, 1925 – December 7, 1998) was an American biochemist and molecular endocrinologist who is best known for his discovery of G-proteins. He shared the 1994 Nobel Prize in Physiology or Medicine with Alfred G. Gilman for ""their discovery of G-proteins and the role of these proteins in signal transduction in cells.""",1925,69,"Johns Hopkins University, University of Washington",United States of America,http://upload.wikimedia.org/wikipedia/commons/e/e8/Rodbell%2C_Martin_%281925-1998%29.jpg,http://dbpedia.org/page/Martin_Rodbell,http://en.wikipedia.org/wiki/Martin_Rodbell
Alfred G. Gilman,1994 - Medicine / Physiology,G-proteins,,Male,"New Haven, Connecticut, United States",United States of America,American Pharmacologist,"Alfred Goodman Gilman (born July 1, 1941) is an American pharmacologist and biochemist. He shared the 1994 Nobel Prize in Physiology or Medicine with Martin Rodbell for their discoveries regarding G-proteins.",1941,53,Case Western Reserve University,United States of America,,http://dbpedia.org/page/Alfred_G._Gilman,http://en.wikipedia.org/wiki/Alfred_G._Gilman
Yitzhak Rabin,1994 - Peace,,,Male,"Jerusalem, Israel",Israel,Israeli Politician,"Yitzhak Rabin ( Hebrew: יִצְחָק רַבִּין; IPA: [jitsˈχak ʁaˈbin]; 1 March 1922 – 4 November 1995) was an Israeli politician, statesman and general. He was the fifth Prime Minister of Israel, serving two terms in office, 1974–77 and 1992 until his assassination in 1995.",1922,72,,Israel,http://upload.wikimedia.org/wikipedia/commons/5/5f/Flickr_-_Israel_Defense_Forces_-_Life_of_Lt._Gen._Yitzhak_Rabin%2C_7th_IDF_Chief_of_Staff_in_photos_%2811%29.jpg,http://dbpedia.org/page/Yitzhak_Rabin,http://en.wikipedia.org/wiki/Yitzhak_Rabin
Shimon Peres,1994 - Peace,,,Male,Poland,Poland,Israeli Politician,"Shimon Peres ( listen(help·info); Hebrew: שמעון פרס ‎; born Szymon Perski; 2 August 1923) is a Polish-born Israeli statesman. He was the ninth President of Israel from 2007 to 2014. Peres served twice as the Prime Minister of Israel and twice as Interim Prime Minister, and he was a member of 12 cabinets in a political career spanning over 66 years. Peres was elected to the Knesset in November 1959 and, except for a three-month-long hiatus in early 2006, served continuously until 2007, when he became President.",1923,71,,"Belarus, Israel, Poland",http://upload.wikimedia.org/wikipedia/commons/b/b9/Shimon_Peres_by_David_Shankbone.jpg,http://dbpedia.org/page/Shimon_Peres,http://en.wikipedia.org/wiki/Shimon_Peres
Yasser Arafat,1994 - Peace,,,Male,"Cairo, Egypt",Egypt,President Of The Palestinian Authority,"Mohammed Yasser Abdel Rahman Abdel Raouf Arafat al-Qudwa ( Arabic: محمد ياسر عبد الرحمن عبد الرؤوف عرفات ‎‎; 24 August 1929 – 11 November 2004), popularly known as Yasser Arafat ( Arabic: ياسر عرفات ‎, Yāsir `Arafāt ) or by his kunya Abu Ammar ( Arabic: أبو عمار ‎, Abū `Ammār ), was a Palestinian leader. He was Chairman of the Palestine Liberation Organization (PLO), President of the Palestinian National Authority (PNA), and leader of the Fatah political party and former paramilitary group, which he founded in 1959. Arafat spent much of his life fighting against Israel in the name of Palestinian self-determination. Originally opposed to Israel's existence, he modified his position in 1988 when he accepted UN Security Council Resolution 242. Arafat and his movement operated from several Arab countries. In the late 1960s and early 1970s, Fatah faced off with Jordan in a brief civil war. Forced out of Jordan and into Lebanon, Arafat and Fatah were major targets of Israel's 1978 and 1982 invasions of that country.",1929,65,,"Egypt, Palestine",http://upload.wikimedia.org/wikipedia/commons/3/37/ArafatEconomicForum.jpg,http://dbpedia.org/page/Yasser_Arafat,http://en.wikipedia.org/wiki/Yasser_Arafat
Clifford Shull,1994 - Physics,Neutron scattering,,Male,"Pittsburgh, United States",United States of America,American Physicist,"Clifford Glenwood Shull ( Pittsburgh, Pennsylvania, September 23, 1915 – March 31, 2001) was a Nobel Prize -winning American physicist.",1915,79,,United States of America,http://upload.wikimedia.org/wikipedia/commons/c/c8/Wollan_and_Shull_1949.jpg,http://dbpedia.org/page/Clifford_Shull,http://en.wikipedia.org/wiki/Clifford_Shull
Bertram Brockhouse,1994 - Physics,,,Male,"Lethbridge, Canada",Canada,Canadian Physicist,"Bertram Neville Brockhouse, CCFRSCFRS (July 15, 1918 – October 13, 2003) was a Canadian physicist. He was awarded the Nobel Prize in Physics (1994, shared with Clifford Shull ) ""for pioneering contributions to the development of neutron scattering techniques for studies of condensed matter"", in particular ""for the development of neutron spectroscopy "".",1918,76,,Canada,http://upload.wikimedia.org/wikipedia/commons/a/a7/Bertram_Brockhouse.jpg,http://dbpedia.org/page/Bertram_Brockhouse,http://en.wikipedia.org/wiki/Bertram_Brockhouse
Frank Sherwood Rowland,1995 - Chemestry,Ozone depletion research,,Male,"Delaware, Ohio, United States",United States of America,American Chemist,"Frank Sherwood Rowland (June 28, 1927 – March 10, 2012) was an American Nobel laureate and a professor of chemistry at the University of California, Irvine. His research was on atmospheric chemistry and chemical kinetics. His best-known work was the discovery that chlorofluorocarbons contribute to ozone depletion. ",1927,68,"University of Chicago, Ohio Wesleyan University",United States of America,http://upload.wikimedia.org/wikipedia/commons/9/91/F._Sherwood_Rowland.jpg,http://dbpedia.org/page/Frank_Sherwood_Rowland,http://en.wikipedia.org/wiki/Frank_Sherwood_Rowland
Paul J. Crutzen,1995 - Chemestry,,,Male,"Amsterdam, Netherlands",Netherlands,Dutch Climatologist,"Paul Jozef Crutzen (born December 3, 1933) is a Dutch Nobel prize winning atmospheric chemist.",1933,62,,Netherlands,http://upload.wikimedia.org/wikipedia/commons/0/00/Paul_Crutzen.jpg,http://dbpedia.org/page/Paul_J._Crutzen,http://en.wikipedia.org/wiki/Paul_J._Crutzen
Mario J. Molina,1995 - Chemestry,"Chlorofluorocarbon, Stratosphere",,Male,Mexico,Mexico,,"Mario José Molina-Pasquel Henríquez (born March 19, 1943 in Mexico City ) is a Mexican chemist and one of the most prominent precursors to the discovery of the Antarctic ozone hole. He was a co-recipient (along with Paul J. Crutzen and F. Sherwood Rowland ) of the 1995 Nobel Prize in Chemistry for his role in elucidating the threat to the Earth's ozone layer of chlorofluorocarbon gases (or CFCs ), becoming the first Mexican-born citizen to ever receive a Nobel Prize in Chemistry. Molina is a climate policy adviser to President Enrique Peña Nieto of Mexico. ",1943,52,"University of California - Berkeley, National Autonomous University of Mexico, University of Freiburg",United States of America,http://upload.wikimedia.org/wikipedia/commons/d/db/Mario_Molina_1c389_8387.jpg,http://dbpedia.org/page/Mario_J._Molina,http://en.wikipedia.org/wiki/Mario_J._Molina
Robert Lucas Jr.,1995 - Economics,,,Male,"Yakima, Washington, United States",United States of America,Economist,"Robert Emerson Lucas, Jr. (born September 15, 1937) is an American economist at the University of Chicago. He received the Nobel Memorial Prize in Economic Sciences in 1995. He has been characterized by N. Gregory Mankiw as ""the most influential macroeconomist of the last quarter of the 20th century."" ",1937,58,University of Chicago,United States of America,,"http://dbpedia.org/page/Robert_Lucas,_Jr.","http://en.wikipedia.org/wiki/Robert_Lucas,_Jr."
Seamus Heaney,1995 - Literature,,,Male,"Castledawson, Northern Ireland, United Kingdom",United Kingdom,Irish Poet,"Seamus Justin Heaney, MRIA ( /ˈʃeɪməsˈhiːni/; 13 April 1939 – 30 August 2013) was an Irish poet, playwright, translator and lecturer, and the recipient of the 1995 Nobel Prize in Literature. In the early 1960s, he became a lecturer in Belfast after attending university there and began to publish poetry. He lived in Sandymount, Dublin, from 1976 until his death. ",1939,56,,Ireland,http://upload.wikimedia.org/wikipedia/commons/b/bb/Seamus_Heaney_Photograph_Edit.jpg,http://dbpedia.org/page/Seamus_Heaney,http://en.wikipedia.org/wiki/Seamus_Heaney
Edward B. Lewis,1995 - Medicine / Physiology,Genetics of the common fruit fly,,Male,"Wilkes-Barre, Pennsylvania, United States",United States of America,American Biologist,"Edward B. Lewis (May 20, 1918 – July 21, 2004) was an American geneticist, a corecipient of the 1995 Nobel Prize in Physiology or Medicine.",1918,77,California Institute of Technology,United States of America,http://upload.wikimedia.org/wikipedia/en6/68/EdwardBLewis.jpg,http://dbpedia.org/page/Edward_B._Lewis,http://en.wikipedia.org/wiki/Edward_B._Lewis
Eric F. Wieschaus,1995 - Medicine / Physiology,Drosophila embryogenesis,,Male,"South Bend, Indiana, United States",United States of America,American Geneticist,"Eric Francis Wieschaus (born June 8, 1947 in South Bend, Indiana ) is an American developmental biologist and 1995 Nobel Prize-winner.",1947,48,"Yale University, University of Notre Dame",United States of America,http://upload.wikimedia.org/wikipedia/commons/b/bd/Wieschaus_ecal2011.jpg,http://dbpedia.org/page/Eric_F._Wieschaus,http://en.wikipedia.org/wiki/Eric_F._Wieschaus
Christiane Nüsslein-Volhard,1995 - Medicine / Physiology,,,Female,"Magdeburg, Germany",Germany,German Biochemist,"Christiane Nüsslein-Volhard (born 20 October 1942 in Magdeburg ) is a German biologist. She won the Albert Lasker Award for Basic Medical Research in 1991 and the Nobel Prize in Physiology or Medicine in 1995, together with Eric Wieschaus and Edward B. Lewis, for their research on the genetic control of embryonic development. Today she lives in Bebenhausen, Germany.",1942,53,University of Tübingen,Germany,http://upload.wikimedia.org/wikipedia/commons/5/5c/Christiane_N%C3%BCsslein-Volhard_mg_4406.jpg,http://dbpedia.org/page/Christiane_N%C3%BCsslein-Volhard,http://en.wikipedia.org/wiki/Christiane_N%C3%BCsslein-Volhard
Joseph Rotblat,1995 - Peace,"Hippocratic Oath for scientists, Campaigning for nuclear disarmament",,Male,"Warsaw, Poland",Poland,Polish-born British-naturalised Physicist,"Sir Joseph (Józef) Rotblat KCMG CBE FRS (4 November 1908 – 31 August 2005) was a British -naturalised Polish physicist. Rotblat's work on nuclear fallout was a major contribution toward the ratification of the 1963 Partial Nuclear Test Ban Treaty. A signatory of the Russell–Einstein Manifesto, he was secretary-general of the Pugwash Conferences on Science and World Affairs from their founding until 1973. He shared, with the Pugwash Conferences, the 1995 Nobel Peace Prize for efforts toward nuclear disarmament. ",1908,87,"Free Polish University, University of Liverpool, University of Warsaw","Poland, United Kingdom",http://upload.wikimedia.org/wikipedia/commons//4/47/Josef_Rotblat_ID_badge.png,http://dbpedia.org/page/Joseph_Rotblat,http://en.wikipedia.org/wiki/Joseph_Rotblat
Pugwash Conferences on Science and World Affairs,1995 - Peace,,,,,,,"The Pugwash Conferences on Science and World Affairs is an international organization that brings together scholars and public figures to work toward reducing the danger of armed conflict and to seek solutions to global security threats. It was founded in 1957 by Joseph Rotblat and Bertrand Russell in Pugwash, Nova Scotia, Canada, following the release of the Russell-Einstein Manifesto in 1955.",,,,Canada,http:http://upload.wikimedia.org/wikipedia/commons/3/39/Thinkers%27_Lodge_Today.jpg,http://dbpedia.org/page/Pugwash_Conferences_on_Science_and_World_Affairs,http://en.wikipedia.org/wiki/Pugwash_Conferences_on_Science_and_World_Affairs
Frederick Reines,1995 - Physics,Neutrinos,,Male,"Paterson, New Jersey, United States",United States of America,American Physicist,"Frederick Reines (March 16, 1918 – August 26, 1998) was an American physicist. He was awarded the 1995 Nobel Prize in Physics for his co-detection of the neutrino with Clyde Cowan in the neutrino experiment, and may be the only scientist in history ""so intimately associated with the discovery of an elementary particle and the subsequent thorough investigation of its fundamental properties"". ",1918,77,,United States of America,http://upload.wikimedia.org/wikipedia/commons/7/72/Frederick_Reines.jpg,http://dbpedia.org/page/Frederick_Reines,http://en.wikipedia.org/wiki/Frederick_Reines
Martin Lewis Perl,1995 - Physics,Tau (particle),,Male,"New York City, New York, United States",United States of America,American Scientist,"Martin Lewis Perl (June 24, 1927 – September 30, 2014) was an American physicist who won the Nobel Prize in Physics in 1995 for his discovery of the tau lepton.",1927,68,"Columbia University, New York University",United States of America,http://upload.wikimedia.org/wikipedia/commons//6/65/Martin_Perl_-_tau.jpg,http://dbpedia.org/page/Martin_Lewis_Perl,http://en.wikipedia.org/wiki/Martin_Lewis_Perl
Richard Smalley,1996 - Chemestry,Buckminsterfullerene,,Male,"Akron, Ohio, United States",United States of America,American Chemist,"Richard Errett Smalley (June 6, 1943 – October 28, 2005) was the Gene and Norman Hackerman Professor of Chemistry and a Professor of Physics and Astronomy at Rice University, in Houston, Texas. In 1996, along with Robert Curl, also a professor of chemistry at Rice, and Harold Kroto, a professor at the University of Sussex, he was awarded the Nobel Prize in Chemistry for the discovery of a new form of carbon, buckminsterfullerene (""buckyballs""), and was a leading advocate of nanotechnology and its many applications, including its use in creating strong but lightweight materials as well as its potential to fight cancer.",1943,53,"University of Michigan, Princeton University",United States of America,http://upload.wikimedia.org/wikipedia/commons/a/a8/Richard_Smalley.jpg,http://dbpedia.org/page/Richard_Smalley,http://en.wikipedia.org/wiki/Richard_Smalley
Harry Kroto,1996 - Chemestry,,,Male,"Wisbech, Cambridgeshire, England, United Kingdom",United Kingdom,British Chemist,"Sir Harold (Harry) Walter Kroto, FRS (born Harold Walter Krotoschiner; 7 October 1939), is an English chemist. He shared the 1996 Nobel Prize in Chemistry with Robert Curl and Richard Smalley. Kroto is the Francis Eppes Professor of Chemistry at the Florida State University, which he joined in 2004. Prior to that, he spent a large part of his career at the University of Sussex, where he now holds an emeritus professorship.",1939,57,University of Sheffield,United Kingdom,http://upload.wikimedia.org/wikipedia/en1/13/Harry_Kroto.jpg,http://dbpedia.org/page/Harry_Kroto,http://en.wikipedia.org/wiki/Harry_Kroto
Robert F. Curl Jr.,1996 - Chemestry,,,Male,"Alice, Texas, United States",United States of America,,"Robert Floyd Curl, Jr. (born August 23, 1933) is an emeritus professor of chemistry at Rice University. He was awarded the Nobel Prize in Chemistry in 1996 for the discovery of the nanomaterial buckminsterfullerene, along with Richard Smalley also of Rice University, and Harold Kroto of the University of Sussex.",1933,63,"University of California - Berkeley, Rice University",United States of America,http://upload.wikimedia.org/wikipedia/commons/0/05/Robert_Curl_crop_2009_CHAO.jpg,http://dbpedia.org/page/Robert_Curl,http://en.wikipedia.org/wiki/Robert_Curl
James Mirrlees,1996 - Economics,,,Male,"Kirkcudbrightshire, Minnigaff, United Kingdom",United Kingdom,Scottish Economist,Sir James Alexander Mirrlees FRSEFBA (born 5 July 1936) is a Scottish economist and winner of the 1996 Nobel Memorial Prize in Economic Sciences. He was knighted in 1998.,1936,60,"University of Cambridge, University of Edinburgh",United Kingdom,,http://dbpedia.org/page/James_Mirrlees,http://en.wikipedia.org/wiki/James_Mirrlees
William Vickrey,1996 - Economics,,,Male,"Victoria, British Columbia, Canada",Canada,,William Spencer Vickrey (21 June 1914 – 11 October 1996) was a Canadian-born professor of economics and Nobel Laureate. Vickrey was awarded the 1996 Nobel Memorial Prize in Economic Sciences with James Mirrlees for their research into the economic theory of incentives under asymmetric information. The announcement of the prize was made just three days prior to his death; his Columbia University economics department colleague C. Lowell Harriss accepted the prize posthumously on his behalf.,1914,82,"Yale University, Columbia University","Canada, United States of America",http://upload.wikimedia.org/wikipedia/en2/2d/William_Vickrey.gif,http://dbpedia.org/page/William_Vickrey,http://en.wikipedia.org/wiki/William_Vickrey
Wisława Szymborska,1996 - Literature,,,Female,"Prowent, Poland",Poland,"Polish Essayist, Editor, Poet","Maria Wisława Anna Szymborska [viˈswava ʂɨmˈbɔrska] (2 July 1923 – 1 February 2012) was a Polish poet, essayist, translator and recipient of the 1996 Nobel Prize in Literature. Born in Prowent, which has since become part of Kórnik, she later resided in Kraków until the end of her life. She was described as a ""Mozart of Poetry"". In Poland, Szymborska's books have reached sales rivaling prominent prose authors: although she once remarked in a poem, ""Some Like Poetry"" (""Niektórzy lubią poezję""), that no more than two out of a thousand people care for the art. ",1923,73,,Poland,http://upload.wikimedia.org/wikipedia/commons/b/b7/Szymborska_2011_%281%29.jpg,http://dbpedia.org/page/Wis%C5%82awa_Szymborska,http://en.wikipedia.org/wiki/Wis%C5%82awa_Szymborska
Rolf M. Zinkernagel,1996 - Medicine / Physiology,Cytotoxic T cells,,Male,"Basel, Switzerland",Switzerland,Swiss Immunologist,"Rolf Martin Zinkernagel AC, FAA (born January 6, 1944 in Riehen, Basel-Stadt, Switzerland ) is Professor of Experimental Immunology at the University of Zurich. He was awarded the Nobel Prize in Physiology or Medicine in 1996 for the discovery of how the immune system recognizes virus-infected cells.",1944,52,,Switzerland,http://upload.wikimedia.org/wikipedia/commons/4/47/Rolf_Zinkernagel_Erudite_Conclave_medical_college_trivandrum.jpg,http://dbpedia.org/page/Rolf_M._Zinkernagel,http://en.wikipedia.org/wiki/Rolf_M._Zinkernagel
Peter C. Doherty,1996 - Medicine / Physiology,Major histocompatibility complex,,Male,"Brisbane, Australia",Australia,,"Peter Charles Doherty AC (born 15 October 1940) is an Australian veterinary surgeon and researcher in the field of medicine. He received the Albert Lasker Award for Basic Medical Research in 1995, the Nobel Prize in Physiology or Medicine jointly with Rolf M. Zinkernagel in 1996 and was named Australian of the Year in 1997. In the Australia Day Honours of 1997, he was named a Companion of the Order of Australia for his work with Zinkernagel. Zinkernagel was named an honorary Companion. He is also a National Trust Australian Living Treasure. He had a younger brother named Ian and had two parents named Linda and Eric. He skipped a grade in school and entered the University of Queensland when he was 17.",1940,56,"University of Edinburgh, University of Queensland",Australia,,http://dbpedia.org/page/Peter_C._Doherty,http://en.wikipedia.org/wiki/Peter_C._Doherty
José Ramos-Horta,1996 - Peace,,,Male,"Dili, East Timor",East Timor,Prime Minister Of East Timor,"José Manuel Ramos-Horta GCL AC ( Portuguese pronunciation: [ʒuˈzɛ ˈʁɐ̃muz ˈɔɾtɐ]; born 26 December 1949) is the United Nations' special Representative and Head of the United Nations Integrated Peacebuilding Office in Guinea-Bissau (UNIOGBIS). He was appointed to this position on 2 January 2013. Previously, he was special envoy to fellow Lusophone country, Guinea-Bissau, and was the President of East Timor from 20 May 2007 to 20 May 2012, the second since independence from Indonesia. He is a co-recipient of the 1996 Nobel Peace Prize and a former prime minister, having served from 2006 until his inauguration as president after winning the 2007 East Timorese presidential election. As a founder and former member of the Revolutionary Front for an Independent East Timor (FRETILIN), Ramos-Horta served as the exiled spokesman for the East Timorese resistance during the years of the Indonesian occupation of East Timor (1975 to 1999). While he has continued to work with FRETILIN, Ramos-Horta resigned from the party in 1988, becoming an independent politician. ",1949,47,"International Institute of Human Rights, Columbia University, Antioch College, Hague Academy of International Law","East Timor, Portugal",http://upload.wikimedia.org/wikipedia/commons//7/7e/Jos%C3%A9_Ramos-Horta_Portrait.jpg,http://dbpedia.org/page/Jos%C3%A9_Ramos-Horta,http://en.wikipedia.org/wiki/Jos%C3%A9_Ramos-Horta
Carlos Filipe Ximenes Belo,1996 - Peace,,,Male,"Wailakama, East Timor",East Timor,Roman Catholic Bishop,"Carlos Filipe Ximenes Belo SDB, GCL (born 3 February 1948) is an East Timorese Roman Catholic bishop. Along with José Ramos-Horta, he received the 1996 Nobel Peace Prize for work ""towards a just and peaceful solution to the conflict in East Timor.""",1948,48,,"East Timor, Portugal",http://upload.wikimedia.org/wikipedia/commons//8/83/Carlosbelo.jpg,http://dbpedia.org/page/Carlos_Filipe_Ximenes_Belo,http://en.wikipedia.org/wiki/Carlos_Filipe_Ximenes_Belo
Douglas Osheroff,1996 - Physics,"Helium-3, Superfluidity",Experimental physics,Male,"Aberdeen, Washington, United States",United States of America,American Physicist,"Douglas Dean Osheroff (born August 1, 1945) is a physicist known for his work in experimental condensed matter physics, in particular for his co-discovery of superfluidity in Helium-3. For his contributions he shared the 1996 Nobel Prize in Physics along with David Lee and Robert C. Richardson. ",1945,51,"California Institute of Technology, Cornell University",United States of America,http://upload.wikimedia.org/wikipedia/commons/3/35/Douglas_Osheroff_2011-08-08_cropped.JPG,http://dbpedia.org/page/Douglas_Osheroff,http://en.wikipedia.org/wiki/Douglas_Osheroff
David Lee,1996 - Physics,,,Male,"Rye, New York, United States",United States of America,American Physicist,"David Morris Lee (born January 20, 1931) is an American physicist who shared the 1996 Nobel Prize in Physics with Robert C. Richardson and Douglas Osheroff ""for their discovery of superfluidity in helium-3."" ",1931,65,"Yale University, Harvard University, University of Connecticut",United States of America,http://upload.wikimedia.org/wikipedia/commons/c/c6/Nobel_Laureate_David_Morris_Lee_in_2007.jpg,http://dbpedia.org/page/David_Lee_(physicist),http://en.wikipedia.org/wiki/David_Lee_(physicist)
Robert Coleman Richardson,1996 - Physics,Superfluidity in helium-3,,Male,"Washington D.C., United States",United States of America,American Physicist,"Robert Coleman Richardson (June 26, 1937 – February 19, 2013) was an American experimental physicist whose area of research included sub-millikelvin temperature studies of helium-3. Richardson, along with David Lee, as senior researchers, and then graduate student Douglas Osheroff, shared the 1996 Nobel Prize in Physics for their 1972 discovery of the property of superfluidity in helium-3 atoms in the Cornell University Laboratory of Atomic and Solid State Physics. ",1937,59,"Duke University, Virginia Tech",United States of America,http://upload.wikimedia.org/wikipedia/commons/e/e4/Robert_Coleman_Richardson.jpg,http://dbpedia.org/page/Robert_Coleman_Richardson,http://en.wikipedia.org/wiki/Robert_Coleman_Richardson
Paul D. Boyer,1997 - Chemestry,Adenosine triphosphate,,Male,"Utah, United States",United States of America,American Biochemist,"Paul Delos Boyer (born July 31, 1918) is an American biochemist, analytical chemist, and a professor of chemistry at University of California Los Angeles ( UCLA ). He shared the 1997 Nobel Prize in Chemistry for research on the ""enzymatic mechanism underlying the biosynthesis of adenosine triphosphate (ATP)"" ( ATP synthase ) with John E. Walker; the remainder of the Prize in that year was awarded to Danish chemist Jens Christian Skou for his discovery of the Na+/K+-ATPase. ",1918,79,"Brigham Young University, University of Wisconsin",United States of America,,http://dbpedia.org/page/Paul_D._Boyer,http://en.wikipedia.org/wiki/Paul_D._Boyer
Jens Christian Skou,1997 - Chemestry,Na+/K+-ATPase,,Male,"Lemvig, Denmark",Denmark,Danish Chemist,"Jens Christian Skou ( Danish pronunciation: [ˈjɛns kʁæsdjæn ˈsɡʌʊ̯ˀ]; born October 8, 1918) is a Danish chemist and Nobel laureate.",1918,79,,Denmark,http://upload.wikimedia.org/wikipedia/commons/4/46/Skou2008.jpg,http://dbpedia.org/page/Jens_Christian_Skou,http://en.wikipedia.org/wiki/Jens_Christian_Skou
John E. Walker,1997 - Chemestry,,,Male,"Halifax, West Yorkshire, United Kingdom",United Kingdom,Professor Sir John E. Walker Frs,"Professor Sir John Ernest Walker (born 7 January 1941) is an English chemist who won the Nobel Prize in Chemistry in 1997. He is currently a group leader at the MRC Mitochondrial Biology Unit in Cambridge, and a Fellow of Sidney Sussex College.",1941,56,University of Oxford,United Kingdom,,http://dbpedia.org/page/John_E._Walker,http://en.wikipedia.org/wiki/John_E._Walker
Robert C. Merton,1997 - Economics,"Intertemporal CAPM, Long-Term Capital Management, Jarrow–Turnbull model, Merton Model, Black–Scholes model, Merton's portfolio problem",Finance,Male,"New York City, New York, United States",United States of America,American Economist,"Robert Cox Merton (born July 31, 1944) is an American economist, Nobel laureate in Economics, and professor at the MIT Sloan School of Management, known for his pioneering contributions to continuous-time finance, especially the first continuous-time option pricing model, the Black-Scholes-Merton formula.",1944,53,"California Institute of Technology, Columbia University, Massachusetts Institute of Technology",United States of America,http://upload.wikimedia.org/wikipedia/commons/4/4e/Robert_C._Merton.jpg,http://dbpedia.org/page/Robert_C._Merton,http://en.wikipedia.org/wiki/Robert_C._Merton
Myron Scholes,1997 - Economics,,,Male,"Timmins, Canada",Canada,Canadian Economist,"Myron Samuel Scholes ( /ʃoʊlz/; born July 1, 1941) is a Canadian - American financial economist who is best known as one of the authors of the Black–Scholes equation. In 1997 he was awarded the Nobel Memorial Prize in Economic Sciences for a method to determine the value of derivatives. The model provides a conceptual framework for valuing options, such as calls or puts, and is referred to as the Black–Scholes model.",1941,56,"University of Chicago, McMaster University","Canada, United States of America",http://upload.wikimedia.org/wikipedia/commons/c/cc/Myron_Scholes_2008_in_Lindau.png,http://dbpedia.org/page/Myron_Scholes,http://en.wikipedia.org/wiki/Myron_Scholes
Dario Fo,1997 - Literature,,,Male,"Leggiuno Sangiano, Italy",Italy,"Italian Actor-playwright, Theatre Director, Stage Designer, Songwriter And Political Campaigner","Dario Fo (born 24 March 1926) is an Italian actor-playwright, comedian, singer, theatre director, stage designer, songwriter and political campaigner, and recipient of the 1997 Nobel Prize in Literature. ""Arguably the most widely performed contemporary playwright in world theatre"", much of his dramatic work depends on improvisation and comprises the recovery of ""illegitimate"" forms of theatre, such as those performed by giullari (medieval strolling players) and, more famously, the ancient Italian style of commedia dell'arte. ",1926,71,,Italy,http://upload.wikimedia.org/wikipedia/commons/9/9c/Dario_Fo-Cesena.jpg,http://dbpedia.org/page/Dario_Fo,http://en.wikipedia.org/wiki/Dario_Fo
Stanley B. Prusiner,1997 - Medicine / Physiology,"Creutzfeldt–Jakob disease, Transmissible spongiform encephalopathy, Prions",Infection,Male,"Des Moines, Iowa, United States",United States of America,"Neurologist, Biochemist","Stanley Benjamin Prusiner (born May 28, 1942 ) is an American neurologist and biochemist. Currently the director of the Institute for Neurodegenerative Diseases at University of California, San Francisco (UCSF). Prusiner discovered prions, a class of infectious self-reproducing pathogens primarily or solely composed of protein. He received the Albert Lasker Award for Basic Medical Research in 1994 and the Nobel Prize in Physiology or Medicine in 1997 for his prion research.",1942,55,"University of Pennsylvania, University of Pennsylvania",United States of America,http://upload.wikimedia.org/wikipedia/commons/a/a2/Prusiner_1.JPG,http://dbpedia.org/page/Stanley_B._Prusiner,http://en.wikipedia.org/wiki/Stanley_B._Prusiner
Jody Williams,1997 - Peace,,,Female,"Brattleboro, Vermont, United States",United States of America,American Teacher And Aid Worker,"Jody Williams (born 1950) is an American political activist known around the world for her work in banning anti-personnel landmines, her defense of human rights – especially those of women – and her efforts to promote new understandings of security in today’s world. She was awarded the Nobel Peace Prize in 1997 for her work toward the banning and clearing of anti-personnel mines.",1950,47,,United States of America,http://upload.wikimedia.org/wikipedia/commons/6/63/JodyWilliamsMay2010.jpg,http://dbpedia.org/page/Jody_Williams,http://en.wikipedia.org/wiki/Jody_Williams
International Campaign to Ban Landmines,1997 - Peace,,,,,,,"The International Campaign to Ban Landmines ( ICBL ) is a coalition of non-governmental organizations working for a world free of anti-personnel mines and cluster munitions, where mine and cluster munitions survivors see their rights respected and can lead fulfilling lives.",,,,,http://upload.wikimedia.org/wikipedia/en6/6c/Icbl_english.pdf/page1-220px-Icbl_english.pdf.jpg,http://dbpedia.org/page/International_Campaign_to_Ban_Landmines,http://en.wikipedia.org/wiki/International_Campaign_to_Ban_Landmines
Steven Chu,1997 - Physics,,,Male,"St. Louis, Missouri, United States",United States of America,Current United States Secretary Of Energy,"Steven Chu ( Chinese: 朱棣文; pinyin: Zhū Dìwén, born February 28, 1948 ) is an American physicist who served as the 12th United States Secretary of Energy from 2009 to 2013. Chu is known for his research at Bell Labs in cooling and trapping of atoms with laser light, which won him the Nobel Prize in Physics in 1997, along with his scientific colleagues Claude Cohen-Tannoudji and William Daniel Phillips. At the time of his appointment as Energy Secretary, he was a professor of physics and molecular and cellular biology at the University of California, Berkeley, and the director of the Lawrence Berkeley National Laboratory, where his research was concerned primarily with the study of biological systems at the single molecule level. Previously, he had been a professor of physics at Stanford University. He is a vocal advocate for more research into renewable energy and nuclear power, arguing that a shift away from fossil fuels is essential to combating climate change. For example, he has conceived of a global ""glucose economy"", a form of a low-carbon economy, in which glucose from tropical plants is shipped around like oil is today. On February 1, 2013, he announced he would not serve for the President's second term and resigned on April 22, 2013. ",1948,49,"University of California - Berkeley, University of Rochester",United States of America,http://upload.wikimedia.org/wikipedia/commons/8/83/Steven_Chu_official_DOE_portrait.jpg,http://dbpedia.org/page/Steven_Chu,http://en.wikipedia.org/wiki/Steven_Chu
