ID,Profile,Agency Lobbied,Year,Total Number of Clients,Number of reports listing agency
2006 - Dept of Education,http://www.opensecrets.org//lobby/agencysum.php?id=032&year=2006,Dept of Education,2006,506,896
2009 - Office of Director of Natl Intelligence,http://www.opensecrets.org//lobby/agencysum.php?id=214&year=2009,Office of Director of Natl Intelligence,2009,51,115
2008 - National Inst of Standards & Technology,http://www.opensecrets.org//lobby/agencysum.php?id=221&year=2008,National Inst of Standards & Technology,2008,51,117
2010 - Congressional Budget Office,http://www.opensecrets.org//lobby/agencysum.php?id=008&year=2010,Congressional Budget Office,2010,51,136
2008 - US Copyright Office,http://www.opensecrets.org//lobby/agencysum.php?id=207&year=2008,US Copyright Office,2008,51,141
2013 - Natl Telecom & Information Admin,http://www.opensecrets.org//lobby/agencysum.php?id=112&year=2013,Natl Telecom & Information Admin,2013,51,162
2007 - National Park Service,http://www.opensecrets.org//lobby/agencysum.php?id=143&year=2007,National Park Service,2007,51,77
2004 - Bureau of Land Management,http://www.opensecrets.org//lobby/agencysum.php?id=148&year=2004,Bureau of Land Management,2004,51,77
2006 - Office of Science & Technology Policy,http://www.opensecrets.org//lobby/agencysum.php?id=021&year=2006,Office of Science & Technology Policy,2006,51,79
2005 - US Fish & Wildlife Service,http://www.opensecrets.org//lobby/agencysum.php?id=142&year=2005,US Fish & Wildlife Service,2005,51,79
2006 - US Fish & Wildlife Service,http://www.opensecrets.org//lobby/agencysum.php?id=142&year=2006,US Fish & Wildlife Service,2006,51,80
2004 - US Citizenship & Immigration Services,http://www.opensecrets.org//lobby/agencysum.php?id=154&year=2004,US Citizenship & Immigration Services,2004,51,80
2002 - Office of Science & Technology Policy,http://www.opensecrets.org//lobby/agencysum.php?id=021&year=2002,Office of Science & Technology Policy,2002,51,82
1998 - Patent & Trademark Office,http://www.opensecrets.org//lobby/agencysum.php?id=113&year=1998,Patent & Trademark Office,1998,51,89
1998 - US Coast Guard,http://www.opensecrets.org//lobby/agencysum.php?id=171&year=1998,US Coast Guard,1998,51,95
2013 - Office of US Trade Representative,http://www.opensecrets.org//lobby/agencysum.php?id=022&year=2013,Office of US Trade Representative,2013,511,1875
1998 - Dept of Agriculture,http://www.opensecrets.org//lobby/agencysum.php?id=023&year=1998,Dept of Agriculture,1998,512,974
1999 - US Coast Guard,http://www.opensecrets.org//lobby/agencysum.php?id=171&year=1999,US Coast Guard,1999,52,101
2010 - Ofc of the Comptroller of the Currency,http://www.opensecrets.org//lobby/agencysum.php?id=183&year=2010,Ofc of the Comptroller of the Currency,2010,52,140
2005 - Bureau of Land Management,http://www.opensecrets.org//lobby/agencysum.php?id=148&year=2005,Bureau of Land Management,2005,52,71
2005 - Social Security Administration,http://www.opensecrets.org//lobby/agencysum.php?id=091&year=2005,Social Security Administration,2005,52,80
2000 - Maritime Administration,http://www.opensecrets.org//lobby/agencysum.php?id=177&year=2000,Maritime Administration,2000,52,86
1998 - National Highway Traffic Safety Admin,http://www.opensecrets.org//lobby/agencysum.php?id=175&year=1998,National Highway Traffic Safety Admin,1998,52,88
2007 - Natl Telecom & Information Admin,http://www.opensecrets.org//lobby/agencysum.php?id=112&year=2007,Natl Telecom & Information Admin,2007,52,89
2005 - Dept of Education,http://www.opensecrets.org//lobby/agencysum.php?id=032&year=2005,Dept of Education,2005,520,939
2014 - Dept of State,http://www.opensecrets.org//lobby/agencysum.php?id=039&year=2014,Dept of State,2014,522,969
2008 - Office of US Trade Representative,http://www.opensecrets.org//lobby/agencysum.php?id=022&year=2008,Office of US Trade Representative,2008,524,1994
2000 - Dept of Justice,http://www.opensecrets.org//lobby/agencysum.php?id=037&year=2000,Dept of Justice,2000,526,863
2005 - Dept of Justice,http://www.opensecrets.org//lobby/agencysum.php?id=037&year=2005,Dept of Justice,2005,526,875
2006 - Dept of Justice,http://www.opensecrets.org//lobby/agencysum.php?id=037&year=2006,Dept of Justice,2006,529,892
2010 - Federal Bureau of Investigation,http://www.opensecrets.org//lobby/agencysum.php?id=150&year=2010,Federal Bureau of Investigation,2010,53,145
2004 - Office of Science & Technology Policy,http://www.opensecrets.org//lobby/agencysum.php?id=021&year=2004,Office of Science & Technology Policy,2004,53,79
2000 - US Fish & Wildlife Service,http://www.opensecrets.org//lobby/agencysum.php?id=142&year=2000,US Fish & Wildlife Service,2000,53,82
1998 - Federal Emergency Management Agency,http://www.opensecrets.org//lobby/agencysum.php?id=056&year=1998,Federal Emergency Management Agency,1998,53,96
2005 - Office of US Trade Representative,http://www.opensecrets.org//lobby/agencysum.php?id=022&year=2005,Office of US Trade Representative,2005,531,1052
1999 - Dept of Agriculture,http://www.opensecrets.org//lobby/agencysum.php?id=023&year=1999,Dept of Agriculture,1999,532,1051
2007 - Office of US Trade Representative,http://www.opensecrets.org//lobby/agencysum.php?id=022&year=2007,Office of US Trade Representative,2007,532,1127
2011 - Dept of Labor,http://www.opensecrets.org//lobby/agencysum.php?id=038&year=2011,Dept of Labor,2011,534,1609
2009 - Dept of Justice,http://www.opensecrets.org//lobby/agencysum.php?id=037&year=2009,Dept of Justice,2009,536,1474
2001 - Dept of the Interior,http://www.opensecrets.org//lobby/agencysum.php?id=036&year=2001,Dept of the Interior,2001,537,972
2008 - National Guard,http://www.opensecrets.org//lobby/agencysum.php?id=231&year=2008,National Guard,2008,54,117
2011 - National Labor Relations Board,http://www.opensecrets.org//lobby/agencysum.php?id=073&year=2011,National Labor Relations Board,2011,54,146
2008 - US Postal Service,http://www.opensecrets.org//lobby/agencysum.php?id=099&year=2008,US Postal Service,2008,54,147
2009 - National Highway Traffic Safety Admin,http://www.opensecrets.org//lobby/agencysum.php?id=175&year=2009,National Highway Traffic Safety Admin,2009,54,166
2000 - Commodity Futures Trading Commission,http://www.opensecrets.org//lobby/agencysum.php?id=045&year=2000,Commodity Futures Trading Commission,2000,54,83
2004 - Social Security Administration,http://www.opensecrets.org//lobby/agencysum.php?id=091&year=2004,Social Security Administration,2004,54,84
2001 - Bureau of Land Management,http://www.opensecrets.org//lobby/agencysum.php?id=148&year=2001,Bureau of Land Management,2001,54,84
2003 - National Economic Council,http://www.opensecrets.org//lobby/agencysum.php?id=198&year=2003,National Economic Council,2003,54,85
2003 - Occupational Safety & Health Admin,http://www.opensecrets.org//lobby/agencysum.php?id=167&year=2003,Occupational Safety & Health Admin,2003,54,87
2000 - Ofc of the Comptroller of the Currency,http://www.opensecrets.org//lobby/agencysum.php?id=183&year=2000,Ofc of the Comptroller of the Currency,2000,54,88
2003 - US Fish & Wildlife Service,http://www.opensecrets.org//lobby/agencysum.php?id=142&year=2003,US Fish & Wildlife Service,2003,54,89
2002 - Dept of Air Force,http://www.opensecrets.org//lobby/agencysum.php?id=029&year=2002,Dept of Air Force,2002,54,92
2013 - Executive Office of the President,http://www.opensecrets.org//lobby/agencysum.php?id=009&year=2013,Executive Office of the President,2013,542,1694
2008 - Dept of Justice,http://www.opensecrets.org//lobby/agencysum.php?id=037&year=2008,Dept of Justice,2008,544,1561
1999 - White House,http://www.opensecrets.org//lobby/agencysum.php?id=012&year=1999,White House,1999,544,992
2009 - Dept of Education,http://www.opensecrets.org//lobby/agencysum.php?id=032&year=2009,Dept of Education,2009,546,1573
2013 - Dept of Homeland Security,http://www.opensecrets.org//lobby/agencysum.php?id=201&year=2013,Dept of Homeland Security,2013,548,1741
2014 - Consumer Product Safety Commission,http://www.opensecrets.org//lobby/agencysum.php?id=046&year=2014,Consumer Product Safety Commission,2014,55,101
2012 - Administration for Children & Families,http://www.opensecrets.org//lobby/agencysum.php?id=131&year=2012,Administration for Children & Families,2012,55,125
2013 - Administration for Children & Families,http://www.opensecrets.org//lobby/agencysum.php?id=131&year=2013,Administration for Children & Families,2013,55,128
2009 - National Inst of Standards & Technology,http://www.opensecrets.org//lobby/agencysum.php?id=221&year=2009,National Inst of Standards & Technology,2009,55,129
2012 - Congressional Budget Office,http://www.opensecrets.org//lobby/agencysum.php?id=008&year=2012,Congressional Budget Office,2012,55,140
2010 - National Guard,http://www.opensecrets.org//lobby/agencysum.php?id=231&year=2010,National Guard,2010,55,158
2013 - Federal Motor Carrier Safety Admin,http://www.opensecrets.org//lobby/agencysum.php?id=216&year=2013,Federal Motor Carrier Safety Admin,2013,55,173
2005 - Maritime Administration,http://www.opensecrets.org//lobby/agencysum.php?id=177&year=2005,Maritime Administration,2005,55,92
2005 - Patent & Trademark Office,http://www.opensecrets.org//lobby/agencysum.php?id=113&year=2005,Patent & Trademark Office,2005,55,93
2003 - US Postal Service,http://www.opensecrets.org//lobby/agencysum.php?id=099&year=2003,US Postal Service,2003,55,94
1999 - US Fish & Wildlife Service,http://www.opensecrets.org//lobby/agencysum.php?id=142&year=1999,US Fish & Wildlife Service,1999,55,99
2014 - Dept of the Treasury,http://www.opensecrets.org//lobby/agencysum.php?id=041&year=2014,Dept of the Treasury,2014,551,1088
2006 - Office of US Trade Representative,http://www.opensecrets.org//lobby/agencysum.php?id=022&year=2006,Office of US Trade Representative,2006,552,1127
2014 - Centers for Medicare & Medicaid Services,http://www.opensecrets.org//lobby/agencysum.php?id=136&year=2014,Centers for Medicare & Medicaid Services,2014,552,1196
2012 - Executive Office of the President,http://www.opensecrets.org//lobby/agencysum.php?id=009&year=2012,Executive Office of the President,2012,555,1721
2000 - Office of US Trade Representative,http://www.opensecrets.org//lobby/agencysum.php?id=022&year=2000,Office of US Trade Representative,2000,559,1030
2007 - Federal Deposit Insurance Commission,http://www.opensecrets.org//lobby/agencysum.php?id=054&year=2007,Federal Deposit Insurance Commission,2007,56,100
2014 - US International Trade Commission,http://www.opensecrets.org//lobby/agencysum.php?id=098&year=2014,US International Trade Commission,2014,56,103
2011 - US Postal Service,http://www.opensecrets.org//lobby/agencysum.php?id=099&year=2011,US Postal Service,2011,56,156
2011 - Ofc of the Comptroller of the Currency,http://www.opensecrets.org//lobby/agencysum.php?id=183&year=2011,Ofc of the Comptroller of the Currency,2011,56,167
2008 - National Highway Traffic Safety Admin,http://www.opensecrets.org//lobby/agencysum.php?id=175&year=2008,National Highway Traffic Safety Admin,2008,56,179
2005 - US International Trade Commission,http://www.opensecrets.org//lobby/agencysum.php?id=098&year=2005,US International Trade Commission,2005,56,76
2014 - Administration for Children & Families,http://www.opensecrets.org//lobby/agencysum.php?id=131&year=2014,Administration for Children & Families,2014,56,80
1998 - US Fish & Wildlife Service,http://www.opensecrets.org//lobby/agencysum.php?id=142&year=1998,US Fish & Wildlife Service,1998,56,80
2002 - Federal Transit Administration,http://www.opensecrets.org//lobby/agencysum.php?id=176&year=2002,Federal Transit Administration,2002,56,83
2007 - National Economic Council,http://www.opensecrets.org//lobby/agencysum.php?id=198&year=2007,National Economic Council,2007,56,87
2000 - Bureau of Indian Affairs,http://www.opensecrets.org//lobby/agencysum.php?id=146&year=2000,Bureau of Indian Affairs,2000,56,88
2006 - Maritime Administration,http://www.opensecrets.org//lobby/agencysum.php?id=177&year=2006,Maritime Administration,2006,56,91
1999 - Federal Highway Administration,http://www.opensecrets.org//lobby/agencysum.php?id=173&year=1999,Federal Highway Administration,1999,56,91
2014 - Medicare Payment Advisory Commission,http://www.opensecrets.org//lobby/agencysum.php?id=227&year=2014,Medicare Payment Advisory Commission,2014,57,104
2011 - Natl Telecom & Information Admin,http://www.opensecrets.org//lobby/agencysum.php?id=112&year=2011,Natl Telecom & Information Admin,2011,57,167
2013 - Ofc of the Comptroller of the Currency,http://www.opensecrets.org//lobby/agencysum.php?id=183&year=2013,Ofc of the Comptroller of the Currency,2013,57,172
2004 - US International Trade Commission,http://www.opensecrets.org//lobby/agencysum.php?id=098&year=2004,US International Trade Commission,2004,57,78
2006 - Bureau of Land Management,http://www.opensecrets.org//lobby/agencysum.php?id=148&year=2006,Bureau of Land Management,2006,57,80
2004 - Federal Transit Administration,http://www.opensecrets.org//lobby/agencysum.php?id=176&year=2004,Federal Transit Administration,2004,57,93
1999 - National Science Foundation,http://www.opensecrets.org//lobby/agencysum.php?id=076&year=1999,National Science Foundation,1999,57,98
2014 - Office of Management & Budget,http://www.opensecrets.org//lobby/agencysum.php?id=018&year=2014,Office of Management & Budget,2014,570,1005
1998 - Executive Office of the President,http://www.opensecrets.org//lobby/agencysum.php?id=009&year=1998,Executive Office of the President,1998,573,1083
1998 - White House,http://www.opensecrets.org//lobby/agencysum.php?id=012&year=1998,White House,1998,573,988
2000 - Dept of the Interior,http://www.opensecrets.org//lobby/agencysum.php?id=036&year=2000,Dept of the Interior,2000,576,1027
2001 - Dept of State,http://www.opensecrets.org//lobby/agencysum.php?id=039&year=2001,Dept of State,2001,577,1028
2004 - Maritime Administration,http://www.opensecrets.org//lobby/agencysum.php?id=177&year=2004,Maritime Administration,2004,58,100
2004 - Office of Personnel Management,http://www.opensecrets.org//lobby/agencysum.php?id=081&year=2004,Office of Personnel Management,2004,58,102
2014 - National Park Service,http://www.opensecrets.org//lobby/agencysum.php?id=143&year=2014,National Park Service,2014,58,104
2014 - Maritime Administration,http://www.opensecrets.org//lobby/agencysum.php?id=177&year=2014,Maritime Administration,2014,58,120
2009 - Ofc of the Comptroller of the Currency,http://www.opensecrets.org//lobby/agencysum.php?id=183&year=2009,Ofc of the Comptroller of the Currency,2009,58,127
2008 - Social Security Administration,http://www.opensecrets.org//lobby/agencysum.php?id=091&year=2008,Social Security Administration,2008,58,146
2011 - Export-Import Bank of the US,http://www.opensecrets.org//lobby/agencysum.php?id=051&year=2011,Export-Import Bank of the US,2011,58,151
2007 - Forest Service,http://www.opensecrets.org//lobby/agencysum.php?id=212&year=2007,Forest Service,2007,58,78
2006 - Health Resources & Svcs Administration,http://www.opensecrets.org//lobby/agencysum.php?id=137&year=2006,Health Resources & Svcs Administration,2006,58,91
2006 - Federal Transit Administration,http://www.opensecrets.org//lobby/agencysum.php?id=176&year=2006,Federal Transit Administration,2006,58,92
1999 - National Oceanic & Atmospheric Admin,http://www.opensecrets.org//lobby/agencysum.php?id=111&year=1999,National Oceanic & Atmospheric Admin,1999,58,92
2004 - Vice President's Office,http://www.opensecrets.org//lobby/agencysum.php?id=010&year=2004,Vice President's Office,2004,58,96
1998 - Maritime Administration,http://www.opensecrets.org//lobby/agencysum.php?id=177&year=1998,Maritime Administration,1998,58,99
2001 - Dept of Energy,http://www.opensecrets.org//lobby/agencysum.php?id=033&year=2001,Dept of Energy,2001,580,1222
2013 - Dept of the Interior,http://www.opensecrets.org//lobby/agencysum.php?id=036&year=2013,Dept of the Interior,2013,584,2014
2003 - Dept of the Interior,http://www.opensecrets.org//lobby/agencysum.php?id=036&year=2003,Dept of the Interior,2003,586,1067
2012 - Export-Import Bank of the US,http://www.opensecrets.org//lobby/agencysum.php?id=051&year=2012,Export-Import Bank of the US,2012,59,152
2002 - Council of Economic Advisers,http://www.opensecrets.org//lobby/agencysum.php?id=014&year=2002,Council of Economic Advisers,2002,59,82
2003 - Health Resources & Svcs Administration,http://www.opensecrets.org//lobby/agencysum.php?id=137&year=2003,Health Resources & Svcs Administration,2003,59,84
2004 - Health Resources & Svcs Administration,http://www.opensecrets.org//lobby/agencysum.php?id=137&year=2004,Health Resources & Svcs Administration,2004,59,85
1999 - US International Trade Commission,http://www.opensecrets.org//lobby/agencysum.php?id=098&year=1999,US International Trade Commission,1999,59,85
2007 - US Fish & Wildlife Service,http://www.opensecrets.org//lobby/agencysum.php?id=142&year=2007,US Fish & Wildlife Service,2007,59,91
1998 - National Science Foundation,http://www.opensecrets.org//lobby/agencysum.php?id=076&year=1998,National Science Foundation,1998,59,95
2010 - Dept of Education,http://www.opensecrets.org//lobby/agencysum.php?id=032&year=2010,Dept of Education,2010,590,1763
2002 - Dept of Education,http://www.opensecrets.org//lobby/agencysum.php?id=032&year=2002,Dept of Education,2002,592,964
1999 - Executive Office of the President,http://www.opensecrets.org//lobby/agencysum.php?id=009&year=1999,Executive Office of the President,1999,593,1208
2011 - Dept of Education,http://www.opensecrets.org//lobby/agencysum.php?id=032&year=2011,Dept of Education,2011,595,1696
2009 - Centers for Medicare & Medicaid Services,http://www.opensecrets.org//lobby/agencysum.php?id=136&year=2009,Centers for Medicare & Medicaid Services,2009,599,2145
2014 - Bureau of Export Administration,http://www.opensecrets.org//lobby/agencysum.php?id=107&year=2014,Bureau of Export Administration,2014,6,10
2014 - Central Intelligence Agency,http://www.opensecrets.org//lobby/agencysum.php?id=044&year=2014,Central Intelligence Agency,2014,6,10
2014 - US Marshals Service,http://www.opensecrets.org//lobby/agencysum.php?id=152&year=2014,US Marshals Service,2014,6,10
2011 - Peace Corps,http://www.opensecrets.org//lobby/agencysum.php?id=084&year=2011,Peace Corps,2011,6,10
2007 - Advisory Council/Historic Preservation,http://www.opensecrets.org//lobby/agencysum.php?id=213&year=2007,Advisory Council/Historic Preservation,2007,6,10
2007 - Bureau of Justice Assistance,http://www.opensecrets.org//lobby/agencysum.php?id=157&year=2007,Bureau of Justice Assistance,2007,6,10
2007 - National Labor Relations Board,http://www.opensecrets.org//lobby/agencysum.php?id=073&year=2007,National Labor Relations Board,2007,6,10
2004 - US Secret Service,http://www.opensecrets.org//lobby/agencysum.php?id=191&year=2004,US Secret Service,2004,6,10
2003 - US Secret Service,http://www.opensecrets.org//lobby/agencysum.php?id=191&year=2003,US Secret Service,2003,6,10
2012 - Appalachian Regional Commission,http://www.opensecrets.org//lobby/agencysum.php?id=234&year=2012,Appalachian Regional Commission,2012,6,11
2012 - Bureau of Export Administration,http://www.opensecrets.org//lobby/agencysum.php?id=107&year=2012,Bureau of Export Administration,2012,6,11
2012 - National Council on Disability,http://www.opensecrets.org//lobby/agencysum.php?id=218&year=2012,National Council on Disability,2012,6,11
2012 - Peace Corps,http://www.opensecrets.org//lobby/agencysum.php?id=084&year=2012,Peace Corps,2012,6,11
2005 - Bureau of Prisons,http://www.opensecrets.org//lobby/agencysum.php?id=151&year=2005,Bureau of Prisons,2005,6,11
2005 - Bureau of the Census,http://www.opensecrets.org//lobby/agencysum.php?id=105&year=2005,Bureau of the Census,2005,6,11
2003 - US Mint,http://www.opensecrets.org//lobby/agencysum.php?id=189&year=2003,US Mint,2003,6,11
2011 - Employment Standards Administration,http://www.opensecrets.org//lobby/agencysum.php?id=166&year=2011,Employment Standards Administration,2011,6,12
2011 - Government Printing Office,http://www.opensecrets.org//lobby/agencysum.php?id=006&year=2011,Government Printing Office,2011,6,12
2010 - Minority Business Development Agency,http://www.opensecrets.org//lobby/agencysum.php?id=110&year=2010,Minority Business Development Agency,2010,6,12
2008 - Defense Finance & Accounting Service,http://www.opensecrets.org//lobby/agencysum.php?id=249&year=2008,Defense Finance & Accounting Service,2008,6,12
2008 - US Commission on Civil Rights,http://www.opensecrets.org//lobby/agencysum.php?id=095&year=2008,US Commission on Civil Rights,2008,6,12
2008 - US Marshals Service,http://www.opensecrets.org//lobby/agencysum.php?id=152&year=2008,US Marshals Service,2008,6,12
2001 - Smithsonian Institution,http://www.opensecrets.org//lobby/agencysum.php?id=101&year=2001,Smithsonian Institution,2001,6,12
2013 - Faith-Based & Community Initiatives,http://www.opensecrets.org//lobby/agencysum.php?id=202&year=2013,Faith-Based & Community Initiatives,2013,6,13
2011 - National Mediation Board,http://www.opensecrets.org//lobby/agencysum.php?id=074&year=2011,National Mediation Board,2011,6,13
2013 - US Secret Service,http://www.opensecrets.org//lobby/agencysum.php?id=191&year=2013,US Secret Service,2013,6,15
2010 - Defense Security Assistance Agency,http://www.opensecrets.org//lobby/agencysum.php?id=124&year=2010,Defense Security Assistance Agency,2010,6,15
2010 - Fed Accounting Standards Advidosry Board,http://www.opensecrets.org//lobby/agencysum.php?id=229&year=2010,Fed Accounting Standards Advidosry Board,2010,6,15
2008 - National Council on Disability,http://www.opensecrets.org//lobby/agencysum.php?id=218&year=2008,National Council on Disability,2008,6,15
2013 - Bureau of Export Administration,http://www.opensecrets.org//lobby/agencysum.php?id=107&year=2013,Bureau of Export Administration,2013,6,16
2010 - Architect of the Capitol,http://www.opensecrets.org//lobby/agencysum.php?id=003&year=2010,Architect of the Capitol,2010,6,16
2011 - Railroad Retirement Board,http://www.opensecrets.org//lobby/agencysum.php?id=087&year=2011,Railroad Retirement Board,2011,6,17
2008 - Employment Standards Administration,http://www.opensecrets.org//lobby/agencysum.php?id=166&year=2008,Employment Standards Administration,2008,6,17
2013 - Pension & Welfare Benefits Admin,http://www.opensecrets.org//lobby/agencysum.php?id=165&year=2013,Pension & Welfare Benefits Admin,2013,6,18
2012 - Pension & Welfare Benefits Admin,http://www.opensecrets.org//lobby/agencysum.php?id=165&year=2012,Pension & Welfare Benefits Admin,2012,6,18
2013 - US Mint,http://www.opensecrets.org//lobby/agencysum.php?id=189&year=2013,US Mint,2013,6,19
2010 - Railroad Retirement Board,http://www.opensecrets.org//lobby/agencysum.php?id=087&year=2010,Railroad Retirement Board,2010,6,19
2011 - Pension & Welfare Benefits Admin,http://www.opensecrets.org//lobby/agencysum.php?id=165&year=2011,Pension & Welfare Benefits Admin,2011,6,20
2008 - Financial Crimes Enforcement Network,http://www.opensecrets.org//lobby/agencysum.php?id=230&year=2008,Financial Crimes Enforcement Network,2008,6,20
2008 - National Labor Relations Board,http://www.opensecrets.org//lobby/agencysum.php?id=073&year=2008,National Labor Relations Board,2008,6,20
2013 - Financial Crimes Enforcement Network,http://www.opensecrets.org//lobby/agencysum.php?id=230&year=2013,Financial Crimes Enforcement Network,2013,6,21
2013 - Office of Government Ethics,http://www.opensecrets.org//lobby/agencysum.php?id=080&year=2013,Office of Government Ethics,2013,6,21
2010 - US Mint,http://www.opensecrets.org//lobby/agencysum.php?id=189&year=2010,US Mint,2010,6,21
2007 - Financial Crimes Enforcement Network,http://www.opensecrets.org//lobby/agencysum.php?id=230&year=2007,Financial Crimes Enforcement Network,2007,6,6
2006 - Bureau of Labor Statistics,http://www.opensecrets.org//lobby/agencysum.php?id=169&year=2006,Bureau of Labor Statistics,2006,6,6
2002 - Def Advanced Research Projects Agency,http://www.opensecrets.org//lobby/agencysum.php?id=116&year=2002,Def Advanced Research Projects Agency,2002,6,6
2001 - National Endowment for the Arts,http://www.opensecrets.org//lobby/agencysum.php?id=206&year=2001,National Endowment for the Arts,2001,6,6
2001 - Natl Fdtn on the Arts & the Humanities,http://www.opensecrets.org//lobby/agencysum.php?id=072&year=2001,Natl Fdtn on the Arts & the Humanities,2001,6,6
2001 - Office of Policy Development,http://www.opensecrets.org//lobby/agencysum.php?id=020&year=2001,Office of Policy Development,2001,6,6
2014 - Office of Justice Program,http://www.opensecrets.org//lobby/agencysum.php?id=156&year=2014,Office of Justice Program,2014,6,7
2012 - Defense Field Activities,http://www.opensecrets.org//lobby/agencysum.php?id=028&year=2012,Defense Field Activities,2012,6,7
2007 - US Secret Service,http://www.opensecrets.org//lobby/agencysum.php?id=191&year=2007,US Secret Service,2007,6,7
2006 - Administration for Children & Families,http://www.opensecrets.org//lobby/agencysum.php?id=131&year=2006,Administration for Children & Families,2006,6,7
2006 - Defense Logistics Agency,http://www.opensecrets.org//lobby/agencysum.php?id=123&year=2006,Defense Logistics Agency,2006,6,7
2003 - Administration for Children & Families,http://www.opensecrets.org//lobby/agencysum.php?id=131&year=2003,Administration for Children & Families,2003,6,7
2002 - Technology Administration,http://www.opensecrets.org//lobby/agencysum.php?id=114&year=2002,Technology Administration,2002,6,7
2001 - Trade & Development Agency,http://www.opensecrets.org//lobby/agencysum.php?id=093&year=2001,Trade & Development Agency,2001,6,7
2011 - Bureau of Export Administration,http://www.opensecrets.org//lobby/agencysum.php?id=107&year=2011,Bureau of Export Administration,2011,6,8
2007 - Smithsonian Institution,http://www.opensecrets.org//lobby/agencysum.php?id=101&year=2007,Smithsonian Institution,2007,6,8
2006 - Natl Fdtn on the Arts & the Humanities,http://www.opensecrets.org//lobby/agencysum.php?id=072&year=2006,Natl Fdtn on the Arts & the Humanities,2006,6,8
2005 - Bureau of Labor Statistics,http://www.opensecrets.org//lobby/agencysum.php?id=169&year=2005,Bureau of Labor Statistics,2005,6,8
2005 - Postal Regulatory Commission,http://www.opensecrets.org//lobby/agencysum.php?id=086&year=2005,Postal Regulatory Commission,2005,6,8
2004 - Bureau of the Census,http://www.opensecrets.org//lobby/agencysum.php?id=105&year=2004,Bureau of the Census,2004,6,8
2001 - Railroad Retirement Board,http://www.opensecrets.org//lobby/agencysum.php?id=087&year=2001,Railroad Retirement Board,2001,6,8
1999 - Def Advanced Research Projects Agency,http://www.opensecrets.org//lobby/agencysum.php?id=116&year=1999,Def Advanced Research Projects Agency,1999,6,8
2011 - Minority Business Development Agency,http://www.opensecrets.org//lobby/agencysum.php?id=110&year=2011,Minority Business Development Agency,2011,6,9
2009 - Smithsonian Institution,http://www.opensecrets.org//lobby/agencysum.php?id=101&year=2009,Smithsonian Institution,2009,6,9
2007 - Administration for Children & Families,http://www.opensecrets.org//lobby/agencysum.php?id=131&year=2007,Administration for Children & Families,2007,6,9
2006 - Bureau of the Census,http://www.opensecrets.org//lobby/agencysum.php?id=105&year=2006,Bureau of the Census,2006,6,9
2005 - Postal Rate Commission,http://www.opensecrets.org//lobby/agencysum.php?id=848&year=2005,Postal Rate Commission,2005,6,9
2003 - Natl Fdtn on the Arts & the Humanities,http://www.opensecrets.org//lobby/agencysum.php?id=072&year=2003,Natl Fdtn on the Arts & the Humanities,2003,6,9
2002 - National Labor Relations Board,http://www.opensecrets.org//lobby/agencysum.php?id=073&year=2002,National Labor Relations Board,2002,6,9
2001 - US Geological Survey,http://www.opensecrets.org//lobby/agencysum.php?id=144&year=2001,US Geological Survey,2001,6,9
2000 - Bureau of Justice Assistance,http://www.opensecrets.org//lobby/agencysum.php?id=157&year=2000,Bureau of Justice Assistance,2000,6,9
2000 - Economic Development Administration,http://www.opensecrets.org//lobby/agencysum.php?id=108&year=2000,Economic Development Administration,2000,6,9
2000 - Railroad Retirement Board,http://www.opensecrets.org//lobby/agencysum.php?id=087&year=2000,Railroad Retirement Board,2000,6,9
2004 - Federal Highway Administration,http://www.opensecrets.org//lobby/agencysum.php?id=173&year=2004,Federal Highway Administration,2004,60,102
1999 - Bureau of Reclamation,http://www.opensecrets.org//lobby/agencysum.php?id=149&year=1999,Bureau of Reclamation,1999,60,113
2009 - Federal Bureau of Investigation,http://www.opensecrets.org//lobby/agencysum.php?id=150&year=2009,Federal Bureau of Investigation,2009,60,117
2011 - National Guard,http://www.opensecrets.org//lobby/agencysum.php?id=231&year=2011,National Guard,2011,60,172
2009 - US Marine Corps,http://www.opensecrets.org//lobby/agencysum.php?id=210&year=2009,US Marine Corps,2009,60,172
2012 - Natl Telecom & Information Admin,http://www.opensecrets.org//lobby/agencysum.php?id=112&year=2012,Natl Telecom & Information Admin,2012,60,177
2002 - Office of Personnel Management,http://www.opensecrets.org//lobby/agencysum.php?id=081&year=2002,Office of Personnel Management,2002,60,93
2014 - National Economic Council,http://www.opensecrets.org//lobby/agencysum.php?id=198&year=2014,National Economic Council,2014,60,94
2007 - Dept of Air Force,http://www.opensecrets.org//lobby/agencysum.php?id=029&year=2007,Dept of Air Force,2007,60,97
2001 - Dept of Agriculture,http://www.opensecrets.org//lobby/agencysum.php?id=023&year=2001,Dept of Agriculture,2001,602,1095
1998 - Dept of State,http://www.opensecrets.org//lobby/agencysum.php?id=039&year=1998,Dept of State,1998,603,1109
2008 - Office of Management & Budget,http://www.opensecrets.org//lobby/agencysum.php?id=018&year=2008,Office of Management & Budget,2008,607,1747
1998 - US Senate,http://www.opensecrets.org//lobby/agencysum.php?id=001&year=1998,US Senate,1998,6074,16557
1998 - National Aeronautics & Space Admin,http://www.opensecrets.org//lobby/agencysum.php?id=068&year=1998,National Aeronautics & Space Admin,1998,61,102
2014 - International Trade Administration,http://www.opensecrets.org//lobby/agencysum.php?id=109&year=2014,International Trade Administration,2014,61,104
