Facility,Duplicates note,Owner / Operator of Facility,Address,State,Coordinates,Total Penalties,Last Penalty Amount,Clean Air Act Compliance,Clean Water Act Compliance,Resource Conservation and Recovery Act Compliance,Safe Drinking Water Act Compliance,Significant Noncompliance,Quarters in Noncompliance
Prasa - Guayabota Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Road 3 R-900, Km 9.9Yabucoa, Pr 00767",Puerto Rico,"18.058860731000436, -65.90859973399967","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Effluent violations of non-monthly average limits",,,Yes,12
Prasa - Guayama Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Corner Of J.M. &amp; Angeli StreetGuayama, Pr 00784",Puerto Rico,"17.979134779000447, -66.11558618999965","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",,,Yes,12
Prasa - Guayo (Indiera Alta) Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Pr - 128, Km. 33.5Maricao, Pr 00606",Puerto Rico,"18.168055817000436, -66.87142244699965","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",,,Yes,12
Prasa - Gurabo Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"#1 St. Jardines De GuraboGurabo, Pr 00778",Puerto Rico,"18.256840816000476, -65.97932466699962","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Effluent violations of non-monthly average limits",,,Yes,4
Prasa - Guzman Arriba Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Road 186, Km 13.1Rio Grande, Pr 00745",Puerto Rico,"18.37942109800042, -65.83132850499965","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Effluent violations of non-monthly average limits",,,Yes,12
Prasa - Hatillo System,,Puerto Rico Aqueduct and Sewer Authority,"Carr 2 Km 88.9 - IntHatillo, Pr 00659",Puerto Rico,"18.480502646000446, -66.83258330899963","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Effluent violations of non-monthly average limits",No Violation,,Yes,12
Prasa - Jagua Ceiba Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Pr 386 Km 5.6 InteriorPenuelas, Pr 00624",Puerto Rico,"18.09475333700044, -66.73622353799965","$1,024,427","$1,024,427",,,,Noncompliance,No,
Prasa - Jagua Pasto Filter Plant,,Puerto Rico Aqueduct and Sewer Authority,"State Rd. # 378, Km 10Guayanilla, Pr 00656",Puerto Rico,"18.010108493000473, -66.80326704899966","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",,,Yes,12
Prasa - Jagual Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Pr - 181, Km. 7San Lorenzo, Pr 00754",Puerto Rico,"18.084780298000453, -65.99909095299967","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",,,Yes,12
Prasa - Jayuya Urbano,,Puerto Rico Aqueduct and Sewer Authority,"Pr-141 Km 0.1 IntJayuya, Pr 00664",Puerto Rico,"18.219326935000424, -66.59074419299964","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",,,Yes,12
Prasa - Jimenez Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"State Road 186 Km 2.5Rio Grande, Pr 00721",Puerto Rico,"18.37571806200043, -65.82603385199963","$1,024,427","$1,024,427",,,,Noncompliance,No,
Prasa - Juana Diaz Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Pr-149 Km 66Juana Diaz, Pr 00795",Puerto Rico,"18.062182807000454, -66.50644289999963","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",No Violation,,Yes,12
Prasa - Juncos Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Road 31 R-948, Km 2.2Juncos, Pr 00777",Puerto Rico,"18.216463230000443, -65.89991601499963","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Effluent violations of non-monthly average limits",,,Yes,12
Prasa - La Maquina Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Road # 363 Km 3.1Sabana Grande, Pr 00637",Puerto Rico,"18.07885783900042, -66.96118489799966","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Effluent violations of non-monthly average limits",,,Yes,12
Prasa - Lajas Filter Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Int Road 116 &amp; 117Lajas, Pr 00667",Puerto Rico,"18.05234497200047, -67.05605918699962","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Effluent violations of non-monthly average limits",,,Yes,12
Prasa - Lares Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Pr-128 Km 38.3 IntLares, Pr 00669",Puerto Rico,"18.206172816000446, -66.84665532099962","$1,024,427","$1,024,427",,Noncompliance,No Violation,,No,12
Prasa - Las Delicias Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Pr - 149, Km. 33.9Ciales, Pr 00638",Puerto Rico,"18.266608397000425, -66.52201100499963","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",,,Yes,12
Prasa - Las Marias Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Road 124, Km 2.2Las Marias, Pr 00670",Puerto Rico,"18.25206176000046, -66.99102202699964","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",,,Yes,12
Prasa - Mameyes Arriba Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Rd 530 Km 10.1Jayuya, Pr 00664",Puerto Rico,"18.21955001800046, -66.59209998799963","$1,024,427","$1,024,427",,Noncompliance,,,No,12
Prasa - Maricao Filter Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Road 105, Km 24.4Maricao, Pr 00606",Puerto Rico,"18.182250010000473, -66.97980998299965","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Effluent violations of non-monthly average limits",,,Yes,5
Prasa - Matuyas Filter Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Road 759, Km 8.8Maunabo, Pr 00707",Puerto Rico,"18.00804836000043, -65.90041852799965","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Effluent violations of non-monthly average limits",,,Yes,11
Prasa - Mayaguez Filter Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"11 De Agosto-ponce De LeonMayaguez, Pr 00680",Puerto Rico,"18.194197834000477, -67.14517664399966","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",,,Yes,12
Prasa - Monte Del Estado Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Road 366, Km 11Maricao, Pr 00606",Puerto Rico,"18.182250010000473, -66.97980998299965","$1,024,427","$1,024,427",,Noncompliance,,,No,10
Prasa - Morovis Norte Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"End Of Calle Ramon Balorioty De CastroMorovis, Pr 00687",Puerto Rico,"18.32602426200043, -66.40736446999966","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",,,Yes,12
Prasa - Naguabo Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Road 970, Km 1.1Naguabo, Pr 00718",Puerto Rico,"18.23573000300047, -65.81483336399964","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",,,Yes,12
Prasa - NE Regional Aqueduct,,Puerto Rico Aqueduct and Sewer Authority,"Bq Quebrada Vueltas SectorFajardo, Pr 00738",Puerto Rico,"18.32768658800046, -65.65143652199964","$1,024,427","$1,024,427",,Noncompliance,,,No,12
Prasa - Negros,,Puerto Rico Aqueduct and Sewer Authority,"State Road #805, Km 2.5Corozal, Pr 00783",Puerto Rico,"18.340549998000427, -66.31609998699963","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",,,Yes,12
Prasa - Orocovis Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Road 568, Km 3Orocovis, Pr 00720",Puerto Rico,"18.230629994000424, -66.38706998799967","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",,,Yes,12
Prasa - Patillas Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"State Rd. #181, Km32.8Patillas, Pr 00723",Puerto Rico,"18.005582982000476, -66.01471216999965","$1,024,427","$1,024,427",,Noncompliance,,,No,12
Prasa - Penuelas Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Pr-132 Hm 5Penuelas, Pr 00624",Puerto Rico,"18.06080014300045, -66.76455503199963","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",,,Yes,12
"Prasa - Ponce, Guaraguao Filtration",,Puerto Rico Aqueduct and Sewer Authority,"State Rd. #10, Km 20.8Ponce, Pr 00731",Puerto Rico,"18.121409721000475, -66.67023482099967","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",,,Yes,12
Prasa - Pta Vieja Ponce Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Borinquen Ward, Principal St.Ponce, Pr 00731",Puerto Rico,"18.06119368000043, -66.60157137399966","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Effluent violations of non-monthly average limits",,,Yes,12
Prasa - Rancheras Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Pr - 371, Km. 10.6Yauco, Pr 00698",Puerto Rico,"18.120387871000446, -66.90768427999961","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",,,Yes,12
Prasa - Real Anon Filter Plant,,Puerto Rico Aqueduct and Sewer Authority,"Road 511 K.M. 1.8 H.M. 5Ponce, Pr 00731",Puerto Rico,"18.06667954000045, -66.59872964499965","$1,024,427","$1,024,427",,Noncompliance,,,No,12
Prasa - Rio Arriba Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"State Rd. 621, Km 4.8Arecibo, Pr 00612",Puerto Rico,"18.46998577700043, -66.71997242999964","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",,,Yes,12
Prasa - Rio Blanco Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Road 31, Km 9.4Naguabo, Pr 00718",Puerto Rico,"18.21062572900047, -65.73660267599962","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",,,Yes,12
Prasa - Rio Grande Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Road 186 Km 17.0, Morovis Sector At Jimenez WardRio Grande, Pr 00745",Puerto Rico,"18.37942109800042, -65.83132850499965","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Effluent violations of non-monthly average limits",,,Yes,4
Prasa - Rio Prieto Yauco Filter,,Puerto Rico Aqueduct and Sewer Authority,"State Rd 370 Km 0.1 Rio Prieto WardYauco, Pr 00698",Puerto Rico,"18.03367001300046, -66.84772998599965","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",,,Yes,12
Prasa - Roncador Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"State Rd 603 Int Km 4.2Utuado, Pr 00641",Puerto Rico,"18.263729045000446, -66.69921201399967","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",,,Yes,12
Prasa - Sabana Grande Ward Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Estate Rd 611 Km 7.2Utuado, Pr 00641",Puerto Rico,"18.263729045000446, -66.69921201399967","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Effluent violations of non-monthly average limits",,,Yes,12
Prasa - Sabana Grande Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Road 364, Km 0.5Sabana Grande, Pr 00637",Puerto Rico,"18.07885783900042, -66.96118489799966","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",,,Yes,12
Prasa - San Lorenzo Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Road 183 R-916, Km 2.1San Lorenzo, Pr 00754",Puerto Rico,"18.19154244200047, -65.96095049499962","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",,,Yes,12
Prasa - San Salvador Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"State Rd 765 Km 8.5 Morena WardCaguas, Pr 00725",Puerto Rico,"18.233834690000435, -66.03078595199963","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Effluent violations of non-monthly average limits",,,Yes,12
Prasa - Santa Isabel Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Pr-602, Km. 6.2Utuado, Pr 00641",Puerto Rico,"18.23084843600043, -66.81948224099966","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",,,Yes,12
Prasa - Sergio Cuevas Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Carr. 181, Km 30Trujillo Alto, Pr 00976",Puerto Rico,"18.37423437500047, -66.02691829499963","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Effluent violations of non-monthly average limits",No Violation,,Yes,12
Prasa - Tanama Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Pr-131 Km 7.1Adjuntas, Pr 00601",Puerto Rico,"18.149548067000467, -66.77095568999965","$1,024,427","$1,024,427",,Noncompliance,,,No,12
Prasa - Utuado Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"State Road 111, Km 5.4Utuado, Pr 00641",Puerto Rico,"18.263729045000446, -66.69921201399967","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",No Violation,,Yes,12
Prasa - Vega Baja Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"State Road 374, Km 1Vega Baja, Pr 00693",Puerto Rico,"18.447335535000434, -66.43172478999963","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",,,Yes,12
Prasa - Villalba Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Pr - 513, Km. 0.9Villalba, Pr 00766",Puerto Rico,"18.108369888000425, -66.51686082499964","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",,,Yes,12
Prasa - Yauco Water Treatment Plant,,Puerto Rico Aqueduct and Sewer Authority,"Pr-128 Km 2.6Yauco, Pr 00698",Puerto Rico,"18.040694767000446, -66.85763227599966","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",No Violation,Noncompliance,Yes,12
Premix,,Premix,"Route 20 And Harmon RoadNorth Kingsville, Oh 44068",Ohio,"41.90635901900049, -80.68959931999967","$400,000","$400,000",No Violation,Noncompliance,No Violation,,No,8
Pryor Chem,,Pryor Chem,"4463 Hunt StPryor, Ok 74361",Oklahoma,"36.24267101200047, -95.27904696999968","$478,125","$478,125","Unaddressed Violation, State/Local Lead Enforcement",,No Violation,,Yes,12
Puerto Rico Aqueduct and Sewer Authority - Ceiba Sur-Juncos Filtration Plant,,Puerto Rico Aqueduct and Sewer Authority,"Pr 9934 Km. 1.5Juncos, Pr 00777",Puerto Rico,"18.21962986900047, -65.89836564899963","$1,119,427","$1,024,427",,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",No Violation,Noncompliance,Yes,12
Pulliam Power Plant,,Integrys,"1530 North Bylsby AveGreen Bay, Wi 54303",Wisconsin,"44.54134475100045, -88.01264902399964","$1,200,000","$1,200,000","Addressed Violation, EPA Lead Enforcement",No Violation,No Violation,,Yes,12
Pure Earth Recycling NJ,,Pure Earth Recycling NJ,"3209 N Mill RdVineland, Nj 08360",New Jersey,"39.53363627200048, -75.05914214599966","$750,000","$750,000",No Violation,,Significant Violation,,Yes,12
PVS Chemicals,,PVS Chemicals,"12260 S. Carondolet Ave.Chicago, Il 60633",Illinois,"41.67308311400046, -87.54960347699966","$311,600","$100,900",No Violation,Unknown,Noncompliance,,No,12
Questar - Chapita Compressor,,Questar,"25 Miles Sw Of VernalFort Duchesne, Ut 84026",Utah,"40.301887528000464, -109.86233991899968","$3,650,000","$3,650,000","Addressed Violation, EPA Lead Enforcement",,,,Yes,12
Questar - Coyote Wash Compressor,,Questar,"25 Miles Sw Of VernalFort Duchesne, Ut 84026",Utah,"40.301887528000464, -109.86233991899968","$3,650,000","$3,650,000","Addressed Violation, EPA Lead Enforcement",,,,Yes,12
Questar - Island Compressor,,Questar,"25 Miles Sw Of VernalFort Duchesne, Ut 84026",Utah,"40.301887528000464, -109.86233991899968","$3,650,000","$3,650,000","Addressed Violation, EPA Lead Enforcement",,,,Yes,12
Questar - River Bend Compressor,,Questar,"25 Miles Sw Of VernalFort Duchesne, Ut 84026",Utah,"40.301887528000464, -109.86233991899968","$3,650,000","$3,650,000","Addressed Violation, EPA Lead Enforcement",,,,Yes,12
Questar - Wonsits Valley Compressor Station,,Questar,"Sec. 12 T8 South R22 EastFort Duchesne, Ut 84026",Utah,"40.301887528000464, -109.86233991899968","$3,650,000","$3,650,000","Addressed Violation, EPA Lead Enforcement",,,,Yes,12
Ralcorp Holdings (formerly Kraft Foods),,Ralcorp Holdings (formerly Kraft Foods),"901 E WhitmoreModesto, Ca 95352",California,"37.655257778000475, -121.0166164419997","$635,000","$635,000","Addressed Violation, EPA Lead Enforcement",,,,Yes,12
Rand-Whitney Containerboard,,Rand-Whitney,"300 Oakdale Road Route 163Montville, Ct 06353",Connecticut,"41.44952392900046, -72.13045839799963","$300,000","$300,000",No Violation,Noncompliance,No Violation,,No,6
Randolph Products,,Randolph Products,"33 Haynes CircleChicopee, Ma 01020",Massachusetts,"42.16248426900046, -72.55601961899964","$307,834","$153,917",No Violation,,Noncompliance,,No,7
Raybestos Powertrain,,Raybestos Powertrain,"1204 Darlington Ave.Crawfordsville, In 47933",Indiana,"40.045985705000476, -86.88257333799964","$337,500","$337,500","Addressed Violation, EPA Lead Enforcement",No Violation,No Violation,,Yes,12
Rensselaer City Public Water System,,City of Rensselaer,"505 BroadwayRensselaer, Ny 12144",New York,"42.642871709000474, -73.74309343199963","$749,900","$99,900",,Noncompliance,,No Violation,No,11
Rensselaer County SD#1 Wastewater Treatment Plant,,Rensselaer County,"Water StreetTroy, Ny 12180",New York,"42.70014188400046, -73.70061255099967","$783,900","$99,900",No Violation,Noncompliance,No Violation,,No,12
Richard H. Gorsuch Generating Station,,American Municipal Power,"State Route 7 SouthMarietta, Oh 45750",Ohio,"39.36324527000045, -81.53805580999966","$850,000","$850,000","Addressed Violation, EPA Lead Enforcement",Noncompliance,No Violation,,Yes,12
Rineco Chemical,,Rineco Chemical,"1007 Vulcan RoadBenton, Ar 72015",Arkansas,"34.51555705500044, -92.62862230699966","$2,702,063","$1,350,000",Unknown,No Violation,Significant Violation,,Yes,12
Río Grande El Yunque Filtration Plant,,Puerto Rico Aqueduct and Sewer Authority,"Carr 3 Km 25.4Rio Grande, Pr 00745",Puerto Rico,"18.374392351000438, -65.81750748299964","$1,024,427","$1,024,427",,"Significant Noncompliance Category I, Effluent violations of non-monthly average limits",No Violation,,Yes,12
Rio Vista Wastewater Treatment Facility,,City of Rio Vista,"1000 Beach DriveRio Vista, Ca 94571",California,"38.145108339000444, -121.6955176299997","$1,000,000",$0,,Noncompliance,,,No,4
Roquette America Inc,,Roquette America,"1003 S. 5th St.Keokuk, Ia 52632",Iowa,"40.3932452410005, -91.38744403499965","$4,100,000","$4,100,000","Addressed Violation, State/Local Lead Enforcement",Noncompliance,No Violation,,Yes,12
S.D. #7 Twelve Pines,,Suffolk County,"Woodside AvenueMedford, Ny 11763",New York,"40.825478071000475, -72.98416656699965","$500,000","$500,000",,Noncompliance,,,No,5
Sabic Innovative Plastics Mt. Vernon,,Sabic Innovative Plastics,"1 Lexan LnMount Vernon, In 47620",Indiana,"37.92446965300047, -87.91184672999964","$868,924","$851,524","Addressed Violation, EPA Lead Enforcement",No Violation,No Violation,,Yes,12
Salado Creek Chemical Storage Facility,,San Antonio Water System,"13496 Blue Wing RoadSan Antonio, Tx 78223",Texas,"29.28856153300046, -98.42597815499965","$2,600,000","$2,600,000",,Noncompliance,,,No,9
Sammis South Generating Plant,,FirstEnergy,"29503 State Route 7Stratton, Oh 43961",Ohio,"40.52806095700049, -80.62956915999968","$8,500,000","$8,500,000","Addressed Violation, EPA Lead Enforcement",No Violation,No Violation,,Yes,12
San Jose Creek Water Reclamation Plant,,Los Angeles County,"1965 Workman Mill RoadWhittier, Ca 90601",California,"34.032264033000445, -118.02117694699967","$312,000","$312,000",,Noncompliance,No Violation,,No,12
San Sebastián Filtration Plant,,Puerto Rico Aqueduct and Sewer Authority,"End Of Road 449San Sebastian, Pr 00685",Puerto Rico,"18.336808662000465, -66.99151790599961","$1,119,427","$1,024,427",,"Significant Noncompliance Category I, Effluent violations of non-monthly average limits",,,Yes,12
Sand Island Wastewater Treatment Plant,,City and County of Honolulu,"1350 Sand Island ParkwayHonolulu, Hi 96819",Hawaii,"21.304106702000468, -157.87186402199973","$2,550,000","$2,550,000",No Violation,"Significant Noncompliance Category I, Effluent violations of non-monthly average limits",No Violation,,Yes,12
Savannah Acid Plant,,Tronox,"1 Kerr-mcgee RoadSavannah, Ga 31404",Georgia,"32.07578247200047, -81.03445076799966","$4,202,879","$4,200,000","Addressed Violation, EPA Lead Enforcement",No Violation,Significant Violation,,Yes,12
Schott Metal Products,,Schott Metal Products,"2225 Lee DrAkron, Oh 44306",Ohio,"41.01116230400049, -81.48675447599965","$375,000","$375,000",,,Noncompliance,,No,12
Scotts,,Scotts Miracle-Gro,"14111 Scottslawn RoadMarysville, Oh 43040",Ohio,"40.21330812400049, -83.30873995999968","$6,050,000","$6,050,000","Unaddressed Violation, State/Local Lead Enforcement",Noncompliance,No Violation,,Yes,12
Scranton Sewer Authority Wastewater Treatment Plant,,City of Scranton,"Breck Street &amp; Cedar AvenueScranton, Pa 18505",Pennsylvania,"41.39270984800049, -75.66522614099966","$340,000","$340,000",No Violation,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",No Violation,,Yes,9
Seattle CSO,,City of Seattle,"(unspecified)Seattle, Wa 98104",Washington,"47.603308635000474, -122.32871685799972","$350,000","$350,000",,Noncompliance,,,No,9
Sevierville Wastewater Treatment Plant - McCrosky IS,,City of Sevierville,"2295 Mcroskey Island WwtpSevierville, Tn 37876",Tennessee,"35.92606984700046, -83.60132779799966","$354,500","$354,500",,"Significant Noncompliance Category I, Effluent violations of non-monthly average limits",,,Yes,12
Sewer Maintenance District 1 Wastewater Treatment Plant,,City of Auburn,"11755 Joeger RoadAuburn, Ca 95602",California,"38.96382830500045, -121.10931976899968","$423,000","$96,000",,Noncompliance,,,No,11
Shell Chemical,,Shell,"5900 Highway 225Deer Park, Tx 77536",Texas,"29.71094270900045, -95.11911106299965","$2,846,866","$2,600,000","Unaddressed Violation, State/Local Lead Enforcement",Noncompliance,Significant Violation,,Yes,12
Shell Chemical - Mobile Site,,Shell,"400 Industrial ParkwaySaraland, Al 36571",Alabama,"30.790918086000488, -88.05873043199966","$1,243,400","$11,500","Unaddressed Violation, State/Local Lead Enforcement",No Violation,No Violation,,Yes,2
Shell Chemical - Yabucoa,,Shell,"Road 901 Kilometer 2.7Yabucoa, Pr 00767",Puerto Rico,"18.04803328100047, -65.87948432899964","$2,594,000","$1,500,000",No Violation,"Significant Noncompliance Category I, Enforcement action issued and facility not meeting its compliance schedule",No Violation,,Yes,12
Shell Marianas - Saipan Terminal,,Shell,"Pmb1009ppp Po Box10000Saipan, Mp 96950",Puerto Rico,"15.177801,145.750967","$826,000","$826,000","Addressed Violation, EPA Lead Enforcement",No Violation,,,Yes,12
Shenango,,Shenango,"200 Neville Rd.Pittsburgh, Pa 15225",Pennsylvania,"40.4922172200005, -80.07997849199967","$2,000,000","$250,000",Noncompliance,Noncompliance,No Violation,,No,12
Shintech,,Shintech,"5618 Highway 332 EastFreeport, Tx 77541",Texas,"29.002824143000453, -95.38756797999969","$1,303,536","$651,768",No Violation,Noncompliance,Noncompliance,Serious Violator,Yes,9
Sinclair - Casper Refining,,Sinclair,"5750 East Us Highway 20/26Casper, Wy 82601",Wyoming,"42.84457605600045, -106.3235675679997","$343,000","$343,000",Noncompliance,,No Violation,,No,12
Sinclair - Wyoming Refining,,Sinclair,"100 East Lincoln AvenueSinclair, Wy 82334",Wyoming,"41.7790190930005, -107.10411810899967","$4,632,899","$3,359","Addressed Violation, State/Local Lead Enforcement",,Significant Violation,,Yes,12
Snapfinger Alaternative Waste Treatment Facility,,DeKalb County,"4124 Flakes Mill RoadDecatur, Ga 30034",Georgia,"33.67289032700046, -84.23017097899964","$464,500","$453,000",,Noncompliance,No Violation,,No,6
Solutia Chemical Manufacturing Plant,,Solutia,"730 Worcester StIndian Orchard, Ma 01151",Massachusetts,"42.15476628500045, -72.51958677299967","$970,000","$970,000","Unaddressed Violation, State/Local Lead Enforcement",Unknown,Noncompliance,,Yes,12
Sonoma County Water Agency -  Sonoma Valley CSDTP,,Sonoma County,"22675 8th Street EastSonoma, Ca 95476",California,"38.25189329000045, -122.4410637149997","$392,000",$0,,Noncompliance,,No Violation,No,10
South San Francisco - San Bruno Plant,,Cities of South San Francisco-San Bruno,"195 Belle Air RoadSouth San Francisco, Ca 94080",California,"37.64154909500047, -122.40000202899972","$621,100",$0,,Noncompliance,,,No,4
South San Luis Obispo Sewer District Wastewater Treatment Plant,,South San Luis Obispo County,"1600 Aloha PlaceOceano, Ca 93445",California,"35.10201200600045, -120.62514152599971","$1,109,813","$1,109,813",,Noncompliance,,,No,9
Southwest Shipyard,,Southwest ShipYard,"18310 Market StreetChannelview, Tx 77530",Texas,"29.79328747000045, -95.06493226799967","$318,285","$318,285",No Violation,Unknown,Noncompliance,,No,12
Spec Plating,,Spec Plating,"740 Seaview AvenueBridgeport, Ct 06607",Connecticut,"41.17373507800045, -73.17155525499965","$338,757","$112,919",No Violation,No Violation,Noncompliance,,No,12
Spectro Alloys,,Spectro Alloys,"13220 Doyle PathRosemount, Mn 55068",Minnesota,"44.758327103000454, -93.01338201499965","$952,588","$52,588","Addressed Violation, EPA Lead Enforcement",,No Violation,,Yes,12
St Paul Park Refining,,Northern Tier Energy,"100 West 3rd AvenueSaint Paul Park, Mn 55071",Minnesota,"44.85294246900048, -93.00438620599965","$4,004,000","$4,004,000","Addressed Violation, EPA Lead Enforcement",No Violation,No Violation,,Yes,12
State Correctional Institution - Huntingdon,,State Correctional Institution,"1100 Pike StreetHuntingdon, Pa 16652",Pennsylvania,"40.4924845380005, -78.02771969599968","$339,000","$339,000","Addressed Violation, EPA Lead Enforcement",,No Violation,Noncompliance,Yes,12
State Correctional Institution - Rockview,,State Correctional Institution,"State Route 26Bellefonte, Pa 16823",Pennsylvania,"40.917280435000464, -77.74203590699966","$339,000","$339,000",Noncompliance,,No Violation,Noncompliance,No,11
State Line Energy,,State Line Energy,"103rd St &amp; Lake MichiganHammond, In 46320",Indiana,"41.61249760700048, -87.50963726899965","$2,000,000","$2,000,000",No Violation,"Significant Noncompliance Category I, Reporting violation - Non-receipt of DMR",No Violation,,Yes,12
