Player,Team(s) when fined/suspended,Role when fined/suspended,Number of fines,Days of suspensions,Fined Amount,Age first fine (approximate),Date first fine,Date of Birth,Biography,Wikipedia Profile,Image
Bruce Irvin,Seattle Seahawks,Outside Linebacker,1,4,"$157,786",25.5,17/05/2013,01/11/1987,"Bruce Pernell Irvin, Jr. (born November 1, 1987) is an American football linebacker for the Seattle Seahawks of the National Football League (NFL). He was drafted in the 1st round of the 2012 NFL Draft, 15th overall by Seattle Seahawks.",http://en.wikipedia.org/wiki/Bruce_Irvin_(American_football),//upload.wikimedia.org/wikipedia/commons/1/1c/Bruce_Irvin_in_2013.jpg
Jayron Hosley,New York Giants,Cornerback,1,4,"$164,411",23.7,04/06/2014,18/09/1990,"Jayron Todd Hosley (born September 18, 1990) is an American football cornerback for the New York Giants . He played college football at Virginia Tech .",http://en.wikipedia.org/wiki/Jayron_Hosley,//upload.wikimedia.org/wikipedia/commons/e/e5/Jayron_Hosely_press_2011.jpg
Allen Barbre,Seattle Seahawks,Right Tackle,1,4,"$164,705",27.9,23/05/2012,22/06/1984,"Allen Wade Barbre (born June 22, 1984) is an American football offensive tackle for the Philadelphia Eagles . He was selected in the fourth round of the 2007 NFL Draft by the Green Bay Packers . He played college football for Missouri Southern State University .",http://en.wikipedia.org/wiki/Allen_Barbre,//upload.wikimedia.org/wikipedia/commons/f/f1/Allen_Barbre_2013.JPG
Brian Urlacher,Chicago Bears,Linebacker,5,0,"$166,750",28.9,19/04/2007,25/05/1978,"Brian Urlacher ( /ˈɜrlækər/ ; born May 25, 1978) is a former American football linebacker who spent his entire 13-year career playing for the Chicago Bears of the National Football League (NFL). He played college football for the University of New Mexico , where he was recognized as a consensus All-American and became one of the school's most decorated athletes.",http://en.wikipedia.org/wiki/Brian_Urlacher,//upload.wikimedia.org/wikipedia/commons/1/1a/Brian_Urlacher_crop2.jpg
Obafemi Ayanbadejo,Arizona Cardinals,Fullback,1,4,"$169,411",32.4,09/08/2007,05/03/1975,"Obafemi Devin Ayanbadejo ( /ˌoʊbəˈfɛmiˌaɪ.ənbəˈdeɪdʒoʊ/ ; born March 5, 1975) is a former American football fullback . He was signed by the Minnesota Vikings as an undrafted free agent in 1997. He played college football at San Diego State .",http://en.wikipedia.org/wiki/Obafemi_Ayanbadejo,//upload.wikimedia.org/wikipedia/commons/5/57/Obafemi_Ayanbadejo_in_2007.jpg
Donald Stephenson,Kansas City Chiefs,Right Tackle,1,4,"$171,617",25.9,22/08/2014,30/09/1988,"Donald Stephenson (born September 30, 1988) is an American football offensive tackle for the Kansas City Chiefs . A native of Kansas City, Missouri , Stephenson was drafted by the Chiefs in the 3rd Round of the 2012 NFL Draft from the University of Oklahoma . ",http://en.wikipedia.org/wiki/Donald_Stephenson,//upload.wikimedia.org/wikipedia/commons/9/98/Donald_Stephenson.JPG
Lee Ziemba,Carolina Panthers,Guard,1,4,"$172,941",23.6,28/10/2012,29/03/1989,"Lee Ziemba (born March 29, 1989) is an American football offensive tackle who was an offensive lineman in the National Football League (NFL). He played college football for Auburn University , and earned consensus All-American honors. The Carolina Panthers chose him in the seventh round of the 2011 NFL Draft .",http://en.wikipedia.org/wiki/Lee_Ziemba,
Cedric Benson,Cincinnati Bengals,Running Backs,1,1,"$176,647",28.8,18/10/2011,28/12/1982,"Cedric Myron Benson (born December 28, 1982) is a former American football running back . He played college football at Texas and was drafted by the Chicago Bears in the first round of the 2005 NFL Draft .",http://en.wikipedia.org/wiki/Cedric_Benson,//upload.wikimedia.org/wikipedia/commons/c/c3/Cedric_Benson.jpg
Walter Thurmond,Seattle Seahawks,Cornerback,1,4,"$177,852",26.3,24/11/2013,12/08/1987,"Walter Riley Thurmond III (born August 12, 1987) is an American football cornerback for the New York Giants of the National Football League (NFL). He was drafted by the Seattle Seahawks in the fourth round of the 2010 NFL Draft . He played college football at Oregon .",http://en.wikipedia.org/wiki/Walter_Thurmond,//upload.wikimedia.org/wikipedia/commons/9/98/Walter_Thurmond.JPG
Orlando Scandrick,Dallas Cowboys,Cornerback,2,2,"$179,823",26.8,13/12/2013,10/02/1987,"Orlando Lee Scandrick (born February 10, 1987) is an American football cornerback for the Dallas Cowboys of the National Football League . He was drafted by the Cowboys in the fifth round of the 2008 NFL Draft . He played college football at Boise State .",http://en.wikipedia.org/wiki/Orlando_Scandrick,//upload.wikimedia.org/wikipedia/commons/2/2c/Orlando_Scandrick_Cowboys_camp.jpg
Rob Jackson,Washington Redskins,Outside Linebacker,2,4,"$183,235",25.9,07/10/2011,03/11/1985,"Robert Gene Jackson (born November 3, 1985) is an American football linebacker who is currently a free agent. He was drafted by the Washington Redskins in the seventh round of the 2008 NFL Draft as a defensive end . He played college football at Kansas State University .",http://en.wikipedia.org/wiki/Rob_Jackson_(American_football),//upload.wikimedia.org/wikipedia/commons/c/c5/Rob_jackson_redskins.jpg
Clark Haggans,"Arizona Cardinals, San Francisco 49ers",Linebacker,2,3,"$186,470",33.9,29/11/2010,10/01/1977,"Clark Cromwell Haggans (born January 10, 1977) is an American football linebacker who is currently a free agent. He was drafted by the Pittsburgh Steelers in the fifth round of the 2000 NFL Draft . He played college football at Colorado State .",http://en.wikipedia.org/wiki/Clark_Haggans,//upload.wikimedia.org/wikipedia/commons/2/21/Clark_Haggans.jpg
Chris Cooper,Oakland Raiders,Defense,1,0,"$187,500",26.5,15/07/2004,27/12/1977,"Chris Cooper (born December 27, 1977 in Lincoln , Nebraska ) is a former American football defensive lineman . He was drafted by the Oakland Raiders in the sixth round of the 2001 NFL Draft . He played college football at Nebraska-Omaha .",http://en.wikipedia.org/wiki/Chris_Cooper_(American_football),
DeQuin Evans,Cincinnati Bengals,Defense,1,8,"$190,588",,30/08/2013,,,,
Jimmy Kennedy,New York Giants,Defensive Tackle,1,4,"$190,588",31.9,12/10/2011,15/11/1979,"Jimmy Wayne Kennedy (born November 15, 1979) is a former American football defensive tackle . He was drafted by the St. Louis Rams 12th overall in the 2003 NFL Draft . He played college football at Penn State . Kennedy has also been a member of the Denver Broncos , Chicago Bears , Jacksonville Jaguars , Minnesota Vikings , and New York Giants .",http://en.wikipedia.org/wiki/Jimmy_Kennedy_(American_football),
Jarvis Jenkins,Washington Redskins,Defense,3,4,"$191,814",25.3,26/07/2013,24/04/1988,"Jarvis Jenkins (born April 24, 1988) is an American football defensive end for the Washington Redskins of the National Football League (NFL). He was drafted by the Redskins with the 41st pick in the 2011 NFL Draft . He played college football at Clemson University .",http://en.wikipedia.org/wiki/Jarvis_Jenkins,//upload.wikimedia.org/wikipedia/commons/2/28/Jarvis_jenkins_2012.jpg
Luke Lawton,Oakland Raiders,Running Backs,1,4,"$192,471",29.3,24/12/2009,26/08/1980,"Richard Luke Lawton (born August 26, 1980 in New Iberia, Louisiana ) is a former American football fullback . He was signed by the Buffalo Bills as an undrafted free agent in 2004. He played college football at McNeese State .",http://en.wikipedia.org/wiki/Luke_Lawton,//upload.wikimedia.org/wikipedia/commons/1/16/Luke_Lawton.JPG
Calvin Pace,New York Jets,Outside Linebacker,2,4,"$193,007",28.7,02/07/2009,28/10/1980,"Calvin Lamar Pace (born October 28, 1980) is an American football outside linebacker for the New York Jets of the National Football League (NFL). He was drafted by Arizona Cardinals in the first round (18th overall) in the 2003 NFL Draft . He played college football at Wake Forest .",http://en.wikipedia.org/wiki/Calvin_Pace,//upload.wikimedia.org/wikipedia/commons/d/d4/Calvin_Pace_2011.JPG
Jordan Black,Washington Redskins,Tackle,1,4,"$194,117",32.9,17/12/2012,28/01/1980,"Brian Jordan Black (born January 28, 1980) is an American football offensive tackle who is currently a free agent. He was drafted by the Kansas City Chiefs in the fifth round of the 2003 NFL Draft . He played college football at the University of Notre Dame .",http://en.wikipedia.org/wiki/Jordan_Black_(American_football),
Steve Gregory,"New England Patriots, San Diego Chargers",Safety,2,4,"$196,092",27.7,04/10/2010,08/01/1983,"Stephen C. Gregory (born January 8, 1983) is a former American football safety that played in the National Football League (NFL). He was signed by the San Diego Chargers as an undrafted free agent in 2006. He played college football at Syracuse .",http://en.wikipedia.org/wiki/Steve_Gregory_(American_football),//upload.wikimedia.org/wikipedia/commons/d/de/Steve-Gregory-Aug-2-08-Practice.jpg
Joey Porter,"Pittsburgh Steelers, Miami Dolphins",Linebacker,5,0,"$198,676",29.8,27/12/2006,22/03/1977,"Joseph Eugene Porter (born March 22, 1977) is a retired NFL linebacker who played for thirteen seasons. After playing college football for Colorado State , he was drafted by the Pittsburgh Steelers in the third round of the 1999 NFL Draft . A four-time Pro Bowl selection, Porter earned a Super Bowl ring with the Steelers in Super Bowl XL . He played for the Miami Dolphins from 2007 to 2009 and the Arizona Cardinals from 2010 to 2011.",http://en.wikipedia.org/wiki/Joey_Porter,//upload.wikimedia.org/wikipedia/commons/0/0a/Joey_Porter_Steelers_2006.jpg
Matt Lehr,Atlanta Falcons,Center,1,4,"$198,823",27.5,17/10/2006,25/04/1979,"Matthew Steven Lehr (born April 25, 1979 in Jacksonville, Florida ) is an American football guard who is currently a free agent . He was drafted by the Dallas Cowboys in the fifth round of the 2001 NFL Draft . He played college football at Virginia Tech . He has also played for the St. Louis Rams , Atlanta Falcons , Tampa Bay Buccaneers and New Orleans Saints .",http://en.wikipedia.org/wiki/Matt_Lehr,
Ahmard Hall,Tennessee Titans,Fullback,1,4,"$200,000",31.8,03/09/2011,13/11/1979,"Ahmard Rashad Hall (born November 13, 1979 in Galveston, Texas ) is an American football fullback . He was originally signed by the Titans as an undrafted free agent in 2006. He played college football at Texas .",http://en.wikipedia.org/wiki/Ahmard_Hall,//upload.wikimedia.org/wikipedia/en/7/78/AhmardHall_Marinesdotcom.jpg
Joe Mays,Denver Broncos,Inside Linebacker,1,1,"$205,882",27.2,25/09/2012,06/07/1985,"Joseph Lamont ""Joe"" Mays (born July 6, 1985) is an American football linebacker for the Kansas City Chiefs of the National Football League (NFL). He was drafted by the Philadelphia Eagles in the sixth round of the 2008 NFL Draft after playing college football at North Dakota State .",http://en.wikipedia.org/wiki/Joe_Mays_(American_football),//upload.wikimedia.org/wikipedia/commons/d/d7/Joe_Mays_%28American_football%29.JPG
Brandon Browner,Seattle Seahawks,Cornerback,3,20,"$212,912",28.2,28/09/2012,02/08/1984,"Brandon Kemar Browner (born August 2, 1984) is an American football cornerback for the New England Patriots of the National Football League (NFL). In 2005, Browner signed with the Denver Broncos as an undrafted free agent. Browner played four seasons with the Calgary Stampeders of the Canadian Football League (CFL) where he was a three-time CFL All-Star and a member of Grey Cup championship team in 2008 before signing with the Seattle Seahawks before the 2011 season.",http://en.wikipedia.org/wiki/Brandon_Browner,//upload.wikimedia.org/wikipedia/commons/6/6d/Brandon_Browner.JPG
Phillip Buchanon,Washington Redskins,Cornerback,1,4,"$214,117",30.9,02/08/2011,19/09/1980,"Phillip Darren Buchanon (born September 19, 1980 in Fort Myers, Florida ) is a former American football cornerback that played in the National Football League (NFL). He was drafted by the Oakland Raiders 17th overall in the 2002 NFL Draft . He played college football at the University of Miami .",http://en.wikipedia.org/wiki/Phillip_Buchanon,
Ryan McBean,Baltimore Ravens,Defense,1,3,"$214,285",28.0,08/05/2012,22/04/1984,"Ryan McBean (born April 22, 1984) is an American football defensive end who is currently a free agent. He was drafted by the Pittsburgh Steelers in the fourth round of the 2007 NFL Draft . He played college football at Oklahoma State .",http://en.wikipedia.org/wiki/Ryan_McBean,//upload.wikimedia.org/wikipedia/commons/2/29/Ryan_McBean%2C.JPG
Marshawn Lynch,"Seattle Seahawks, Buffalo Bills",Running Backs,3,3,"$216,427",23.0,09/04/2009,22/04/1986,"Marshawn ""Debo"" Terrell Lynch (born April 22, 1986), is an American football running back for the Seattle Seahawks of the National Football League (NFL). He is nicknamed ""Beast Mode"" for his aggressive running style and penchant for breaking tackles. Lynch played college football for the University of California , Berkeley where he became the school's second all-time career rusher. He was drafted by the Buffalo Bills in the first round of the 2007 NFL Draft .",http://en.wikipedia.org/wiki/Marshawn_Lynch,//upload.wikimedia.org/wikipedia/commons/c/c1/Marshawn_Lynch_Pro_Bowl_2013.jpg
Erik Walden,"Indianapolis Colts, Green Bay Packers",Outside Linebacker,3,1,"$219,122",26.1,30/09/2011,21/08/1985,"Erik Lashawn Walden (born August 21, 1985) is an American football linebacker for the Indianapolis Colts of the National Football League . He was drafted by the Dallas Cowboys in the sixth round of the 2008 NFL Draft . He played college football at Middle Tennessee State . He has also played for the Kansas City Chiefs , Miami Dolphins and Green Bay Packers .",http://en.wikipedia.org/wiki/Erik_Walden,//upload.wikimedia.org/wikipedia/commons/f/f9/Erik_Walden.jpg
Michael Vick,"Philadelphia Eagles, Atlanta Falcons, New York Jets",Quarterback,5,2,"$222,319",22.3,01/11/2002,26/06/1980,"Michael Dwayne Vick (born June 26, 1980) is an American football quarterback for the New York Jets of the National Football League (NFL). He has previously played for the Atlanta Falcons and Philadelphia Eagles. ",http://en.wikipedia.org/wiki/Michael_Vick,//upload.wikimedia.org/wikipedia/commons/7/7f/Michael-Vick_Jets-vs-Eagles-Sept-3-2009_Post-Game-Interview_%28cropped%29.jpg
James Harrison,Pittsburgh Steelers,Outside Linebacker,7,1,"$223,529",30.4,09/10/2008,04/05/1978,"James Andrew Harrison, Jr. (born May 4, 1978) is an American football linebacker for the Pittsburgh Steelers of the National Football League (NFL). He also was a member of the Cincinnati Bengals. He played college football for Kent State University, and was signed by the Pittsburgh Steelers as an undrafted free agent in 2002. A five-time Pro Bowl selection, Harrison has earned two Super Bowl rings with the Steelers in Super Bowl XL and Super Bowl XLIII. Harrison also played NFL Europe s Rhein Fire and had a brief stint with the Baltimore Ravens. He played 10 games for Cincinnati in 2013. Soon after his season in 2013 with Cincinnati he stated that he would be retiring from the NFL, but he came out of retirement to return to the Pittsburgh Steelers on a 1-year contract after the Steelers suffered multiple injuries at linebacker.",http://en.wikipedia.org/wiki/James_Harrison_(American_football),//upload.wikimedia.org/wikipedia/commons/0/06/James_Harrison_%28American_football%29_2013.jpg
Brandon Jacobs,"San Francisco 49ers, New York Giants",Running Backs,5,3,"$225,500",27.5,24/12/2009,06/07/1982,"Brandon Christopher Jacobs (born July 6, 1982) is a retired American football running back , who spent the majority of his career with the New York Giants of the National Football League (NFL). He was drafted by the Giants in the fourth round of the 2005 NFL Draft . He also played one season for the San Francisco 49ers before returning to New York for his final season. He played college football at Coffeyville , Auburn , and Southern Illinois .",http://en.wikipedia.org/wiki/Brandon_Jacobs,
Barrett Robbins,Oakland Raiders,Center,1,0,"$234,375",30.9,15/07/2004,26/08/1973,"Barrett Glen Robbins (born August 26, 1973) is a former American football center who played nine seasons for the Oakland Raiders of the National Football League (NFL). After playing college football for Texas Christian University , he was taken by the Oakland Raiders in the second round of the 1995 NFL Draft . He became one of the NFL's best centers, being elected to the Pro Bowl in 2002. He was the leader of the Raiders offensive line that led them to Super Bowl XXXVII .",http://en.wikipedia.org/wiki/Barret_Robbins,
Tank Johnson,Chicago Bears,Defensive Tackle,1,8,"$240,000",25.5,04/06/2007,07/12/1981,"Terry ""Tank"" Johnson (born December 7, 1981) is an American professional football defensive tackle who is currently a free agent . He was drafted by the Chicago Bears in the second round of the 2004 NFL Draft . He played college football at Washington .",http://en.wikipedia.org/wiki/Tank_Johnson,//upload.wikimedia.org/wikipedia/commons/8/89/Tank_Johnson_at_2010_training_camp.jpg
Mike Goodson,"Oakland Raiders, New York Jets",Running Backs,2,4,"$258,128",25.6,04/01/2013,23/05/1987,"Michael Darryl Goodson, Jr. (born May 23, 1987) is an American football running back who is currently a free agent . He was drafted by the Carolina Panthers in the fourth round of the 2009 NFL Draft . He played college football at Texas A&M .",http://en.wikipedia.org/wiki/Mike_Goodson,//upload.wikimedia.org/wikipedia/commons/7/7f/Mike_Goodson_%28cropped%29.jpg
Charles Grant,Chicago Bears,Defense,1,2,"$264,705",33.0,03/09/2011,03/09/1978,"Charles Gabriel Grant (born September 3, 1978) is a former American football defensive end in the National Football League . He was drafted by the New Orleans Saints in the first round of the 2002 NFL Draft . He played college football at Georgia .",http://en.wikipedia.org/wiki/Charles_Grant_(American_football),
Michael Griffin,Tennessee Titans,Safety,4,1,"$267,882",27.8,10/10/2012,04/01/1985,"Michael Devin Griffin (born January 4, 1985) is a professional American football safety for the Tennessee Titans of the National Football League . He played college football for the University of Texas . He was drafted in the 1st round (19th overall) of the 2007 NFL Draft by the Tennessee Titans.",http://en.wikipedia.org/wiki/Michael_Griffin_(American_football),//upload.wikimedia.org/wikipedia/commons/e/e4/Michael_Griffin_%28American_football%29.JPG
Michael Pittman,"Denver Broncos, Tampa Bay Buccaneers",Running Backs,2,3,"$269,705",28.9,22/06/2004,14/08/1975,"Michael Pittman (born August 14, 1975) is a retired American football running back . He was drafted by the Arizona Cardinals in the fourth round of the 1998 NFL Draft . He played college football at Fresno State .",http://en.wikipedia.org/wiki/Michael_Pittman,
Julius Peppers,Carolina Panthers,Outside Linebacker,3,4,"$270,000",22.9,04/12/2002,18/01/1980,"Julius Frazier Peppers (born January 18, 1980) is an American football player for the Green Bay Packers of the National Football League (NFL). He played college football for the University of North Carolina , and was recognized as a unanimous All-American . The Carolina Panthers selected him with the second overall pick in the 2002 NFL Draft , where he played his first eight seasons before playing four seasons with the Chicago Bears and then signing with Green Bay Packers for the 2014 season.",http://en.wikipedia.org/wiki/Julius_Peppers,//upload.wikimedia.org/wikipedia/commons/6/60/Julius_Peppers_%28cropped%29.JPG
Chris Henry,"Cincinnati Bengals, Tennessee Titans",Running Backs,2,12,"$271,763",21.8,01/04/2007,06/06/1985,"Chris John Henry (born June 6, 1985) is a former American football running back . He was drafted by the Tennessee Titans in the second round of the 2007 NFL Draft . He played college football at Arizona .",http://en.wikipedia.org/wiki/Chris_Henry_%28running_back%29,http://upload.wikimedia.org/wikipedia/commons/0/04/John_David_Booty_to_Chris_Henry_-_Houston_Texans.jpg
Shaun Ellis,New York Jets,Defense,2,1,"$283,529",31.5,23/12/2008,24/06/1977,"MeShaunda ""Shaun"" Pizarrur Ellis (born June 24, 1977), nicknamed Big Katt , is a former American football defensive end who played twelve seasons in the National Football League (NFL). He played college football for the University of Tennessee . Ellis was drafted by the New York Jets in the first round (12th overall) of the 2000 NFL Draft , and also played for the New England Patriots . He was a two-time Pro Bowl selection.",http://en.wikipedia.org/wiki/Shaun_Ellis,//upload.wikimedia.org/wikipedia/commons/3/3c/Shaun_Ellis-Jets_vs._Jaguars_November_15%2C_2009.jpg
Chris Cook,Minnesota Vikings,Cornerback,2,10,"$290,955",24.7,25/10/2011,15/02/1987,"Christopher O'Shea Cook (born February 15, 1987) is an American football cornerback for the San Francisco 49ers of the National Football League (NFL). He played college football at Virginia and was drafted by the Minnesota Vikings in the second round of the 2010 NFL Draft .",http://en.wikipedia.org/wiki/Chris_Cook_(American_football),//upload.wikimedia.org/wikipedia/commons/e/e9/Chris_Cook_of_Minnesota_Vikings%2C_2012-12-30.jpg
Cedric Griffin,Washington Redskins,Cornerback,1,4,"$294,117",30.1,04/12/2012,11/11/1982,"Cedric Leonard Griffin (born November 11, 1982) is a former American football cornerback in the National Football League (NFL). He was drafted by the Minnesota Vikings in the second round of the 2006 NFL Draft . He played college football at the University of Texas , where he was a stand-out performer on the 2005 national championship team .",http://en.wikipedia.org/wiki/Cedric_Griffin,//upload.wikimedia.org/wikipedia/commons/5/56/Cedric_griffin.jpg
Brandon Meriweather,"Chicago Bears, Washington Redskins, New England Patriots",Safety,7,3,"$315,676",25.8,16/10/2009,14/01/1984,"Brandon Meriweather (born January 14, 1984) is an American football safety for the Washington Redskins of the National Football League (NFL). He played college football for the University of Miami, and was drafted by the New England Patriots with the 24th overall pick in the 2007 NFL Draft. Meriweather has also played for the Chicago Bears. ",http://en.wikipedia.org/wiki/Brandon_Meriweather,//upload.wikimedia.org/wikipedia/commons/b/b3/Brandon_Meriweather_02.jpg
Asa Jackson,Baltimore Ravens,Cornerback,2,12,"$317,646",23.0,11/12/2012,02/12/1989,"Asa Rashaan Webster Jackson (born December 2, 1989) is an American football cornerback and return specialist for the Baltimore Ravens of the National Football League (NFL). Jackson was born in Sacramento, California and attended Christian Brothers High School. He excelled while playing college football for Cal Poly. ",http://en.wikipedia.org/wiki/Asa_Jackson,//upload.wikimedia.org/wikipedia/commons/d/d3/Asa_Jackson_MT_Stadium_2012_Practice.jpg
JoLonn Dunbar,St. Louis Rams,Outside Linebacker,2,4,"$322,419",28.4,14/08/2013,13/03/1985,"Jo-Lonn D. Dunbar (born March 13, 1985) is an American football linebacker for the St. Louis Rams of the National Football League (NFL). He was signed by the New Orleans Saints as an undrafted free agent in 2008. He played college football at Boston College .",http://en.wikipedia.org/wiki/Jo-Lonn_Dunbar,//upload.wikimedia.org/wikipedia/commons/5/5e/Jo-Lonn_Dunbar_Saints_victory_parade.jpg
Marcus Stroud,Jacksonville Jaguars,Defensive Tackle,1,4,"$332,941",29.4,06/11/2007,25/06/1978,"Marcus LaVar Stroud (born June 25, 1978) is a retired American football defensive tackle who played in the National Football League (NFL) for ten seasons. He played college football for the University of Georgia , and was drafted by the Jacksonville Jaguars 13th overall in the 2001 NFL Draft . He was also a member of the NFL's Buffalo Bills and New England Patriots .",http://en.wikipedia.org/wiki/Marcus_Stroud,//upload.wikimedia.org/wikipedia/commons/b/b5/Marcus_Stroud_2010.jpg
Dominic Rhodes,"Oakland Raiders, Indianapolis Colts",Running Backs,2,5,"$364,705",28.5,04/07/2007,17/01/1979,"Dominic Dondrell Rhodes (born January 17, 1979) is an American football running back . He attended Cooper High School in Abilene, Texas. He was signed by the Indianapolis Colts as an undrafted free agent in 2001. He played college football at Midwestern State .",http://en.wikipedia.org/wiki/Dominic_Rhodes,
Jerome Simpson,Minnesota Vikings,Wide Receiver,2,6,"$364,705",26.3,11/06/2012,04/02/1986,"Jerome Louis Simpson (born February 4, 1986) is a former American football wide receiver who is currently a free agent. He was drafted by the Cincinnati Bengals in the second round of the 2008 NFL Draft . He played college football at Coastal Carolina .",http://en.wikipedia.org/wiki/Jerome_Simpson,//upload.wikimedia.org/wikipedia/commons/6/64/Jerome_Simpson_on_the_bench_2012-12-30.jpg
Weslye Saunders,"Indianapolis Colts, Pittsburgh Steelers",Wide Receiver,2,12,"$370,587",23.1,07/02/2012,16/01/1989,"Weslye Saunders (born January 16, 1989) is an American football tight end who is currently a free agent. He was signed by the Pittsburgh Steelers as an undrafted free agent in 2011. He played college football at South Carolina .",http://en.wikipedia.org/wiki/Weslye_Saunders,http://upload.wikimedia.org/wikipedia/commons/8/87/Weslye_Saunders.JPG
Josh Brent,Dallas Cowboys,Defensive Tackle,1,10,"$370,588",26.6,02/09/2014,30/01/1988,"Joshua Aaron Price-Brent (born January 30, 1988) is an American football nose tackle who plays for the Dallas Cowboys of the National Football League (NFL). He was drafted by Dallas in the seventh round of the 2010 NFL Supplemental Draft. He retired on July 18, 2013 to focus on his off the field issues. On July 30th, 2014, a day after being discharged from an alcohol and drug treatment center, his agent announced that he would like to continue his NFL career if the Cowboys would have him back and the NFL would accept his return. Brent will be eligible to return to action in week 11 of the 2014 NFL season . ",http://en.wikipedia.org/wiki/Josh_Brent,//upload.wikimedia.org/wikipedia/commons/9/98/Josh_Brent.jpg
Ndamukong Suh,Detroit Lions,Defensive Tackle,8,2,"$377,169",23.7,03/09/2010,06/01/1987,"Ndamukong Suh ( /ɨnˈdɑːməkɨnˈsuː/ in-DOM-ə-kin SOO , born January 6, 1987) is an American football defensive tackle for the Detroit Lions of the National Football League (NFL). He played college football for the University of Nebraska , and earned All-American honors. He was chosen by the Lions with the second overall pick of the 2010 NFL Draft .",http://en.wikipedia.org/wiki/Ndamukong_Suh,//upload.wikimedia.org/wikipedia/commons/9/9b/Ndamukong_Suh_2012.jpg
Antonio Smith,Houston Texans,Defense,3,1,"$389,691",30.9,14/09/2012,21/10/1981,"Antonio DeShonta Smith (born October 21, 1981), nicknamed the Ninja Assassin , is an American football defensive tackle for the Oakland Raiders of the National Football League (NFL). He played college football for Oklahoma State University , and was drafted by the Arizona Cardinals in the fifth round of the 2004 NFL Draft .",http://en.wikipedia.org/wiki/Antonio_Smith_(defensive_end),//upload.wikimedia.org/wikipedia/commons/5/5c/Antonio_Smith_Texans_practice_%2710.jpg
Will Hill,New York Giants,Safety,4,14,"$421,631",22.6,08/10/2012,07/03/1990,"Will Hill III (born March 7, 1990) is an American football safety for the Baltimore Ravens of the National Football League (NFL). He played college football for the University of Florida and was a member of Florida's 2009 BCS National Championship team. He was signed as an undrafted free agent by the New York Giants in 2012, and has also played for the Arizona Rattlers of the Arena Football League .",http://en.wikipedia.org/wiki/Will_Hill,
Kellen Winslow,"Cleveland Browns, New York Jets",Tight End,2,5,"$432,941",25.3,21/10/2008,21/07/1983,"Kellen Boswell Winslow II (born July 21, 1983) is an American football tight end who is currently a free agent . He played college football at the University of Miami , where he earned unanimous All-American honors and was recognized as the top college tight end. He was selected by the Cleveland Browns with the sixth overall pick in the 2004 NFL Draft . He has also played for the Tampa Bay Buccaneers , Seattle Seahawks , New England Patriots and New York Jets .",http://en.wikipedia.org/wiki/Kellen_Winslow_II,//upload.wikimedia.org/wikipedia/en/1/18/KW2SunnyDay.JPG
Stephen Cooper,San Diego Chargers,Linebacker,1,4,"$470,588",28.8,15/04/2008,19/06/1979,"Stephen Cooper (born June 19, 1979) is a former American football linebacker for the San Diego Chargers of the National Football League (NFL). He played college football for the University of Maine . He was signed by the San Diego Chargers as an undrafted free agent in 2003, and played his entire professional career for the Chargers.",http://en.wikipedia.org/wiki/Stephen_Cooper_(American_football),//upload.wikimedia.org/wikipedia/commons/e/ed/Stephen_Cooper_%28American_football%29.JPG
Dashon Goldson,"San Francisco 49ers, Tampa Bay Buccaneers, Spencer Nealy",Safety,8,1,"$496,455",26.1,22/10/2010,18/09/1984,"Dashon Hugh Goldson (born September 18, 1984) is an American football safety for the Tampa Bay Buccaneers of the National Football League (NFL). He played college football for the University of Washington . He was drafted by the San Francisco 49ers in the fourth round of the 2007 NFL Draft . ",http://en.wikipedia.org/wiki/Dashon_Goldson,//upload.wikimedia.org/wikipedia/commons/3/3d/Dashon_Goldson_at_49ers_training_camp_2010-08-11_1.JPG
Aqib Talib,"Denver Broncos, New England Patriots",Cornerback,3,5,"$527,532",24.5,31/08/2010,13/02/1986,"Aqib Talib (born February 13, 1986) is an American football cornerback for the Denver Broncos of the National Football League (NFL). He was drafted by the Tampa Bay Buccaneers in the first round of the 2008 NFL Draft . He played college football at Kansas , where he received unanimous All-American honors. Talib has also played for the New England Patriots .",http://en.wikipedia.org/wiki/Aqib_Talib,//upload.wikimedia.org/wikipedia/commons/9/9a/Aqib_Talib_2014.JPG
Ryan Tucker,"Cleveland Browns, ",Tackle,2,12,"$541,176",32.1,03/08/2007,12/06/1975,"Ryan Tucker (born June 12, 1975 in Midland, Texas ) is a retired offensive tackle who played for the St. Louis Rams and Cleveland Browns in the National Football League . He was drafted by the St. Louis Rams in the fourth round of the 1997 NFL Draft . He played college football at Texas Christian .",http://en.wikipedia.org/wiki/Ryan_Tucker,//upload.wikimedia.org/wikipedia/en/6/69/P_vip.svg
Richie Incognito,"St. Louis Rams, Miami Dolphins",Guard,6,4,"$565,588",25.3,17/10/2008,05/07/1983,"Richard Dominick ""Richie"" Incognito, Jr. (born July 5, 1983) is an American football guard who is currently a free agent. Before playing for the NFL, he played college football for the University of Nebraska . Incognito was drafted by the St. Louis Rams in the third round of the 2005 NFL Draft and played for them through to the 2008 season . Incognito played for the Buffalo Bills during the 2009 season and the Miami Dolphins from 2010–2013. ",http://en.wikipedia.org/wiki/Richie_Incognito,//upload.wikimedia.org/wikipedia/commons/9/9c/Richie_Incognito_only_MIA_vs_OAK_008.jpg
