Company,"Know to use the ""Double Irish Arrangement""?",Discloses Likely Tax Payments from Repatriation,Citizen for Tax Justice ID,Category,Description,Turnover,Profit,Employees,Address,Profile on Irish Times,Coordinates,Image,Sources,Sources Link,Homepage,Twitter
Stafford Group,,,,Energy,"The privately-owned Stafford Group is involved in sports retail, oil/solid fuel importation and distribution, shipping, storage and property development. The Stafford Group's energy division consists of Campus Oil and Stafford Fuels. The company also owns the Lifestlye Sports chain and Stafford Shipping.","€359,700,000","€2,200,000",808,4 Bracken Business Park  Bracken Road  Sandyford  Dublin 18,http://www.top1000.ie/stafford-group,"53.274717,-6.217527",,,,http://www.staffordgroup.ie/,
Stafford Lynch,,,,Food,"Stafford Lynch is a multi-channel sales, marketing and distribution service provider. The company distributes household and retail brands including Schwartz, Lo Salt, Kettle Chips, Sudocream and Dr Oetker.","€34,900,000","€1,100,000",96,101 Northwest Business Park  Ballycoolin  Blanchardstown  Dublin 15.,http://www.top1000.ie/stafford-lynch,"53.414294,-6.356003",,,,http://www.staffordlynch.ie/,
Starlite Aviation Operations,,,,Transport,Starlite Aviation Group offers a range of helicopter services on a worldwide basis through head offices in Ireland and South Africa. The company was established in South Africa in 1999. Starlite Aviation Operations (Pty) Ltd. in South Africa and Starlite Aviation Ireland are the main licensed aircraft operators for the group.,"€28,600,000","€7,000,000",3,2nd Floor  Europa House  Harcourt Centre  Harcourt St  Dublin 2,http://www.top1000.ie/starlite-aviation-operations,"53.333342,-6.263264",,,,http://www.starliteaviation.ie/,
Staycity,,,,Tourism,"Headquartered in Dublin, Staycity is a privately held company. It operates more than 1000 serviced apartments in city centre locations in Birmingham, Dublin, Edinburgh, Liverpool, London, Manchester and Paris. Staycity is growing quickly and will be opening a further base in Greenwich London and Lyon France in 2014.","€25,200,000","€1,100,000",250,,http://www.top1000.ie/staycity,,,,,http://www.staycity.com/,
Stewart,,,,Construction,"Stewart building group, founded by James Stewart in 1902, is still owned and managed by the Stewart family. It operates as a nationwide general building contractor with its head office in Galway city. JSL Group is the limited liability company behind Stewart.","€27,200,000","-€600,000",49,43 Lower Salthill  Galway,http://www.top1000.ie/stewart,"53.266071,-9.071169",,,,http://www.stewart.ie/,
Stobart Air,,,,Transport,"Stobart Air, formerly known as Aer Arann was established in 1970 by James Coen and Ralph Langan to provide a friendly, reliable, value for money air service to 1,000 islanders, located in Inis Mór off the west coast of Ireland with a fleet of BN-2 Islanders.In January 2010, Aer Arann and Aer Lingus announced the establishment of a franchise arrangement between the two airlines which saw Aer Arann operate a number of routes from Dublin, Cork and Shannon to the UK under the Aer Lingus Regional brand.EI-RAs a result of the challenging economic environment and the direct impact of volcanic ash disruptions, Aer Arann officially entered Examinership in August 2010. Aer Arann emerged from Examinership in October 2010 following a business re-structure and new investment.","€100,000,000",,330,1 Northwood Ave  Dublin  Dublin 9,http://www.top1000.ie/stobart-air,"53.402931,-6.258001",,,,,
Stonehouse,,,,Food,"Established in early 2000, Stonehouse is the product of the merger between Keencost Centres (Ireland), trading since 1975, and the National Wholesale Groceries Alliance, established in 1961. Stonehouse is an independent wholesale company with a network of 27 member companies; all family run businesses totalling 36 warehouses nationwide. Its brands include Homestead.","€700,000,000",,800,Stonehouse  12 Dundrum Business Park  Dundrum  Dublin 14,http://www.top1000.ie/stonehouse,"53.283026,-6.238254",,,,http://www.stonehouse.ie/,
Stratus Technologies,,,,Business Technology,"Stratus Technologies is a global provider of fault-tolerant computer systems, technologies and services. It sells to other Stratus entities, third party resellers and to customer directly. It employs 15 people from a base in Dublin 12. Its parent company is Stratus Technologies Bermuda Holdings Ltd. It has sales offices, subsidiaries and distributors all over the world. Its servers aim to deliver very high uptime assurances to businesses and organisations around the world. Among the parent company's long-time customers are operations where potential harm from service failure is very high - such as credit card networks, brokerage firms and utility companies.","€108,500,000","€2,300,000",17,Unit 275  Block F  Blanchardstown Corporate Park 2  Ballycoolin  Dublin 15,http://www.top1000.ie/stratus-technologies,"53.411715,-6.369686",http://www.top1000.ie/images/logo/stratus-technologies,,,http://www.stratus.com/,@stratus4uptime
Stryker,,,,Health,"Stryker is a medical technology company. The company offers medical technologies, including reconstructive, medical and surgical, and neurotechnology and spine products.","€514,800,000","€87,200,000",853,Stryker  Raheen Business Park  Limerick,http://www.top1000.ie/stryker,"52.663857,-8.626773",,,,http://www.stryker.com/,
Suir Pharma,,,,Health,"Suir Pharma Ireland, originally named Clonmel Chemicals, was founded in the 1970s by a group of local business people. It moved to the existing site in 1984 and in 1987 built a second manufacturing plant on the site to produce penicillin based products for the US market.In 2000 Stada AG acquired the site and developed it to the highest standards both in terms of quality and process capabilities. Due to a re-organisation in the Stada Group it was decided to divest our site which was acquired by mutares AG in January 2012. Suir Pharma is now an independent provider of contract manufacturing and development services to the Global Pharma industry.Suir Pharma Ireland supplies products across a board spectrum of therapeutic areas including pain management, anti-depressants, antihypertensives, benzodiazepines and gastrointestinal treatments.","€24,300,000","€25,283",175,Suir Pharma Ireland  Waterford Road  Clonmel  Co. Tipperary,http://www.top1000.ie/suir-pharma,"52.355817,-7.690255",,,,http://www.suirpharma.com/,
Sulzer Pump Solutions Ireland,,,,Manufacturing,Sulzer Pump Solutions Ireland manufactures electrical submersible pumps at its base in Wexford. It employs more than 200 people.,"€67,200,000","€6,400,000",258,Clonard Road  Wexford,http://www.top1000.ie/sulzer-pump-solutions-ireland,"52.331805,-6.478181",,,,http://www.sulzerpumps.com/,
Sunway,,,,Transport,"The Sunway Travel group is an Irish-owned tour operator. It was founded in 1966 as a small travel agency in Blackrock, Co Dublin. Its head offices are now in Dun Laoghaire.","€29,700,000","-€600,000",37,Sunway Holidays  Marina House  Clarence Street  Dun Laoghaire  Co Dublin,http://www.top1000.ie/sunway,"53.295668,-6.142626",,,,http://www.sunway.ie/,
Supermac's,,,,Food,"Supermac's is Ireland's largest indigenous fast food group. The first Supermac's opened in 1978 on Main Street, Ballinasloe, Co Galway. Supermac's now has a turnover in excess of €60 million and over 100 stores throughout the Republic of Ireland and Northern Ireland. Supermac's was founded by managing director Pat McDonagh.","€72,700,000","€5,400,000",899,Ballybrit Business Park  Ballybrit  Galway,http://www.top1000.ie/supermacs,"53.292867,-9.002668",http://www.top1000.ie/images/logo/supermacs,,,http://supermacs.ie/,@SupermacsIRE
Suretank,,,,Energy,"Suretank manufactures cargo carrying units for the offshore oil industry. Established in 1995 in Ireland to supply the North Sea, the company is now a global supplier with design and manufacturing facilities in Ireland, UK, Poland, Thailand and China as well as sales offices in USA, Norway and Brazil. Suretank's product range includes chemical and acid transport tanks, helifuel tanks, offshore containers, baskets, mudskips and cryogenic tanks.","€71,100,000","€6,200,000",635,Shamrock Hill  Dunleer  Co Louth,http://www.top1000.ie/suretank,"53.829815,-6.399662",,,,http://www.suretank.com/,
Swords Laboratories,,,,Pharma,"Swords Laboratories is one of two bulk pharmaceutical plants owned and operated by Bristol-Myers Squibb (BMS) in Ireland. Swords Laboratories manufactures bulk pharmaceuticals which are shipped to BMS finishing plants around the world where they are used as the key ingredients in the production of tablets, capsules and other healthcare treatment.","€133,200,000",,275,Watery Lane  Swords  Co.Dublin,http://www.top1000.ie/swords-laboratories,"53.462745,-6.222014",http://www.top1000.ie/images/logo/swords-laboratories,,,http://www.bmsireland.ie/swords,@bmsnews
Symantec,,Yes,Symantec Corporation,Technology,"Internet security technology group Symantec provides content and network security software and appliance solutions to individuals, enterprises and service providers. Symantec's consumer security products include the Norton brand. Headquartered in California, Symantec has worldwide operations in 38 countries. Its Irish presence is located in Blanchardstown.","€1,600,000,000","€14,600,000",927,Symantec  Ballycoolin Business Park  Blanchardstown  Dublin 15,http://www.top1000.ie/symantec,"53.428314,-6.384973",http://www.top1000.ie/images/logo/symantec,Citizen For Tax Justice 2013,http://ctj.org/pdf/applenotalone.pdf,http://www.symantec.ie/,@symantec
Syncreon,,,,Transport,"Syncreon is one of the world's largest logistics companies. It was formed in January 2007 following the merger of Irish company Walsh Western International and TDS Logistics. In 2009 the company bought US firm NAL Worldwide Holdings for an estimated $35 million. The group, whose parent firm is registered in Ireland as an unlimited company, relocated its headquarters from Dublin to Auburn Hills in Michigan, north of Detroit, in February 2008. In Ireland it has operations in Dublin, Cork and Limerick.","€738,200,000","€14,600,000","11,561",1A Airport Business Park  Cloghran  Dublin Airport,http://www.top1000.ie/syncreon,"53.445524,-6.206588",http://www.top1000.ie/images/logo/syncreon,,,http://www.synecron.com/,@syncreon
Synergen,,,,Energy,"Synergen uses natural gas to generate electricity which the company sells into the Single Electricity Market (SEM). The SEM is the wholesale electricity market operating in the Republic of Ireland and Northern Ireland. Synergen is a base load plant, which means it operates at full load around the clock, seven days a week. It generates 400 Megawatts per hour of electricity which is sold into the SEM.","€214,000,000","€58,200,000",,Pigeon House Road  Ringsend  Dublin 4,http://www.top1000.ie/synergen,"53.336289,-6.206678",,,,http://www.synergen.ie/,
Synopsys,,,,Consumer Technology,"Synopsys delivers semiconductor design software, intellectual property (IP), design for manufacturing (DFM) solutions and professional services that companies use to design systems-on-chips (SoCs) and electronic systems. The company's products enable semiconductor, manufacturing, computer, communications, consumer electronics and other companies that develop electronic products to improve performance, increase productivity and achieve predictable success from systems to silicon.","€770,300,000","€66,900,000","3,105",Block 1  Blanchardstown Corporate Park  Blanchardstown  Dublin 15,http://www.top1000.ie/synopsys,"53.379877,-6.370294",http://www.top1000.ie/images/logo/synopsys,,,http://www.synopsys.com/,@synopsys
Takeda,,,,Pharma,"Takeda Ireland Limited (TIL) has two bases in Ireland.TIL Bray, a wholly-owned subsidiary of Takeda Pharmaceutical Company has played a key role in Takeda's worldwide operations since being established in 1997. To date employing over 400 people and serving as the main pharmaceutical production base for blockbuster products to the European and U.S markets.In 2002 the first Takeda API (Active Pharmaceutical Ingredient) plant outside Japan, Takeda Ireland, Grange Castle was constructed in Clondalkin, Dublin 22. The plant will be the launch vehicle for new strategic products for global markets developing and producing API's from clinical trial stages through to launch and full commercialisation.","€76,600,000","-€47,400,000",366,Bray Business Park  Kilruddery  Co. Wicklow,http://www.top1000.ie/takeda,"53.177582,-6.107846",,,,http://www.takeda.ie/,
Tara Mines,,,,Resources,"Tara Mines near Navan, Co Meath is Europe's biggest zinc mines. The company extracts ore from the zinc and lead mine, processes it to produce zinc and lead concentrates for export. It is also involved in exploration for mineral deposits. It employs 707 people in Ireland. It is a subsidiary of Swedish metals company Boliden.","€194,600,000","€10,300,000",717,Knockumber House  Knockumber  Navan  Co Meath,http://www.top1000.ie/tara-mines,"53.650186,-6.722137",,,,http://www.boliden.com/,
Taxback Group,,,,Professional Services Accountancy,"Taxback.com is a multi-national corporation providing specialist tax return services to private and corporate clients across 100 countries. Established in Dublin in 1996 and led by a team of entrepreneurial business executives, taxback.com has 25 offices worldwide, in Europe, Australasia, the United States and South America, and a staff of over 730.","€200,000,000",,875,IDA Business & Technology Park  Ring Road  Kilkenny,http://www.top1000.ie/taxback-group,"52.635804,-7.244193",http://www.top1000.ie/images/logo/taxback-group,,,http://www.taxback.com/,@Taxback
Tech Group Europe,,,,Health,"The Tech Group is specialises in providing contract manufacturing solutions for the medical and consumer industries. Since May 2005, it has been a part of West Pharmaceutical Services Inc. West. The Tech Group has a manufacturing division in Ireland.","€57,100,000","€2,800,000",205,Tech Group Ireland  Damastown Industrial Park  Mulhuddart  Dublin 15,http://www.top1000.ie/tech-group-europe,"53.402807,-6.398126",,,,http://www.techgroup.com/,
Tedcastle,,,,Energy,"Tedcastle Holdings is one of the largest fuel importers and distributors with a diverse range of other businesses right across the island of Ireland. Founded in 1960, Tedcastle Oil Products (TOP) Oil is the most widely known company within the Tedcastle Holdings Group; a 100% Irish owned family firm which dates back over 200 years and comprises business interests as diverse as fuel retailing and distribution, retail stores and property not only in Ireland but also in the United Kingdom and North America.","€1,300,000,000",,400,Dunleary House  Dun Laoghaire  Co Dublin,http://www.top1000.ie/tedcastle,"53.291013,-6.193162",,,,,
Tegral Building Products,,,,Construction,"Founded in 1936, Tegral Building Products has a manufacturing base in Athy, Co. Kildare. It is the only manufacturer of fibre-cement roof slates in Ireland and provides a wide range of slates. The company also supplies quarried natural slates, clay tiles and roofing accessories. Tegral has been a member of the Etex Group since 1988. The Etex group is an industrial group that produces and markets building materials. The group has over 90 subsidiaries across 42 countries and employs 13,500 people.","€24,900,000","-€2,200,000",111,Athy  County Kildare,http://www.top1000.ie/tegral-building-products,"52.991967,-6.986982",http://www.top1000.ie/images/logo/tegral-building-products,,,http://www.tegral.com/,@tegralslates
Teleflex,,,,Health,"Teleflex Medical Europe Limited is part of Teleflex, a manufacturer of disposable medical products for critical care and surgical applications.Teleflex Medical Europe Limited manufactures, sells and distributes disposable medical devices produced by the Group's companies and provides managed services to those companies. The company's European headquarters are located in Athlone, Co. Westmeath.","€326,200,000","€23,800,000",252,IDA Business and Technology Park  Garrycastle  Dublin Road  Athlone  Co Westmeath  Ireland,http://www.top1000.ie/teleflex,"53.481598,-7.90387",http://www.top1000.ie/images/logo/teleflex,,,http://www.teleflex.com/,@TeleflexInc
Temple Street Hospital,,,,Health,Temple Street Children’s University Hospital provides healthcare services in Dublin to sick children. It also trains medical staff and partakes in medical research. It is a registered charity employing approximately 950 people in Dublin.,"€97,800,000","-€600,000",971,70 Eccles Street  Dublin 1,http://www.top1000.ie/temple-street-hospital,"53.35785,-6.265128",http://www.top1000.ie/images/logo/temple-street-hospital,,,http://www.cuh.ie/,@Temple_Street
Tender Meats,,,,Agribusiness,"The group is involved in the retail of grocery, drapery and homeware goods (Dunnes Stores George's Street) and in the manufacturing of foodstuff. The group also manages a number of properties. The Tendermeats meat processing company supplies beef, lamb and pork cuts, retail units nationwide, including Angus beef, Organic beef and Organic lamb meats.","€117,900,000","€7,700,000",362,Unit 17B Canal Turn  Clondalkin Industrial Estate  Clondalkin  Dublin 22.,http://www.top1000.ie/tender-meats,"53.329542,-6.388517",,,,http://www.tendermeats.ie/,
Teradata,,,,Business Technology,"Teradata is an analytic data solutions company focused on data warehousing, data analytics, and business applications that provide intelligence to businesses from customer data they gather. The company has approximately 8,600 employees in 42 countries including Ireland.","€170,100,000","€5,200,000",50,Teradata Ireland Ltd.  First Floor  Building One  Swift Square  Santry Demesne  Santry  Dublin 9  Ireland,http://www.top1000.ie/teradata,"53.40384,-6.251092",http://www.top1000.ie/images/logo/teradata,,,http://www.teradata.com/,@teradata
Tesco,,,,Retailing,"Tesco Ireland employs 14,925 people at 137 stores, distribution depots and its head office in Ireland, serving the grocery and household needs of 450,000 Irish households every week. Its shops include convenience stores, supermarkets and superstores across Ireland selling fresh food, groceries and household products, as well as clothing, books, hardware, electrical goods etc in larger stores. Services offered include Tesco Mobile, Tesco Personal Finance, and a nationwide online grocery shopping service.","€3,000,000,000",,"14,925",Gresham House  Marine Road  Dun Laoghaire,http://www.top1000.ie/tesco,"53.29272,-6.134",http://www.top1000.ie/images/logo/tesco,,,http://www.tesco.ie/,@tescomedia
Teva Pharmaceuticals,,,,Pharma,"Generic pharmaceutical company Teva Pharmaceuticals Ireland is part of Teva Pharmaceutical Industries Ltd and specialises in the development, production and marketing of generic and proprietary branded pharmaceuticals as well as active pharmaceutical ingredients. Teva ranks among the top 20 pharmaceutical companies worldwide.With more than a century of experience in the healthcare industry, the company has over 38,000 employees worldwide and production facilities in Israel, North America, Europe and Latin America.Teva Pharmaeuticals Ireland, formerly known as Ivax Pharmaceuticals, is one of Ireland’s longest established and leading pharmaceutical companies.The firm's commercial arm is based in Dundalk and is responsible for managing the sales and support services for Teva’s large portfolio of products. The Waterford plant is of major strategic importance within the Teva manufacturing network and is responsible for the manufacture and development of respiratory products for supply to the United States and other global markets.","€395,000,000",,501,Unit 301  Waterford Industrial Estate  Waterford,http://www.top1000.ie/teva-pharmaceuticals,"52.186723,-7.086347",http://www.top1000.ie/images/logo/teva-pharmaceuticals,,,http://www.teva.ie/,@tevaHr
The Barry Group,,,,Food,"The Barry Group is a wholesale food and alcohol distribution business based in Mallow, Co Cork. The company is one of the biggest retail groups in Ireland owning Carry Out, Costcutter, Quik Pick and Buy Lo franchises brands and wholesalers.","€215,000,000",,240,Upper Quartertown  Mallow  Co Cork,http://www.top1000.ie/the-barry-group,"52.127931,-8.656145",,,,http://www.barrygroup.ie/,
The Irish Aviation Authority,,,,Transport,The Irish Aviation Authority (IAA) is a commercial semi state company employing approximately 700 people at six locations around Ireland. The IAA has two main functions; the provision of air traffic management & related services in Irish controlled airspace and the safety regulation of the civil aviation industry in Ireland. The IAA receives no State funding. Its revenues are generated through charges and fees raised from its airline customers and regulatory clients in respect of its operational and regulatory activities.,"€173,600,000","€21,300,000",659,Corporate Headquarters  The Times Building  11-12 D'Olier Street  Dublin 2,http://www.top1000.ie/the-irish-aviation-authority,"53.346284,-6.257937",,,,http://www.iaa.ie/,
The Irish Times,,,,Media And Marketing,"The Irish Times is a broadsheet daily newspaper. News reporting from throughout Ireland is accompanied by reports from a comprehensive network of foreign correspondents, as well as sports and business coverage, features and arts sections, lifestyle, jobs and property. The paper's readership comprises an exceptionally high ratio of business and professional readers.The newspaper was established in 1859 by Major Lawrence Knox. In 1974 a Trust was formed with as its main object the securing and maintenance of The Irish Times as “an independent newspaper primarily concerned with serious issues for the benefit of the community throughout the whole of Ireland, free from any form of personal or party political, commercial, religious or other sectional control”.The Trust is unique in Ireland and only a tiny minority of newspapers anywhere in the world are protected from commercial and other pressures in this way.","€85,500,000","-€300,000",447,"The Irish Times Building  24-28 Tara Street  Dublin 2, Ireland",http://www.top1000.ie/the-irish-times,"53.346017,-6.255062",http://www.top1000.ie/images/logo/the-irish-times,,,http://www.irishtimes.com/,@IrishTimes
The Merrion Hotel,,,,Tourism,"The Merrion Hotel on Dublin's Merrion Square comprises 123 rooms and 19 suites. It is controlled by businessman Lochlann Quinn, Glen Dimplex founder Martin Naughton and the Hastings Hotel Group, the Northern hotel company controlled by Billy Hastings.","€16,800,000","€1,600,000",278,The Merrion Hotel  Upper Merrion Street  Dublin 2,http://www.top1000.ie/the-merrion-hotel,"53.338359,-6.252446",http://www.top1000.ie/images/logo/the-merrion-hotel,,,http://www.merrionhotel.com/,@MerrionHotel
The Shelbourne Hotel,,,,Tourism,"The Shelbourne Hotel, a luxury five-star hotel in Dublin city centre overlooking St. Stephen's Green, is a part of the Marriott group.","€26,000,000","€400,000",333,27 St Stephen's Green  Dublin 2,http://www.top1000.ie/the-shelbourne-hotel,"53.33894,-6.256125",http://www.top1000.ie/images/logo/the-shelbourne-hotel,,,http://www.marriott.co.uk/hotels/travel/dubbr-the-shelbourne-dublin-a-renaissance-hotel/,@theshelbourne
Thermo King,,,,Transport,"The main activity of Thermo King Services Limited is to provide administrative and back office services to affiliate companies in relation to the marketing and field sales support activities of Thermo King Europe, Middle East and Africa.Thermo King, a unit of Ingersoll Rand Company Limited, was founded in 1938 and manufactures transport temperature control systems for a variety of mobile applications, including trailers, truck bodies, buses, shipboard containers and railway cars.","€200,000,000",,550,Monivea Road  Mervue  Galway  IRELAND,http://www.top1000.ie/thermo-king,"53.287133,-9.020467",http://www.top1000.ie/images/logo/thermo-king,,,http://www.thermoking.com/,@thermokingeur
Three,,,,Consumer Technology,"Three entered the Irish mobile phone and broadband market in 2005. It has 28 of its own stores across the country as well as a number of other independently-owned stores.In August 2010 Three became the main sponsor of the Irish national football team signing a 10 million euros agreement over four years with the FAI to support all the national teams. It is owned by Hutchison Whampoa, a fortune 500 company which is listed on the HK stock exchange. The company also operates in the UK, Sweden, Denmark, Italy and AustriaIn June 2013, it acquired the Irish operations of Telefonica, O2 Ireland.","€176,700,000","-€113,700,000",351,"Registered Address, 3rd Floor  1 Clarendon Row  Dublin 2",http://www.top1000.ie/three,"53.340868,-6.26245",http://www.top1000.ie/images/logo/three,,,http://www.three.ie/,@ThreeCare
Timac Agro,,,,Agribusiness,"TIMAC Agro Ireland specialises in plant and soil nutrition and dairy hygiene products. Formed in 1995, TIMAC Agro Ireland is one of almost 40 subsidiaries of the Roullier Group, itself trading since 1959. The company's head office along with storage is based in New Ross, Co. Wexford with additional storage facilities in Belfast.","€210,000,000","€11,300,000",12,Head office (ROI and NI)  4 - 5 Priory Court  The Quay  New Ross  Co. Wexford,http://www.top1000.ie/timac-agro,"52.391702,-6.948959",,,,http://www.ie.timacagro.com/,
Tipperary Co-Op,,,,Agribusiness,"Tipperary Co-op was established in 1908. Over the years, it has grown in supplier numbers, milk processing capacity and in scope as a business. Tipperary’s milk intake is approximately 200 million litres, with a processing capacity in excess of one million litres of milk per day. The milk is processed into: cheese, butter, milk powders and other dairy products for export and home markets in its modern manufacturing plant in Tipperary Town. The Co-op manufactures 35,000 tonnes of product annually. Tipperary Co-op has over the years successfully established a balanced market spread. Its dairy product range is extensively marketed in Europe, the U.S.A. and also a significant supplier to the infant formula and ingredients sectors of the domestic market.","€138,800,000","€1,300,000",171,Tipperary Co-operative  Station Road  Tipperary Town  Co. Tipperary,http://www.top1000.ie/tipperary-coop,"52.467347,-8.154611",,,,http://www.tipperary-coop.ie/,
TK Maxx,,,,Retailing,"TK Maxx is part of TJX Europe, the European arm of the TJX Companies, Inc. (NYSE:TJX), an off-price retailer of apparel and home fashions, which is headquartered in the United States.As at October 2011 TK Maxx had 245 stores in the UK and 16 in Ireland. According to the company website TK Maxx sells designer and high street brands in womenswear, menswear, childrenswear, homeware, gifts and accessories at up to 60% less than the recommended retail price.","€142,600,000","€11,900,000",795,50 Clarendon Road  Watford  Hertfordshire  WD171TX,http://www.top1000.ie/tk-maxx,"51.660671,-0.396867",http://www.top1000.ie/images/logo/tk-maxx,,,http://www.tkmaxx.ie/,@TKMaxx_UK
TLT,,,,Agribusiness,"TLT operates a service of purchasing and selection of livestock for feeding and breeding programmes, from calves to finished beef, sheep and pigs.Purchase, selection, transport and sale of livestock are all completed by the company's staff. The company has a fleet of trucks delivering livestock from Ireland to Europe.In November 2013, Grant Thornton was appointed as a receiver to the company.","€31,100,000","€200,000",25,Kilmaglish House  Knockdrin  Mullingar  Co Westmeath,http://www.top1000.ie/tlt,"53.562119,-7.359526",,,,http://www.tltinternational.eu/,
Tmc Dairies,,,,Agribusiness,Operation of dairies and cheese making.,"€158,500,000","-€6,600,000",48,47 Berryhill Road  Artigarvan  Strabane  Co Tyrone  BT82 OHN,http://www.top1000.ie/tmc-dairies,"54.862836,-7.368729",,,,,
TNT,,,,Transport,"TNT Express (Ireland) Limited is a subsidiary of international courier company, TNT Express, which is headquartered in the Netherlands.TNT Express Ireland is located near the airport in Dublin, and employs 237 people. It offers express delivery and freight transport services.","€40,300,000","€700,000",201,Corballis Park  Dublin Airport  Co Dublin,http://www.top1000.ie/tnt,"53.423466,-6.236333",http://www.top1000.ie/images/logo/tnt,,,http://www.tnt.com/,@TNTExpress
Topaz,,,,Energy,"Topaz energy was formed in 2008 by Ion Equity following the merger of the former Shell and Statoil forecourt networks. It operates about 330 petrol stations across the country and accounts for about a quarter of the market.The group, which is part-owned by Denis O'Brien, recorded an 8 per cent rise in revenues to more than €3.17 billion in the 12 months to the end of March 2013. Topaz made a small operating profit of €296,000 but the interest bill on its debt mountain pushed it into the red, with a loss after tax of more than €13 million.","€3,200,000,000","-€13,600,000","1,489",TOPAZ House  Beech Hill  Clonskeagh  Dublin 4.,http://www.top1000.ie/topaz,"53.313432,-6.237701",,,,http://www.topaz.ie/,
Topaz Direct,,,,Energy,"Topaz Direct is a division of Topaz Energy Limited. The firm supplies home heating oil and fuel to farmers, businesses, schools, churches, wholesale, marine and transport customers.","€207,800,000","-€1,700,000",34,5 Airport Road  Belfast BT3 9EU,http://www.top1000.ie/topaz-direct,"54.605402,-5.895584",,,,http://www.topazoildirect.co.uk/aspx/homepage.aspx,
Topline,,,,Construction,"Amalgamated Hardward Plc trades as Topline, which is a building supplies and hardware buying group. It has over 80 members and more than 160 store locations nationwide. It was founded in the mid-1970s, and is headquartered in Naas, Co Kildare.","€115,500,000","€1,700,000",43,Naas Industrial Estate  Naas  Co Kildare,http://www.top1000.ie/topline,"53.229614,-6.637801",,,,http://www.topline.ie/,
Torski Limited,,,,Tourism,Torski Limited is the group behind the four-star Talbot Hotel Group and the long-established Wexford-based Pettitt’s supermarkets. The group also operates the Stillorgan Park Hotel in Dublin.,"€108,100,000","€1,300,000",731,Stillorgan Road  Co. Dublin,http://www.top1000.ie/torski-limited,"53.29624,-6.2039",,,,,
Total Produce,,,,Agribusiness,"Total Produce grows, sources, imports, packages, distributes and markets over 200 lines of fresh fruits, vegetables and flowers. A spin off of Fyffes, the company is made up of the former general produce and distribution division of the company, and was included in Dublin's IEX in 2006. It operates out of 90 facilities across some 19 countries including Ireland (Total Produce Ireland), Spain (Grupo Arc Eurobanan), Sweden & Denmark (Total Produce Nordic, Lembcke, Everfresh), the United Kingdom (Total Produce UK), and the Czech Republic (Hortim International). The group also has operations in markets including South Africa (Rapiprop, Capespan), Slovakia (Hortim International), India (Khet Se Distribution, Suri Agrofresh PVT), Italy (Peviani) and the Netherlands (Total Produce bv, Haluco bv, Nedalpac bv, Anaco & Greeve International).","€3,200,000,000","€48,200,000","3,933",Charles McCann Building  Rampart Road  Dundalk  Co Louth  Ireland,http://www.top1000.ie/total-produce,"54.000946,-6.402573",http://www.top1000.ie/images/logo/total-produce,,,http://www.totalproduce.com/,@totalproduce
Touax Rail,,,,Transport,"The main activity of the company is the procurement and distribution of railcars within Europe and America. It is also involved in the management of railcars for other railcar owners. The company is a subsidiary of Touax, a French company whose history stretches back to 1855.","€48,500,000","€900,000",8,Bracetown Business Park  Clonee  Co Meath,http://www.top1000.ie/touax-rail,"53.409744,-6.439941",http://www.top1000.ie/images/logo/touax-rail,,,http://www.touax.com/,@TouaX
Tougher's Oil Distributors,,,,Energy,"Tougher's Oil Distributors distributes petroleum related products, operates a chain of service stations, shops and restaurants. The company is also involved in the building of industrial units to rent and sell.On February 20th, 2013, KPMG were appointed joint receivers of the company.","€82,200,000","-€60,000,000",140,Newhall  Naas  Co Kildare,http://www.top1000.ie/toughers-oil-distributors,"53.214991,-6.718613",,,,https://www.toughers.ie/,
Tourism Ireland,,,,Tourism,"Tourism Ireland was established under the framework of the Belfast Agreement of Good Friday 1998. It is jointly funded by the Irish Government and the Northern Ireland Executive on a two to one ratio.It employs approximately 150 people in markets such as Great Britain, USA and Canada, France, Germany, the Netherlands, Denmark, Belgium, Italy, Spain, Austria, Switzerland and Australia. It has offices in a number of countries including Ireland, South Africa, New Zealand, China, India, and the Middle East.Tourism Ireland works with the two tourist boards on the island, Fáilte Ireland and the Northern Ireland Tourist Board, who are responsible for product and enterprise development and marketing to tourism consumers within the island of Ireland.Tourism Ireland is a Company Limited by Guarantee without a Share Capital.","€77,800,000","-€1,800,000",152,5th Floor  Bishop's Square  Redmond's Hill  Dublin 2  Ireland ,http://www.top1000.ie/tourism-ireland,"53.33806,-6.26674",http://www.top1000.ie/images/logo/tourism-ireland,,,http://www.tourismireland.com/,@TourismIreland1
Towers Watson,,,,Professional Services,"Formerly known as Watson Wyatt, Towers Watson is a global professional services company that helps organisations improve performance through effective people, risk and financial management. With 14,000 associates around the world, it offers solutions in the areas of employee benefits, talent management, rewards, and risk and capital management.","€29,100,000","€4,100,000",140,Trinity Point  10-11 Leinster Street South  Dublin 2,http://www.top1000.ie/towers-watson,"53.341797,-6.253534",http://www.top1000.ie/images/logo/towers-watson,,,http://www.towerswatson.com/,@towerswatson
Town of Monaghan Co-Op,,,,Agribusiness,Town of Monaghan Co-op is predominantly involved in production of commodities - milk powders and bulk butter. Town of Monaghan is said to be investigating possible investment in a milk powder plant at Artigarvan.,"€184,000,000","-€3,100,000",,Coolshannagh  Town: Monaghan,http://www.top1000.ie/town-of-monaghan-coop,"54.259373,-6.962697",,,,,
