Name,Role,Motive,Sex,Date Killed,Year of Death,Month of Death,Country Killed,Organization,Nationality,Medium,Job,Coverage,Freelance,Local/Foreign,Source of Fire,Type of Death,Impunity (for Murder),Taken Captive,Threatened,Tortured,Profile on CPJ,Image,Description
Jaime Arturo Olvera Bravo,Journalist,Motive Unconfirmed,Male,"March  9, 2006",2006,March,Mexico,Freelance,,,,,,,,,,,,,http://cpj.org/killed/2006/jaime-arturo-olvera-bravo.php,,"Olvera, a freelance photographer and former correspondent for the Morelia-based daily La Voz de Michoacán, was shot outside his home in La Piedad in the central state of Michoacán.Olvera left his home around 8 p.m. with his 5-year-old son. While they were waiting at a bus stop, an unknown assailant approached Olvera and fired at close range, according to local press reports. A bullet struck Olvera in the neck, and he died at the scene. His son was unharmed.Olvera worked for La Voz de Michoacán until April 2002 when he resigned to become a salesman for a processed meat company, the paper reported. But Olvera continued working as a freelancer, providing photographs and crime tips to local media, the Mexico City-based El Universal said."
Jaime Guadalupe González Domínguez,Journalist,Motive Unconfirmed,Male,"March  3, 2013",2013,March,Mexico,OjinagaNoticias,Mexico,,,,,,,,,,,,http://cpj.org/killed/2013/jaime-guadalupe-gonzalez-dominguez.php,,"An unidentified man shot González, editor of the news website OjinagaNoticias, as he ate at a taco stand in the town of Ojinaga, on the border of Texas, Carlos González, a spokesman for the state Attorney General's office, told CPJ. González said the journalist's camera was taken but that authorities did not consider theft to be the motive.The news site reported that González was with a female companion when he was killed. The attorney general's office said the journalist had been speaking to the female owner of the stand.OjinagaNoticias covered community events, local sports, crime, and politics, but none of its recent reports clearly pointed to a motive for Gonzalez's murder. Local journalists have told CPJ that they can be unaware that their articles have somehow crossed the crime cartels; sometimes, the mere inclusion of a name can spark a reprisal, they said. Ojinaga is in the state of Chihuahua, which is controlled in large measure by organized crime groups. According to journalists in the state, La Linea is considered the pre-eminent crime group in Ojinaga.González had worked for several years as a reporter for the local weekly Contacto, but quit after he received threats, according to a local reporter who spoke on condition of anonymity for fear of reprisal. The reporter said he did not know the details of the threats.In an email to CPJ, a man who identified himself as González's partner for the website said that OjinagaNoticias would close for fear of future attacks. ""I don't want problems. Really, I feel very afraid because of what happened,"" he wrote. He, too, asked for anonymity."
James Edwin Richards,Journalist,Motive Unconfirmed,Male,"October 18, 2000",2000,October,United States,Neighborhood News,,,,,,,,,,,,,http://cpj.org/killed/2000/james-edwin-richards.php,,"Richards, the editor of an e-mail newsletter covering the high-crime Oakwood neighborhood of Venice, California, was shot to death at around 4:15 a.m while walking near his house.Neighborhood News reported on petty theft, drug sales, and other local crimes. Richards was also a longtime community activist and block captain for his community's Model Neighborhood Program.Press reports quoted Venice councilwoman Ruth Galanter as saying that Richards's murder ""appears to have been a straightforward assassination."" She added that Richards had made many enemies in the course of his work as a journalist and activist.At the time of his murder, Los Angeles Police Department officers said that they had no suspects and were not sure about the motive for the crime."
Jamim Shah,Journalist,Motive Unconfirmed,Male,"February  8, 2010",2010,February,Nepal,"Channel Nepal, Space Time Network",Nepal,,,,,,,,,,,,http://cpj.org/killed/2010/jamim-shah.php,,"Two masked gunmen on motorbikes fired on Shah, chairman of Channel Nepal television and the satellite Space Time Network, as he was traveling in a car near the French Embassy in Kathmandu's busy Lazimpat district. Police told local media that Shah had been shot twice in the head and once in the chest.Shah died an hour later while being treated at a nearby hospital, news reports said. Shah's driver, Mathura Man Malakar, suffered a thigh wound. Police told reporters that they had not determined a motive for the shooting.Shah had business interests in several fields but was best known for his media companies. He considered the first to introduce private cable television to Nepal, in 2001. His satellite network controlled virtually all of the distribution of foreign TV channels in Nepal, according to news reports. "
Javier Darío Arroyave,Journalist,Motive Unconfirmed,Male,"September  5, 2007",2007,September,Colombia,Ondas del Valle,,,,,,,,,,,,,http://cpj.org/killed/2007/javier-dario-arroyave.php,,"Arroyave, 41, news director for the Cartago-based radio station Ondas del Valle and host of the news program ""¿Cómo les parece?,"" was stabbed early in the morning inside his home in Cartago, Col. Armando Burbano, a spokesman for Cartago police, told CPJ. Although the journalist's laptop computer was missing, there were no signs of forced entry, Col. Ricardo Restrepo, head of the Valle del Cauca police, told local reporters.Colleagues at Ondas del Valle, which is affiliated with the national Caracol Radio, said Arroyave presented general political and social news that was not particularly critical of the government. The journalist also worked for the state environmental organization Corporación Autónoma Regional del Valle del Cauca, according to colleagues. He had worked as a Cartago correspondent for the national daily El Tiempo until 2005, and was recently a freelance contributor for the paper, a source at El Tiempo said.In May 2005, Arroyave canceled his news program temporarily after continuous pressure from Luis Alberto Castro, then the Cartago mayor, whom the journalist accused of corruption, said Carlos Cortés, executive director of the local press freedom group Fundación para la Libertad de Prensa. Arroyave had not mentioned receiving threats in recent months, colleagues told CPJ.Burbano told CPJ that investigators believe the murder was a crime of passion, but colleagues said they have not discounted Arroyave's journalism as a possible motive."
Jawad al-Daami,Journalist,Motive Unconfirmed,Male,"September 23, 2007",2007,September,Iraq,Al-Baghdadia,,,,,,,,,,,,,http://cpj.org/killed/2007/jawad-al-daami.php,,"Several gunmen in a car shot al-Daami, 40, a producer for the independent Cairo-based satellite channel Al-Baghdadia, in Baghdad's southwestern neighborhood of Al-Qadissiya at around 4 p.m., a source at the channel told CPJ. The source said that al-Daami was heading home southwest of Baghdad. He added that al-Daami, a well-known poet, had gone to Baghdad to attend a cultural conference on his day off from work.The motive for the killing was unclear, but the crime scene was in a neighborhood occupied by several militia groups known to target journalists, according to local reporters.The Journalistic Freedoms Observatory, an Iraqi press freedom organization, quoted Al-Baghdadia sources as saying that al-Daami met with several colleagues earlier that day in Baghdad's Al-Mansour neighborhood to plan a young people's cultural forum. Al-Daami worked on cultural and social programs for Al-Baghdadia, writing and researching in his role as a line producer."
Jawed Ahmad,Journalist,Motive Unconfirmed,Male,"March 11, 2009",2009,March,Afghanistan,Freelance,,,,,,,,,,,,,http://cpj.org/killed/2009/jawed-ahmad.php,http://cpj.org/killed/photos/jawed_ahmad.jpg,"Ahmad, 23, was shot while driving on a main street in Kandahar, not far from the governor’s palace, according to The Canadian Press and Agence France-Presse. Another car, which the Canadian network CTV identified as a white Toyota, pulled alongside the passenger side and a gunman opened fire. Ahmad died at the scene, CTV said, citing Qasim Khan, the physician who pronounced him dead. The journalist was known by his nickname, Jojo, and also used the surname Yazemi or Yazamy.Ahmad was a freelance field producer for CTV and worked for a number of other news organizations. He also pursued business projects unrelated to journalism.Paul Workman, a former CTV Afghanistan correspondent, wrote glowingly about Ahmad in a station blog post: “Jojo was good. He had no training in journalism, but pursued stories with enviable passion and courage, driven by an urge to get ahead fast. He wanted to take better pictures than anybody else, he wanted to get better interviews; he simply wanted to please. And he wasn’t afraid, or at least he never showed it.”Beginning in October 2007, U.S. military forces detained Ahmad and held him without charge for 11 months. The U.S. Department of Defense said he was being held as an “unlawful enemy combatant” but gave no further explanation. The journalist was freed from Bagram Air Base in September 2008. He was never charged with a crime. No claims or responsibility came from any political or militant groups in the days after his death."
Jean Paul Ibarra Ramírez,Journalist,Motive Unconfirmed,Male,"February 13, 2009",2009,February,Mexico,El Correo,Mexico,,,,,,,,,,,,http://cpj.org/killed/2009/jean-paul-ibarra-ramirez.php,,"Ibarra, a photographer for the Iguala newspaper El Correo, and Yenny Yuliana Marchán Arroyo, a contributor to the local daily Diario 21, were riding a motorcycle to an assignment around 10 p.m. A gunman aboard a second motorcycle pulled alongside and fired repeatedly, according to news reports and the special prosecutor for crimes against journalists.The gunman then shot the photographer a final time in the head, police told CPJ. Ibarra, 33, died at the scene, press reports said. Marchán, 22, was hit three times and suffered leg wounds. Local journalists told CPJ that Ibarra had mentioned receiving at least one threat in relation to his work.In March 2009, state investigators announced the arrest of a local merchant, Mario Cereso Barrera, and said the killing had been motivated by a dispute over a necklace transaction. Local reporters told CPJ they were skeptical about the investigation, particularly the alleged motive and investigators’ apparent failure to interview witnesses. Guerrero state human rights officials have seconded their concerns. Hipólito Lugo Cortes, director of the Guerrero state human rights commission, issued a statement expressing concern that Cereso had made self-incriminating statements under duress.The Guerrero state attorney general’s office did not respond to CPJ requests for comment on the case or the accusations made by the local human rights office.Cereso remained in detention without formal charge as of June 2010."
Jeanne d'Arc Mukamusoni,Journalist,Motive Unconfirmed,Female,"June  1, 1994",1994,June,Rwanda,Le Soleil,,,,,,,,,,,,,http://cpj.org/killed/1994/jeanne-darc-mukamusoni.php,,"Mukamusoni, director of the opposition newspaper Le Soleil, which was close to the Social Democrat Party, was killed by militiamen at a checkpoint in Nyakabanda as she tried to flee Kigali."
Jesus 'Jessie' Tabanao,Journalist,Motive Unconfirmed,Male,"September 14, 2013",2013,September,Philippines,DYRC,Philippines,,,,,,,,,,,,http://cpj.org/killed/2013/jesus-jessie-tabanao.php,,"An unidentified man on a motorcycle shot Tabanao five times outside of his parked car at around 11:45 p.m. in Kamputhaw village in Cebu City, according to news reports. A security guard who witnessed the attack told reporters that the gunman was wearing a full-face helmet and fled the crime scene after the shooting, the reports said. Police recovered eight empty shells from a handgun at the crime scene, according to the reports.An autopsy found that Tabanao had been hit in the heart, lungs, and spine. He also had gunshot wounds in his back and right armpit.A Special Investigation Task Group Tabanao was launched two days after the killing, according to news reports. The head of the group, Police Superintendent Reycel Carmelo Dayon, told local media that Tabanao's death was probably drug-related. He said police were investigating text messages that Tabanao had received on three of his cellphones.Tabanao had frequently reported on the illegal drug trade on the station's ""Police Line Up"" and ""Drug Watch"" programs at dyRC Radyo Calungsod. He also served as a spokesman for the Philippine Drug Enforcement Agency, and often met with informants on drug-related cases, according to news reports, though he was not deeply involved in making arrests.Robbery did not appear to be a motive. Police found about 50,000 pesos (about US$1,150) in Tabanao's possession when they arrived. On October 2, police announced they had identified a suspect, a man they said was a hit man for a drug syndicate. The police did not name the suspect and have made no arrests."
Jesús Rafael Flores Rojas,Journalist,Motive Unconfirmed,Male,"August 23, 2006",2006,August,Venezuela,La Región,,,,,,,,,,,,,http://cpj.org/killed/2006/jesus-rafael-flores-rojas.php,,"Flores, 66, columnist and Anzoátegui coordinator for the Cumaná-based daily La Región, was shot by an unidentified assailant in front of his house.At 9 p.m., as Flores and his daughter Nancy were putting their car into the garage, an armed man approached the journalist. The daughter said that she implored the attacker to take their car and money, but the assailant told her that he wasn't there for either and shot the journalist repeatedly. Flores was struck eight times, in the face, neck, and arm, Luis Marcano Barrios, editor of La Región, told CPJ.Flores wrote a weekly column in which he often criticized local government officials. Marcano said Flores had told him that he had received several death threats, the most recent coming a month earlier when an unidentified caller told Flores to stop criticizing the municipal government. Family members said they didn't know of any threats against Flores, the local press reported.Police Commissioner José Rivero Alfonzo told reporters that the murder appeared to be the work of a professional hit man. Rivero said that police were reviewing Flores' columns in search of a motive or suspects."
Jill Dando,Journalist,Motive Unconfirmed,Female,"April 26, 1999",1999,April,United Kingdom,BBC,,,,,,,,,,,,,http://cpj.org/killed/1999/jill-dando.php,,"Dando, a prominent television presenter on the BBC Crimewatch program, was shot in the head outside her London home.Dando was a well-known television personality and had earlier been stalked by a fan. The London weekly Observer reported that someone claiming to be a Serb had contacted Dando two weeks before her death to say she should not have made an appeal on behalf of Kosovar Albanian refugees. Police explored leads to a wide range of potential suspects, including an alleged Serb assassin and a jilted lover.On July 2, 2001, a local man named Barry George was convicted and sentenced to life in prison for the murder. Following the trial, however, several British newspapers openly questioned the conviction, pointing out that the murder weapon was never recovered, there were no witnesses to the crime, and no motive was ever established.George, who served eight years in prison, appealed and won a retrial. In August 2008, he was acquitted. "
Jitendra Singh,Journalist,Motive Unconfirmed,Male,"April 27, 2013",2013,April,India,Prabhat Khabhar,India,,,,,,,,,,,,http://cpj.org/killed/2013/jitendra-singh.php,,"Singh, 42, a part-time reporter for a local Hindi daily Prabhat Khabhar, was shot dead in Khunti district while he and two friends were visiting a construction site on the Pasrabeda-Khatanga route, according to news reports. Local citizens told news media that a group of 10 to 12 Maoists had gunned him down and that Singh's friends were able to escape.A letter found in Singh's pocket said he had been killed because he was carrying out government work without the PLFI's permission. Singh also ran a construction business in the area. The letter, which was allegedly signed by members of the People's Liberation Front of India (PLFI), a breakaway Maoist faction, said: ""No one can work in the area without approval of the PLFI,"" according to news reports.The Hindu reported that Singh was allegedly killed in a dispute over collection of a levy on a road-building contract.News reports said Singh had written about activities of the rebels for the past 16 years. M Taleem Vannan, the superintendent of police of Khunti district, said police were investigating the murder."
Jorge Alberto Orellana,Journalist,Motive Unconfirmed,Male,"April 20, 2010",2010,April,Honduras,Televisión de Honduras,Honduras,,,,,,,,,,,,http://cpj.org/killed/2010/jorge-alberto-orellana.php,http://cpj.org/killed/orellana.rtrs.jpg,"Orellana, 50, also known as ""Georgino,"" was shot by an unidentified gunman as he was leaving Televisión de Honduras studios around 9 p.m., according to local news accounts. The assailant fled on foot, the local newspaper Tiempo reported. The journalist was taken to Hospital Mario Rivas, where he was pronounced dead.Orellana hosted the program ""En Vivo con Georgino"" (Georgino Live), which focused on local news, mostly related to cultural events, José Peraza, a reporter with Radio Progreso in San Pedro Sula, told CPJ. Orellana did not report on sensitive stories such as organized crime, Tiempo Editor Rubén Escobar said.Before joining Televisión de Honduras, Orellana had worked for the newspaper La Prensa and the country's leading network Televicentro, Honduran media reports said. After the coup that ousted President Manuel Zelaya in June 2009, Orellana left Televicentro because of discomfort with the station's editorial position in support of the interim government, local reporters said. Orellana was also a journalism professor at the National University of Honduras in San Pedro Sula.On April 30, Honduran police arrested Jonathan Joseph Cockborn Delgado and accused him of killing Orellana. Police alleged that Cockborn, who was also wanted on unrelated weapons and theft charges, had committed the killing in the course of a robbery.The next month, prosecutors announced that there was insufficient evidence to file charges against Cockborn in the murder. Cockborn remained in detention in connection with other alleged offenses."
Jorge Lourenço dos Santos,Journalist,Motive Unconfirmed,Male,"July 11, 2004",2004,July,Brazil,Criativa FM,,,,,,,,,,,,,http://cpj.org/killed/2004/jorge-lourenco-dos-santos.php,,"Dos Santos, radio owner and host, was killed in Alagoas State in northeastern Brazil. An unidentified assailant shot dos Santos four times at about 7:30 p.m. outside his home in the town of Santana do Ipanema, 125 miles (200 kilometers) from Maceió, the capital of Alagoas. The journalist was taken to a local hospital but died shortly after arriving.The 59-year-old dos Santos owned radio station Criativa FM, which was based in his home, and hosted a show in which he frequently criticized local politicians and businessmen. Local police have confirmed that the journalist had received death threats and had been the target of two attempted killings, according to the Maceió-based daily Gazeta de Alagoas.According to the Folha news agency, police are investigating whether dos Santos' murder was politically motivated. In addition to his work at the radio station, dos Santos was involved in politics, having run for council in the nearby town of Major Isidoro in 1996 and 2000. His wife has also been involved in local politics. His family believes that local politicians hired the assassin, Gazeta de Alagoas reported."
Jorge Mérida Pérez,Journalist,Motive Unconfirmed,Male,"May 10, 2008",2008,May,Guatemala,Prensa Libre,,,,,,,,,,,,,http://cpj.org/killed/2008/jorge-merida-perez.php,,"At 4 p.m. on May 10, at least one unidentified individual stormed into Mérida's home in Coatepeque, 130 miles (210 kilometers) southwest of Guatemala City, according to press reports and CPJ interviews. Mérida, 40, the local correspondent for the Guatemala national daily Prensa Libre, was working at his computer at the time of the attack. The journalist was shot four times in the head, Prensa Libre reported. His 14-year-old son was in the house but was not injured.Miguel Ángel Méndez, Prensa Libre's deputy director, said the journalist had reported on local drug trafficking and government corruption.In the weeks prior to his death, Mérida told colleagues and family members that he had received multiple threats, Méndez told CPJ. But the journalist did not seem overly concerned about the threats and did not give any more details, according to Méndez. Brenda Dery Muñoz, a local prosecutor for crimes related to drug trafficking, told CPJ that Mérida and other reporters had been threatened after covering a police seizure of 440 pounds (200 kilograms) of cocaine.Rosa Salazar Marroquín, spokeswoman for the office of the special prosecutor for crimes against journalists and union members, told CPJ that the prosecutor was investigating possible links between Mérida's death and his journalism."
Jorge Ochoa Martínez,Journalist,Motive Unconfirmed,Male,"January 29, 2010",2010,January,Mexico,El Sol de la Costa,Mexico,,,,,,,,,,,,http://cpj.org/killed/2010/jorge-ochoa-martinez.php,,"Ochoa, an editor and publisher in Guerrero state, was shot after leaving a birthday party for a local politician, local reporters told CPJ. Ochoa owned El Sol de la Costa, a small-circulation weekly based in Ayutla de los Libres.María del Carmen Castro, Ochoa's widow, told local reporters that her husband had recently received cell phone threats. In March, police arrested a suspect who had been involved in a traffic dispute with Ochoa, said Albertico Guinto Sierra, acting state attorney general of Guerrero. "
Jorge Torres Palacios,Journalist,Motive Unconfirmed,,"May 29, 30, 31, June 1, or 2, 2014",2014,Unknown,Mexico,"Dictamen, Libertad Guerrero Noticias",Mexico,,,,,,,,,,,,http://cpj.org/killed/2014/jorge-torres-palacios.php,,"Torres wrote a weekly column on politics and security, called ""Nothing Personal,"" for the Acapulco newspaper El Dictamen. Some of his articles also appeared in the local news website Libertad Guerrero Noticias. He was the spokesman for the Acapulco municipal health department in Guerrero state for two years following his time in a similar position for former Guerrero state Gov. Zeferino Torreblanca. Prior to that, he hosted news programs on the Guerrero state radio and TV networks."
José Abel Salazar Serna,Journalist,Motive Unconfirmed,Male,"March 14, 1998",1998,March,Colombia,,,,,,,,,,,,,,http://cpj.org/killed/1998/jose-abel-salazar-serna.php,,"Salazar, host of the radio program ""Juventud en Acción"" (Youth in Action) on the Todelar station in the central Colombian town of Manizales, was found dead in his apartment in Manizales. He had been stabbed 15 times. Salazar had broadcast appeals for peace and coexistence."
José Alberto Velázquez López,Journalist,Motive Unconfirmed,Male,"December 22, 2009",2009,December,Mexico,Expresiones de Tulum,Mexico,,,,,,,,,,,,http://cpj.org/killed/2009/jose-alberto-velazquez-lopez.php,,"Two men on a motorcycle shot Velázquez twice shortly after the newspaper owner left a staff Christmas party, the paper’s deputy editor, Luis Gamboa, told CPJ. Velázquez was taken to a hospital in Cancún where he died that night, local press reports said. Local reporters told CPJ that Velázquez reported receiving anonymous death threats in the months before his death. The newspaper’s printing press was also firebombed in November 2009.Velázquez wrote articles that were critical of local officials, including the mayor of Tulum. Two reporters who interviewed Velázquez at the hospital on the night he died told CPJ that the publisher had identified the assailants as allies of the mayor. The mayor, Marciano Dzul Caamal, did not respond to repeated efforts by CPJ to reach him for response. But the day after the murder, his office issued a statement repudiating the killing and committing the mayor to helping solve it. In interviews with CPJ, some local journalists accused Velázquez of unethical business practices, including extortion, that could have played a role in the killing."
José Amaya Jacinto,Journalist,Motive Unconfirmed,Male,"April  6, 1998",1998,April,Peru,Radio Satélite,,,,,,,,,,,,,http://cpj.org/killed/1998/jose-amaya-jacinto.php,,"At 8 p.m., at least 12 men armed with pistols and automatic weapons entered the property of the Chumpitaz family in the district of La Unión in the northern department of Piura. The assailants asked Isabel Chumpitaz Panta if she was the journalist, and when she answered affirmatively, they shot her point blank.Her husband, José Amaya Jacinto, was shot when he tried to intervene. Her mother, Rosa Panta de Chumpitaz, was beaten after she gave the assailants her jewelry in an attempt to stop them. Chumpitaz's brother Walter was stabbed in the chest and severely wounded. Another brother, Carlos, was shot in both legs. Local authorities, however, described the attack as a robbery, noting that the men fled with television sets, jewelry, money, and the family's pickup truck, which was abandoned in El Indio, in the district of Castilla.Chumpitaz was well known for her work with media in Piura. She produced ""La Voz del Pueblo"" (The People's Voice), a show broadcast daily on Radio Satélite, which advocated peasants' rights. She was also known as an opponent of President Alberto Fujimori's re-election bid.Her husband was a regular contributor to ""La Voz del Pueblo."" Walter Chumpitaz Panta produces another daily program on Radio Satélite called ""Sombrero de Paja"" (Straw Hat), which also advocates peasant rights.Relatives of the slain journalists informed CPJ that a police officer visited them on April 8, the day the victims were buried, and urged them not to pursue the investigation. On April 20, outraged colleagues marched in the streets of Piura to protest the assassination."
José Arturo Guapacha,Journalist,Motive Unconfirmed,Male,"October 18, 1998",1998,October,Colombia,El Panorama,,,,,,,,,,,,,http://cpj.org/killed/1998/jose-arturo-guapacha.php,,"Guapacha, editor of El Panorama, was fatally shor inside a car repair shop in the town of Cartago, in western Valle del Cauca Department, a region where drug-related violence is common. Guapacha, 39, had worked as a journalist for 18 years. He started his career at radio stations Radio Cadena Nacional and Todelar. At the time of his death, he was editor of El Panorama, a local magazine he founded in 1988. Local journalists informed CPJ that while there is no evidence that Guapacha's death was related to his work as a journalist, he had written stories criticizing drug traffickers and had published the names of people who owed back taxes to the municipal government."
José Bayardo Mairena,Journalist,Motive Unconfirmed,Male,"March 26, 2010",2010,March,Honduras,Excélsior,Honduras,,,,,,,,,,,,http://cpj.org/killed/2010/jose-bayardo-mairena.php,,"Mairena, 52, and colleague Manuel Juárez were driving from the city of Catacamas to Juticalpa, in the province of Olancho, when gunmen intercepted their car and fired at least 26 times, according to local press reports and CPJ interviews. Mairena died at the scene, and Juárez was pronounced dead at a hospital in Juticalpa, according to local news outlets.The two worked together on news and talk programs, typically avoiding sensitive topics, local journalists told CPJ. Contacted by CPJ, police would not discuss any aspect of their investigation. "
José Eli Escalante,Journalist,Motive Unconfirmed,Male,"October 28, 2002",2002,October,Colombia,La Voz de Cinaruco,,,,,,,,,,,,,http://cpj.org/killed/2002/jose-eli-escalante.php,,"Escalante, a correspondent for the radio station La Voz de Cinaruco (Voice of Cinaruco) in the town of Esmeralda, Arauca Department, was shot and killed while returning home from his mother's gravesite, authorities told CPJ.A spokesperson for the Arauca Department Police confirmed that the journalist was shot three times but was unable to provide further details about the murder because officials had lost the report on the crime.Escalante had worked for eight years as a part-time correspondent for the station, said station news director José Domingo Pitta. The journalist, 55, covered community news in Esmereada but, according to Domingo, tried to avoid reporting on sensitive political topics and Colombia's civil conflict.Escalante resigned from his position as an Esmeralda town councilman in July after the leftist Revolutionary Armed Forces of Colombia (FARC) threatened to kill all of Colombia's elected municipal leaders unless they resigned, said Domingo. He told CPJ that Escalante had never been threatened personally.According to Domingo, there are no suspects or a motive in the killing. Local investigators could not be reached for comment.Both the FARC and the smaller leftist National Liberation Army, or ELN, are active in the region, but no armed group has taken responsibility for the killing."
José Emilio Galindo Robles,Journalist,Motive Unconfirmed,Male,"November 24, 2009",2009,November,Mexico,Radio Universidad de Guadalajara,Mexico,,,,,,,,,,,,http://cpj.org/killed/2009/jose-emilio-galindo-robles.php,,"Galindo, anchor and faculty director of a radio station affiliated with Universidad de Guadalajara, was found dead inside his home in Ciudad Guzmán in the western state of Jalisco.Galindo, 43, was gagged and tied to a bed, although he died of a blow to the head, according to authorities quoted in local press reports. Galindo mainly covered environmental issues and political corruption for the Ciudad Guzmán-based station. He hosted a nightly radio and television program, and directed several other radio news broadcasts. The university said Galindo contributed to several local and national newspapers as well.Local authorities declined to comment on the case when approached by CPJ. Jorge Lomelí, Radio Universidad de Guadalajara’s general producer in Ciudad Guzmán, told CPJ that state investigators had visited the station twice to conduct interviews but had not reviewed Galindo’s recent work."
José Givonaldo Vieira,Journalist,Motive Unconfirmed,Male,"December 14, 2009",2009,December,Brazil,"Bezerros FM, Folha do Agreste",Brazil,,,,,,,,,,,,http://cpj.org/killed/2009/jose-givonaldo-vieira.php,,"Three unidentified men in a light-colored compact car intercepted Vieira’s vehicle outside the offices of Bezerros FM, a station owned by the journalist, in the city of Bezerros, 70 miles (110 kilometers) from Recife, according to the national daily O Globo. Witnesses told reporters that one assailant walked up to Vieira’s car and shot him three times in the chest and head. Vieira was taken to a local clinic and then transferred to a regional hospital in the nearby city of Cuararu, where he was pronounced dead.Vieira, 40, hosted the radio program “Bezerros Comunidade,” which focused on local social issues, O Globo reported. He also owned the local newspaper Folha do Agresteand a music production company.Local police were investigating the killing, and authorities offered a reward of 2,000 reals (US$1,200), according to news reports. Investigators told local reporters that Vieira’s murder appeared to be a contract killing. They did not immediately identify a motive."
José Luis León Desiderio,Journalist,Motive Unconfirmed,Male,"February 13, 2006",2006,February,Ecuador,Radio Minutera,,,,,,,,,,,,,http://cpj.org/killed/2006/jose-luis-leon-desiderio.php,,"León, 43, host of a daily news program ""Opinión"" on local Radio Minutera, was shot in the coastal city of Guayaquil. León often denounced gang violence and police inaction in the city, Alejandro Alvarez, a reporter for the daily El Universo, told CPJ.León left his home at 11 p.m. on February 13 to meet his wife, Jenny Piza, at a nearby bus stop, but the two never met. León's wife and daughter found his body near their home early the next day, February 14. Press reports initially said that León had been shot three times, but his wife told CPJ that León was shot once in the head. He was not robbed.Piza told CPJ that León had received a text message on his cell phone threatening him with death a few days before his murder. According to Hugo Asencio, news director for the radio program, a few weeks before the murder León had told him that a group of unidentified men hurled stones at his house.León often reported on gang violence, drug trafficking, and the lack of police in Guayaquil's suburbs, local press reports said. León also worked at a printing press and was studying journalism, Piza told CPJ.On March 2, Guayaquil prosecutor Manuel Alvear Hernández ordered the national police to launch an investigation into the murder. The prosecutor asked Radio Minutera to provide audiotapes of the program to investigators. León's wife and daughter received cell phone death threats after the killing.In June, three men were accused in the killing, according to El Universo. In a report made public on October 27, local prosecutor Miriam Rosales Riofrío cited insufficient evidence in clearing two of the men. El Universo reported that the third man, Medardo Bone Bone, was held after two witnesses identified him as the gunman. No motive was immediately established."
José Luis Rojas,Journalist,Motive Unconfirmed,Male,"July 11, 1994",1994,July,Mexico,La Uníon de Morelos,,,,,,,,,,,,,http://cpj.org/killed/1994/jose-luis-rojas.php,,"Luis Rojas, a prominent reporter for La Uníon de Morelos, was found strangled to death on July 13. He was the second journalist from the paper killed in less than a week. The coroner reported that he had probably been killed two days earlier."
José Luis Romero,Journalist,Motive Unconfirmed,Male,"January, 2010",2010,January,Mexico,Línea Directa,Mexico,,,,,,,,,,,,http://cpj.org/killed/2010/jose-luis-romero.php,http://cpj.org/killed/Jose%20Luis%20Romero.1.jpg,"Masked men kidnapped Romero as he entered a restaurant in Los Mochis about 6 p.m. on December 30, 2009, bundling the reporter into a waiting SUV, according to news reports and CPJ interviews. Eliu Lorenzo Patiño, a former military officer who was accompanying Romero, was also abducted and remained missing.The detective assigned to the abductions was himself murdered about six hours after the kidnappings were reported, Mexican press reports said. The state attorney general told reporters that the two cases might be connected, according to press reports.On January 16, 2010, Romero's body was found along a rural road near Los Mochis, said Rolando Bon López, Sinaloa's assistant state prosecutor. The body had signs of torture; Romero had been shot and his hands had been broken, Bon López said.Romero had covered the crime beat for the statewide radio broadcaster Línea Directa for 10 years, News Director Luis Alberto Díaz told CPJ. He said he believed Romero was the victim of one of two warring drug cartels. Díaz said murdering a well-known broadcaster fit into the cartels' intentions to intimidate the public. ""They want to seed psychosis among the audience; they want to terrorize; they want to keep people's mouths shut,"" Díaz said. "
José Manuel Nava Sánchez,Journalist,Motive Unconfirmed,Male,"November 16, 2006",2006,November,Mexico,El Sol de México,,,,,,,,,,,,,http://cpj.org/killed/2006/jose-manuel-nava-sanchez.php,,"El Sol de MéxicoNovember 16, 2006, in Mexico City, MexicoNava's body was found around 9 a.m. by a cleaner in his Mexico City apartment, according to local press reports. Columnist for the national daily El Sol de México and former director of the Mexico City-based daily Excélsior, he had been stabbed at least seven times in the neck and chest. Local authorities told reporters that a number of valuable items were apparently missing from the journalist's home.Nava had been Excélsiors director from February 2002 until December 2005, when the paper was bought by Grupo Imagen, owner of several Mexican radio stations. Until then, Excélsior had been run by employees as a cooperative. Before taking over as director, Nava had been Excélsiors Washington correspondent for 16 years.In September, Nava began writing the daily column ""Nuevo Poder"" (New Power) for El Sol de México, said Guillermo Chao, information director for the Mexican Editorial Organization, which owns the daily. Nava's columns focused on political and social analysis, Chao told CPJ.On November 6, Nava published a book titled Excélsior, el Asalto Final (Excélsior, the Final Assault), which criticized government officials, Excélsior employees, and business people for their roles in the demise of Excélsior as a cooperative, the local press reported. Nava accused several individuals of dishonesty, The Associated Press quoted Octavio Colmenares, a spokesman for the book's publisher Libros para Todos Editorial, as saying. Both Colmenares and Chao said that they knew of no threats against Nava.Authorities believe Nava knew his murderer and that he was killed for personal reasons, according to a spokesman for the special prosecutor for crimes against journalists. The spokesman told CPJ in December that investigators had put aside theories related to Nava's book."
