Name,Wikipedia Page,Description,Image,Birth Year,Age Term Began (approx.),Term Began,Year Term Began,Term Ended,Year Term Ended,Term length,Days in Term,Royal?,Current?,Birth Place (current city),Country of Birth (current country),Ruler of,Country of Ruled Territory (Current),Political Party,Studies,Role,Religion
Artur Rasizade,http://en.wikipedia.org/wiki/Artur_Rasizade,"Artur Tahir oğlu Rasizadeh (Azerbaijani: Artur Tahir oğlu Rasi-zadə ), often spelled as Artur Rasizade (born 26 February 1935 in Ganja ), is the Prime Minister of Azerbaijan. Rasizade was a long-time Communist Party member during the Azerbaijan SSR period. He was Prime Minister from July 20, 1996 until August 4, 2003, when he resigned, ostensibly due to health reasons, enabling President Heydar Aliyev s son Ilham Aliyev to assume the office. Rasizade continued to act as Prime Minister for Ilham Aliyev, however, and he formally returned to the post on November 4, after Ilham Aliyev was elected as president.",http://commons.wikimedia.org/wiki/Special:FilePath/Dmitry_Medvedev_in_Azerbaijan_3_July_2008-1.jpg?width=300,1935,68,6 August 2003,2003,,,"11 years, 96 days",4118 (on 14th of November),No,Yes,"Ganja, Azerbaijan",Azerbaijan,Azerbaijan,Azerbaijan,New Azerbaijan Party,,Prime Minister,
Kim Yong-nam,http://en.wikipedia.org/wiki/Kim_Yong-nam,"Kim Yong-nam (born 4 February 1928) is the Chairman of the Presidium of the Supreme People's Assembly of North Korea, a position he has held since 1998. Previously he served as Minister of Foreign Affairs from 1983 to 1998. He was elected a member of the Presidium of the Politburo of the Central Committee of the Workers' Party of Korea in 2010.",,1928,70,5 September 1998,1998,,,"16 years, 66 days",5914 (on 14th of November),No,Yes,"Pyongyang, North Korea",North Korea,North Korea,North Korea,,,Chairman,
Sabah Al-Ahmad Al-Jaber Al-Sabah,http://wikipedia.org/wiki/Sabah_Al-Ahmad_Al-Jaber_Al-Sabah,Sabah IV Ahmad Al-Jaber Al-Sabah GCB (Hon) (Arabic: الشيخ صباح الأحمد الجابر الصباح born 16 June 1929) is the 5th Emir of Kuwait and the Commander of the Military of Kuwait. He was sworn in on 29 January 2006 after confirmation by the National Assembly of Kuwait. He is the fourth son of Kuwait's 10th ruler Sheikh Ahmad Al-Jaber Al-Sabah. As of 2014 [update] he was the head of the Sabah monarchy.,http://commons.wikimedia.org/wiki/Special:FilePath/Sheikh_Sabah_IV.jpg?width=300,1929,77,29 January 2006,2006,,,"8 years,285 days",3211 (on 14th of November),Yes,Yes,"Kuwait City, Kuwait",Kuwait,Kuwait,Kuwait,,,Emir,
Pope Francis,http://wikipedia.org/wiki/Pope_Francis,"Pope Francis (Latin: Franciscus; Italian: Francesco; born Jorge Mario Bergoglio, [b] 17 December 1936) is the reigning pope of the Catholic Church, in which capacity he is both Bishop of Rome and absolute Sovereign of the Vatican City State. ",http://commons.wikimedia.org/wiki/Special:FilePath/Pope_Francis_2013.jpg?width=300,1936,77,13 March 2013,2013,,,"1 year,242 days",611 (on 14th of November),Yes,Yes,"Buenos Aires, Argentina",Argentina,Vatican City,Vatican City,,,Pope,
Abdullah,http://wikipedia.org/wiki/Abdullah_of_Saudi_Arabia,"Abdullah ibn Abdilazīz (Arabic: عَبدُٱللهِ ٱبنُ عبدِ العزيزِ ‎ ʻAbdullāh ibnu ʻAbdilʻAzīz, Najdi Arabic pronunciation: [ʢæbˈdɑɫɫɐ ɪbn ˈʢæbdæl ʢæˈziːz ʔæːl sʢuːd], born 1 August 1924)  is the King of Saudi Arabia. He ascended to the throne on 1 August 2005 upon the death of his half-brother, King Fahd. According to Forbes, Abdullah is among the world's most powerful people ranked 8th globally. ",,1924,81,1 August 2005,2005,,,"9 years,101 days",3392 (on 14th of November),Yes,Yes,,,Saudi Arabia,Saudi Arabia,,,King,
Ramesses II,http://en.wikipedia.org/wiki/Ramesses_II,"Ramesses II (Middle Egyptian: ree-A-ma-SAY-sa, transliterated as "" Rameses "" (/ˈræməsiːz/) or "" Ramses "" (/ˈræmsiːz/ or /ˈræmziːz/ ); born c. 1303 BC; died July or August 1213 BC; reigned 1279–1213 BC), also known as Ramesses the Great, was the third pharaoh of the Nineteenth Dynasty of Egypt. He is often regarded as the greatest, most celebrated, and most powerful pharaoh of the Egyptian Empire. His successors and later Egyptians called him the ""Great Ancestor"". Ramesses II led several military expeditions into the Levant, reasserting Egyptian control over Canaan. He also led expeditions to the south, into Nubia, commemorated in inscriptions at Beit el-Wali and Gerf Hussein .",http://commons.wikimedia.org/wiki/Special:FilePath/RamsesIIEgypt.jpg?width=300,-1303 (about),24,-1279,-1279,-1213,-1213,66 years,24106,Yes,No,,,Ancient Egypt,Egypt,,,Pharaoh,
Sargon of Akkad,http://en.wikipedia.org/wiki/Sargon_of_Akkad,"Sargon of Akkad, also known as Sargon the Great ""the Great King"" (Akkadian 𒈗𒁺 Šarru-kīnu, meaning ""the true king "" or ""the king is legitimate""), was a Semitic Akkadian emperor famous for his conquest of the Sumerian city-states in the 23rd and 22nd centuries BC. The founder of the Dynasty of Akkad, Sargon reigned during the last quarter of the third millennium BC. Cuneiform sources agree that he was cup-bearer (official in charge of wine) of king Ur-Zababa of Kish, and some later historians have speculated that he killed the king and usurped his throne before embarking on the quest to conquer Mesopotamia. He was originally referred to as Sargon I until records concerning an Assyrian king also named Sargon (now usually referred to as Sargon I) were unearthed. ",http://commons.wikimedia.org/wiki/Special:FilePath/Sargon_of_Akkad.jpg?width=300,-2360 (about),90,-2270,-2270,-2215,-2215,55 years,20088,Yes,No,"Azupiranu, Iraq",Iraq,Akkadian Empire,Iraq,,,Emperor,
Sophie of Bar,http://en.wikipedia.org/wiki/Sophie_of_Bar,"Sophie of Bar (c. 1004 or 1018 – January 21 or June 21, 1093) was a daughter of Frederick II, Duke of Upper Lorraine (died 1026/1027) and Matilda of Swabia. After her father died, she and her sister Beatrice went to live with their mother's sister, Empress Gisela ",,1004 or 1018,29,1033,1033,1093,1093,60 years,21915,Yes,No,,,Bar ,France,,,Countess,
Gruffudd ap Cynan,http://en.wikipedia.org/wiki/Gruffudd_ap_Cynan,"Gruffudd ap Cynan (c. 1055 – 1137), sometimes written as Gruffydd ap Cynan, was King of Gwynedd from 1081, until his death in 1137. In the course of a long and eventful life, he became a key figure in Welsh resistance to Norman rule, and was remembered as King of all Wales. As a descendant of Rhodri Mawr, Gruffudd ap Cynan was a senior member of the princely house of Aberffraw .",http://commons.wikimedia.org/wiki/Special:FilePath/Gruffydd_ap_Cynan.jpg?width=300,1055 (about),26,1081,1081,1137,1137,c. 56 years,20454 (disputed),Yes,No,"Dublin, Ireland",Ireland,Kingdom of Gwynedd,United Kingdom,,,King,
"William III, Count of Ponthieu","http://en.wikipedia.org/wiki/William_III,_Count_of_Ponthieu",William III of Ponthieu (c. 1093 – 1172) also called William (II; III) Talvas. [a] He was seigneur de Montgomery in Normandy and Count of Ponthieu.,http://commons.wikimedia.org/wiki/Special:FilePath/Armoiries_Ponthieu.png?width=300,1093 (about),26,1119,1119,1171,1171,52 years,18993,Yes,No,,,Alençon,France,,,Count,
"Henry IV, Count of Luxembourg","http://en.wikipedia.org/wiki/Henry_IV,_Count_of_Luxembourg","Henry IV (c. 1112 – 14 August 1196), called the Blind (l'Aveugle or der Blinde ), was count of Luxembourg from 1136 until his death and count of Namur from 1139 until his abdication in 1189. He was the son of Godfrey I, Count of Namur and Ermesinde, a daughter of Conrad I of Luxembourg .","http://commons.wikimedia.org/wiki/Special:FilePath/Henry_IV,_Count_of_Luxembourg.png?width=300",1112 (about),24,1136,1136,1189,1189,53 years,19358,Yes,No,,,Luxembourg ,Luxembourg ,,,Count,
Aliénor d'Aquitaine,http://en.wikipedia.org/wiki/Eleanor_of_Aquitaine,"Eleanor of Aquitaine (French: Aliénor/Éléonore; 1122 or 1124 – 1 April 1204) was one of the wealthiest and most powerful women in western Europe during the High Middle Ages and a member of the Ramnulfid dynasty of rulers in southwestern France. She became Duchess of Aquitaine in her own right while she was still a child, then later Queen consort of France (1137–1152) and of England (1154–1189). She was the patron of literary figures such as Wace, Benoît de Sainte-Maure, and Bernart de Ventadorn .",http://commons.wikimedia.org/wiki/Special:FilePath/Church_of_Fontevraud_Abbey_Eleanor_of_Aquitaine_effigy.jpg?width=300,1122 or 1124,15,9 April 1137,1137,1 April 1204,1204,"66 years,358 days",24464,Yes,No,"Poitiers, France",France,Aquitaine,France,,,Count,
Heinrich III. (Limburg),http://en.wikipedia.org/wiki/Henry_III_of_Limburg,Henry III (c. 1140 – 21 June 1221) was the Duke of Limburg and Count of Arlon from 1165 to his death. He was the son and successor of Henry II and Matilda of Saffenberg.,"http://commons.wikimedia.org/wiki/Special:FilePath/Henry_III,_Duke_of_Limburg.png?width=300",1140 (about),27,10 August 1167,1167,21 June 1221,1221,"53 years,315 days",19673,Yes,No,,,Limburg ,The Netherlands,,,Duke,
Bernhard von Spanheim,http://en.wikipedia.org/wiki/Bernhard_von_Spanheim,Bernhard von Spanheim (or Sponheim) (1176 or 1181 – 4 January 1256) was Duke of Carinthia for 54 years from 1202 until his death. He was a member of the noble House of Sponheim .,http://commons.wikimedia.org/wiki/Special:FilePath/Bernhard_von_Spanheim_Brunnen_Klgft.jpg?width=300,1176 - 1181,26,2 August 1202,1202,5 January 1256,1256,"53 years,156 days",19514,Yes,No,,,Carinthia ,Austria,,,Duke,
"Adolf I, Count of the Mark","http://en.wikipedia.org/wiki/Adolf_I,_Count_of_the_Mark","Adolf I, Count de la Mark (German: Adolf I. Graf von der Mark und Krickenbeck) (c. 1194? – 28 June 1249), until 1226 a.k.a. Adolf I. Count of Altena-Mark, son of Frederick I, Count of Berg-Altena and Alveradis of Krickenbeck, daughter of Reiner of Krieckenbeck-Millendonk. ","http://commons.wikimedia.org/wiki/Special:FilePath/Burg_Altena,_20051030.jpg?width=300",1194 (?),4,1198,1198,1249,1249,51 years,18627,Yes,No,,,Mark ,Germany,,,Count,
"Henry III, Margrave of Meissen","http://en.wikipedia.org/wiki/Henry_III,_Margrave_of_Meissen","Henry III, called Henry the Illustrious (Heinrich der Erlauchte) (c. 1215 – 15 February 1288) from the House of Wettin was Margrave of Meissen and last Margrave of Lusatia (as Henry IV) from 1221 until his death; from 1242 also Landgrave of Thuringia .",http://commons.wikimedia.org/wiki/Special:FilePath/Codex_Manesse_Markgraf_Heinrich_von_Meißen.jpg?width=300,1215 (about),6,18 January 1221,1221,1352,1352,"67 years, 28 days",24499,Yes,No,"Meissen, Germany",Germany,Meissen ,Germany,,,Margrave,
"Barnim I, Duke of Pomerania","http://en.wikipedia.org/wiki/Barnim_I,_Duke_of_Pomerania",Barnim I the Good (c. 1217/1219 – 13 November 1278) from the Griffin dynasty was a Duke of Pomerania (ducis Slauorum et Cassubie) from 1220 until his death.,http://commons.wikimedia.org/wiki/Special:FilePath/Barnim_I.jpg?width=300,1217 - 1219,3,23 January 1220,1220,13 December 1278,1278,"58 years,324 days",21508,Yes,No,,,Pomerania-Stettin,Germany,,,Duke,
Heinrich II. (Baden-Hachberg),"http://en.wikipedia.org/wiki/Henry_II,_Margrave_of_Baden-Hachberg","Henry II, Margrave of Baden-Hachberg (before 1231 – c. 1297/1298) was the ruling Margrave of Baden-Hachberg from 1231 to 1289.",http://commons.wikimedia.org/wiki/Special:FilePath/Heinrich_II._(Baden-Hachberg).jpg?width=300,1231 (about),0,1231,1231,1289,1289,58 years,21184,Yes,No,,,Baden-Hachberg ,Germany,,,Margrave,
"Otto II, Duke of Brunswick-Lüneburg","http://en.wikipedia.org/wiki/Otto_II,_Duke_of_Brunswick-L%C3%BCneburg","Otto II, Duke of Brunswick and Lüneburg (about 1266 – 10 April 1330), also known as Otto the Strict (Otto der Strenge ), came from the House of Welf and was Prince of Lüneburg from 1277 to 1330.",,1266 (about),11,13 December 1277,1277,10 April 1330,1330,"52 years,118 days",19111,Yes,No,,,Brunswick-Lüneburg ,Germany,,,Duke,
Parâkramabâhu VI of Sri Lanka,http://en.wikipedia.org/wiki/Par%C3%A2kramab%C3%A2hu_VI_of_Sri_Lanka,"Parâkramabâhu VI (1410/1412/1415–1467) was a king in the Sri Lankan kingdom of Kotte. He is the last great Sri Lankan king to have united the whole island of Sri Lanka under one flag. His rule is famous for the political stability which he maintained in that time period and the thriving of literature, especially poetry. Classical literature (prose and verse) as well as many rock inscriptions and royal grant letters (patent letters, sannas) have been found, rendering much information pertaining to this period.",,1410 or 1412 or 1415,2,1412,1412,1467,1467,55 years,20088,Yes,No,,,Kotte ,Sri Lanka,,,King,
"William IV, Count of Henneberg-Schleusingen","http://en.wikipedia.org/wiki/William_IV,_Count_of_Henneberg-Schleusingen","Count William IV of Henneberg-Schleusingen (c. 1475 – 24 January 1559), a member of the House of Henneberg, was a ruler of the County of Henneberg, within the Holy Roman Empire .",,1475 (about),5,26 May 1480,1480,24 January 1559,1559,"78 years,243 days",28732,Yes,No,,,Henneberg-Schleusingen ,Germany,,,Count,
Ismail of Morocco,http://en.wikipedia.org/wiki/Ismail_of_Morocco,"Moulay Ismaïl Ibn Sharif (1634? or 1645? – 22 March 1727), reigned 1672–1727. (Arabic: مولاي إسماعيل بن الشريف ابن النصر ‎) was the second ruler of the Moroccan Alaouite dynasty. Like others of the dynasty, Ismaïl claimed to be a descendant of Muhammad through his roots to Hassan ibn Ali. He is also known in his native country as the ""Warrior King"".",,1634 or 1645,38,1672,1672,1727,1727,55 years,20088,Yes,No,,,Morocco,Morocco,,,Sultan,
Pope Cyril V of Alexandria,http://en.wikipedia.org/wiki/Pope_Cyril_V_of_Alexandria,"Pope Cyril V of Alexandria (Abba Kyrillos V), 112th Pope of Alexandria & Patriarch of the See of St. Mark for 52 years, 9 months and 6 days. He was the longest-serving Pope in the history of the Coptic Orthodox Church He was born as Youhanna (John) in 1824 or 1830/1831 according to different accounts; died 7 August 1927.",http://commons.wikimedia.org/wiki/Special:FilePath/Pope_Cyril_V_of_Alexandria.jpg?width=300,1824 or 1830 or 1831,50,1 November 1874,1874,7 August 1927,1927,"52 years,279 days",19272,Yes,No,"Beni Suef, Egypt",Egypt,Coptic Orthodox Church,N/A - Coptic Orthodox Church,,,Pope,"Church of Alexandria, Coptic, Orthodox, Christianism"
Saqr bin Mohammad al-Qassimi,http://en.wikipedia.org/wiki/Saqr_bin_Mohammad_al-Qassimi,"Sheikh Saqr bin Muḥammad Al Qasimi (c. 1918–1920 [a] – 27 October 2010) was the Emîr (Arabic: أمير ‎) (Ruler) of Ras Al Khaimah, a sheikhdom of the Persian Gulf and member of the United Arab Emirates, from 1948 to 2010.",,1918 - 1920,30,17 July 1948,1948,27 October 2010,2010,"62 years,102 days",22747,Yes,No,,,Ras Al Khaimah ,United Arab Emirates,,,Emir,
Yoweri Museveni,http://en.wikipedia.org/wiki/Yoweri_Museveni,Yoweri Kaguta Museveni (pronunciation(help·info); born 15 August c. 1944) is a Ugandan politician who has been President of Uganda since 29 January 1986.,http://commons.wikimedia.org/wiki/Special:FilePath/Museveni_July_2012_Cropped.jpg?width=300,1944 (about),42,29 January 1986,1986,,,"28 years, 285 days",10516 (on 14th of November),No,Yes,"Ntungamo, Uganda",Uganda,Uganda,Uganda,National Resistance Movement,University of Dar es Salaam,President,Christianism
Vakhtang I Gorgasali,http://en.wikipedia.org/wiki/Vakhtang_I_Gorgasali,"Vakhtang I Gorgasali (Georgian: ვახტანგ I გორგასალი) or Vakhtang the Wolf Head (c. 439 or 443 – 502 or 522), of the Chosroid dynasty, was a king of Iberia, natively known as Kartli (eastern Georgia) in the second half of the 5th and first quarter of the 6th century.",,439 or 443,8,447,447,522,522,75 years,27393,Yes,No,,,Kingdom of Iberia,"Georgia, Turkey, Russia, Armenia, Azerbaijan",,,King,
Harald I (Norwegen),http://en.wikipedia.org/wiki/Harald_I_of_Norway,"Harald Fairhair (Old Norse: Haraldr hárfagri, Norwegian: Harald Hårfagre; c. 850 – c. 932) was remembered by medieval historians as the first King of Norway. According to traditions current in Norway and Iceland in the twelfth and thirteenth centuries, he reigned from c. 872 to 930. Most of his life remains uncertain, since the extant accounts of his life in the sagas were set down in writing around three centuries after his lifetime. A few remnants of skaldic praise poems attributed to contemporary court poets exist which seem to refer to Harald's victories against opponents in Norway. The information supplied in these poems is inconsistent with the tales in the sagas in which they are transmitted, and the sagas themselves often disagree on the details of his background and biography. Two of his sons, Eric Bloodaxe and Haakon the Good, succeeded Harald to become kings after his death.",http://commons.wikimedia.org/wiki/Special:FilePath/Flateyjarbok_Haraldr_Halfdan.jpg?width=300,850 (about),10,860,860,933,933,73 years,26663,Yes,No,Norway,Norway,Norway,Norway,,,King,Norse religion
Conrad I of Burgundy,http://en.wikipedia.org/wiki/Conrad_of_Burgundy,"Conrad the Peaceful (c. 925 – 19 October 993) was the king of Burgundy from 937 until his death. He was the son of King Rudolph II, the first king of a united Burgundy and Bertha of Swabia. Conrad is sometimes numbered Conrad I as king of Burgundy and as Conrad III of Provence, since he inherited Provence in 948. ",,925 - 937,12,11 July 0937,0937,19 October 0993,0993,"56 years,100 days",20554,Yes,No,,,Burgundy,France,,,King,
Alberto Azzo II d’Este,"http://en.wikipedia.org/wiki/Albert_Azzo_II,_Margrave_of_Milan","Alberto Azzo II (997 or July 10, 1009, Modena – August 20, 1097, Modena), Margrave of Milan, and Liguria, Count of Gavello and Padua, Rovigo, Lunigiana, Monselice, and Montagnana, aka, Albertezzo II, was a powerful nobleman in the Holy Roman Empire. He is considered the founder of Casa d'Este (House of Este ), having been head of the first family to be master of Este, a town of Padua.",http://commons.wikimedia.org/wiki/Special:FilePath/Kunigunda_Azzo.jpg?width=300,997 or 1009,32,1029,1029,1097,1097,68 years,24836,Yes,No,"Modena, Italy",Italy,Milan,Italy,,,"Magrave, Count",
"Ermanaric, King of the Ostrogoths",http://en.wikipedia.org/wiki/Ermanaric,"Ermanaric (Gothic: Aírmanareiks; Latin: Ermanaricus; Old English: Eormenric; Old Norse: Jǫrmunrekr; died 376) was a Greuthungian Gothic King who before the Hunnic invasion evidently ruled a sizable portion of Oium, the part of Scythia inhabited by the Goths at the time. He is mentioned in two Roman sources; the contemporary writings of Ammianus Marcellinus and in Getica by the 6th-century historian Jordanes. Modern historians have postulated that Ermanaric at one point ruled a realm stretching from the Baltic Sea to the Black Sea as far eastwards as the Ural Mountains. ",,,,196,196,276,276,80 years (disputed),29219 (disputed),Yes,No,,,Oium,"Ukraine, Moldova, Romania",,,King,
Fan Yi,http://en.wikipedia.org/wiki/Fan_Yi,"Fan Tat also known as Pham Dat or Fan Yi was the King of Champa, then known as Lin-yi, from 284 to 336. In 284, the King sent the first Cham envoy to the Eastern Jin Emperor. He died in 336, and was succeeded by his commander in chief. Fan came to the throne after a protracted campaign led by his predecessor Fan Hsiung who led attacks on the Chinese province of Jiaozhi. ",,,,284,284,336,336,52 years,18993,Yes,No,,,Champa,Vietnam,,,King,
Shapur II,http://en.wikipedia.org/wiki/Shapur_II,"Shapur II (Middle Persian: 𐭱𐭧𐭯𐭥𐭧𐭥𐭩 Šāhpuhr ), also known as Shapur II the Great (Persian: شاپور دوم بزرگ ‎), was the tenth king of the Sasanian Empire. The longest reigning monarch of the Sassanid dynasty, he reigned from 309 to 379 and was a son of Hormizd II. During his long reign, the Sasanian Empire saw its first golden era since the reign of Shapur I (241–272). His name is sometimes given in English as ""Shahpour"" or ""Sapor"". ",http://commons.wikimedia.org/wiki/Special:FilePath/Shapur.jpg?width=300,,,310,310,379,379,69 years,25202,Yes,No,"Firuzabad (Fars), Iran",Iran,"Persian Empire, Sassanid Dynasty",Iran,,,King,Zoroastrianism
Pawl,,,,,,480 (about),out),540,540,c. 60 years,21915,Yes,No,,,"Glywysing, Wales",United Kingdom,,,King,
Aescwine z Essex,http://en.wikipedia.org/wiki/Aescwine_of_Essex,"Æscwine, or Erkenswine, Erchenswine in the Anglo-Saxon royal genealogies is listed as the first king of Essex. If historical, he would have flourished during the 6th century.",http://commons.wikimedia.org/wiki/Special:FilePath/Erkenwin_-_John_Speed.JPG?width=300,,,-472,-472,587,587,c. 60 years,21915,Yes,No,,,Kingdom of Essex,United Kingdom,,,King,
Bhavavarman I,http://en.wikipedia.org/wiki/Bhavavarman_I,"Bhavavarman I (Khmer: ភវវរ្ម័នទី១) was a king of the Cambodian kingdom of Kamboja, which would later become the Khmer empire. Though the full dates of his reign are unknown, it is known that he reigned around the year 550.",,,,550,550,600,600,50 years,18262,Yes,No,,,Khmer Empire,Cambodia,,,King,Hinduism
Emperor Mun of Balhae,http://en.wikipedia.org/wiki/Emperor_Mun_of_Balhae,"King Mun of Balhae (r. 737–793), also known as Dae Heum-mu, was the third and longest-reigning ruler of the Balhae, the successor state to Goguryeo. He succeeded his father King Mu, upon his death in 737.",,,,737,737,793,793,56 years,20454,Yes,No,,,Balhae ,North Korea,,,King,
Maredydd ap Rhain,,,,,,740,740,797,797,c. 57 years,20819 (disputed),Yes,No,,,"Dyfed, Wales",United Kingdom,,,King,
Eberhard III,,,,,,864,864,920,920,56 years,20454,Yes,No,,,"Nordgau , Alsace",France,,,Count,
Guilhem III,,,,,,978,978,1037,1037,59 years,21549,Yes,No,,,Toulouse,France,,,Count,
Vinayaditya,http://en.wikipedia.org/wiki/Hoysala_Vinayaditya,"Vinayaditya (r.1047–1098 CE), an able Jain king of the Hoysala Empire, distinguished himself as an able feudatory of the Kalyani Chalukyas during his long reign. He helped bring many small Malnad chiefs like the Kongalvas, Chengalvas, Santharas of Humcha Shimoga and the Kadambas of Bayalnadu (Vainadu) under control. After the complete disappearance of the Gangas during Chola occupation of Gangavadi, Vinayaditya brought some small portions of Gangavadi under his control. He was either a brother-in-law or father-in-law of Chalukya Somesvara I .",,,,1047,1047,1098,1098,51 years,18627,Yes,No,,,Hoysala Empire ,India,,,King,
Vijayabahu I of Sri Lanka,http://en.wikipedia.org/wiki/Vijayabahu_I_of_Sri_Lanka,"Vijayabahu I (born, Prince Kitti) (ruled 1055–1110) was a medieval king of Sri Lanka. Born to a royal bloodline, he grew up at a time when, part of the country was occupied by invaders from the Chola Kingdom of Tamilakam. He assumed rulership of the Ruhuna principality in the southern parts of the country in 1055. Following a seventeen-year-long campaign, he successfully drove the Chola out of the island in 1070,   reuniting the country for the first time in over a century.  During his reign, he re-established Buddhism in Sri Lanka and repaired much of the damage caused to infrastructure during the wars.",,,,1056,1056,1111,1111,55 years,20088,Yes,No,,,Polonnaruwa ,Sri Lanka,,,King,
Kulothunga Chola I,http://en.wikipedia.org/wiki/Kulothunga_Chola_I,"Kō Rājakēsarivarman Abhaya Kulōttunga Chōla was one of the greatest kings of the Chola Empire who ruled in the late 11th century and early 12th century. He was one of the sovereigns who bore the title Kulottunga, literally meaning the exalter of his race. During his early reign he carried out a land survey and settlement as the basis of taxation.  His records also testify to the highly organized system of fiscal and local administration.  He had diplomatic relations with the north Indian city Kanauj as also with far off countries like Cambodia, Sri Vijaya and China. His court poet was Jayamkondar who wrote the poem Kalingattu parani to celebrate the military victories of Kulothunga Chola. He was a liberal ruler as several land grants were given to the members of the Shudra community who were generals and royal officials during his reign. He established Chola overlordship over the Sri Vijaya province Kedah in Malaysia. ",http://en.wikipedia.org/wiki/Special:FilePath/Kulothunga_territories_a.png?width=300,,,1070,1070,1120,1120,50 years,18262,Yes,No,,,Chola Dynasty ,India,,,King,
Roger II,,,,,,1067,1067,1124,1124,57 years,20819,Yes,No,,,Foix ,France,,,Count,
Sizzo III,,,,,,1109,1109,1160,1160,51 years,18627,Yes,No,,,Schwarzburg ,Germany,,,Count,
Géraud III,,,,,,1110,1110,1160,1160,50 years,18262,Yes,No,,,Armagnac ,France,,,Count,
Rapoto I,,,,,,1134,1134,1186,1186,52 years,18993,Yes,No,,,Ortenburg ,Germany,,,Count,
Obizzo I,,,,,,1137,1137,1193,1193,56 years,20454,Yes,No,,,Ferrara,Italy,,,Marquees,
Johann II,,,,,,1263,1263,1316,1316,53 years,19358,Yes,No,,,Holstein-Kiel ,Germany,,,Count,
Engelbert,,,,,,1283,1283,1336,1336,53 years,19358,Yes,No,,,Sayn-Homburg ,Germany,,,Count,
Berthold IV,,,,,,1284,1284,1340,1340,56 years,20454,Yes,No,,,Henneberg-Schleusingen ,Germany,,,Count,
Veera Ballala III,http://en.wikipedia.org/wiki/Veera_Ballala_III,"Veera Ballala III (r.1291–1343) was the last great king of the Hoysala Empire. During his rule, the northern and southern branches of the Hoysala empire (which included much of modern Karnataka and northern Tamil Nadu) were consolidated and administered from Halebidu (also known as Dorasamudra). During his rule, he fought numerous wars with the Yadavas of Devagiri, the Pandyan Dynasty of Madurai and other minor dynasties of South India. But it was his conflict with the invading forces of Alla-ud-din Khilji, and later those of Muhammad bin Tughluq, the Sultan of Delhi, that would alter the course of history of South India. For his courage and fortitude, the historians Suryanath Kamath, Chopra, Ravindran and Subrahmanian have called him a ""great ruler"".  With his death in c.1343, South India saw the raise of a new Hindu empire, the Vijayanagara Empire. In the words of the historian Sen ""the Hoysalas were the greatest among those who claim to be the makers of modern Mysore"". ",,,,1292,1292,1343,1343,51 years,18627,Yes,No,,,Hoysala empire ,India,,,King,
Simon I,,,,,,1273,1273,1344,1344,71 years,25932,Yes,No,,,Lippe ,Germany,,,Count,
Friedrich IV,,,,,,1285,1285,1349,1349,64 years,23375,Yes,No,,,Castell ,Germany,,,Count,
"Heinrich II, Salm-Blankenburg",,,,,,1301,1301,1361,1361,60 years,21915,Yes,No,,,Salm-Blankenburg ,Germany,,,Count,
Johann III,,,,,,1331,1331,1398,1398,67 years,24471,Yes,No,,,Sponheim-Starkenburg ,Germany,,,Count,
Hermann III,,,,,,1352,1352,1403,1403,51 years,18627,Yes,No,,,Henneberg-Aschach-Römhild ,Germany,,,Count,
"Otto I, Solms-Braunfels",,,,,,1349,1349,1409,1409,60 years,21915,Yes,No,,,Solms-Braunfels ,Germany,,,Count,
Sao Nam Nam,,,,,,1364,1364,1417,1417,53 years,19358,Yes,No,,,Kengtung,Myanmar,,,King,
Salentin IV,,,,,,1370,1370,1420,1420,50 years,18262,Yes,No,,,Nieder-Isenburg ,Germany,,,Count,
Bernhard I,,,,,,1364,1364,1421,1421,57 years,20819,Yes,No,,,Bentheim-Bentheim ,Germany,,,Count,
Yi Hham Hka,,,,,,1403,1403,1460,1460,57 years,20819,Yes,No,,,Kengtung ,Myanmar,,,King,
Diether I,,,,,,1408,1408,1461,1461,53 years,19358,Yes,No,,,Isenburg-Büdingen ,Germany,,,Count,
Eberhard I,,,,,,1424,1424,1479,1479,55 years,20088,Yes,No,,,Waldburg-Sonnenburg ,Germany,,,Count,
Wilhelm II,,,,,,1426,1426,1479,1479,53 years,19358,Yes,No,,,Castell ,Germany,,,Count,
Heinrich VIII,,,,,,1419,1419,1490,1490,71 years,25932,Yes,No,,,Fürstenberg-Wolfach ,Germany,,,Count,
Ludwig,,,,,,1443,1443,1503,1503,60 years,21915,Yes,No,,,Salm-Blankenburg ,Germany,,,Count,
Johann VI,,,,,,1451,1451,1505,1505,54 years,19723,Yes,No,,,Salm-Badenweiler ,Germany,,,Count,
Nikolaus III,,,,,,1450,1450,1508,1508,58 years,21184,Yes,No,,,Tecklenburg ,Germany,,,Count,
Louis XIII,,,,,,1449,1449,1517,1517,68 years,24836,Yes,No,,,Oettingen-Wallerstein ,Germany,,,Count,
"Friedrich III, Fürstenberg-Baar",,,,,,1509,1509,1559,1559,50 years,18262,Yes,No,,,Fürstenberg-Baar ,Germany,,,Count,
Wilhelm I,,,,,,1494,1494,1568,1568,74 years,27028,Yes,No,,,Sayn-Wittgenstein ,Germany,,,Count,
Johann Ulrich,,,,,,1530,1530,1600,1600,70 years,25567,Yes,No,,,Stadion ,Germany,,,Count,
Johann VIII,,,,,,1548,1548,1600,1600,52 years,18993,Yes,No,,,Salm-Badenweiler ,Germany,,,Count,
