Vendors,Number of Contracts,Total Value of Contracts,Average Value of Contracts,Location,Location - State,Small Business?,Small Disadvantaged Business?,Historically Underutilized Business Zone?,Sheltered Workshop?,Women Owned Business?,Veteran Owned Business?,Service Related Disabled Veteran Owned Business?,Minority Owned Business?,Minority Institution?,Black American Owned Business?,Historic Black College Or University?,Native American Owned Business?,Hispanic American Owned Business?,Asian Pacific American Owned Business?,Asian Indian Owned Business?,Subcontinent Asian (Asian-Indian) American Owned Business?,Local Government?,Hospital?,Nonprofit Organization?,Educational Institution?,Federal Government?,State Government?,Tribal Government?,Eight?
Shuck Construction,1,"3,216.00","3,216.00","Fairmont, West Virginia, United States",West Virginia,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
SKC,4,"77,980.34","19,495.09","Eighty Four, Pennsylvania, United States",Pennsylvania,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Socially Yours,1,"23,273.00","23,273.00","Baton Rouge, Louisiana, United States",Louisiana,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Sonoma Technology,1,"837,228.00","837,228.00","Petaluma, California, United States",California,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Sony Electronics,1,"4,028.00","4,028.00","Park Ridge, New Jersey, United States",New Jersey,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Southeast Alaska Petroleum Resource Organization,2,"12,596.96","6,298.48","Ketchikan, Alaska, United States",Alaska,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
Southern Tele-Communications,2,"13,125.00","6,562.50","Mobile, Alabama, United States",Alabama,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Southern Truck & Equipment,1,"4,600.00","4,600.00","Theodore, Alabama, United States",Alabama,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Sperry Enterprises Express Personnel,1,"13,031.20","13,031.20","Moses Lake, Washington, United States",Washington,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Springhill Suites,4,"145,775.00","36,443.75","Gulf Breeze, Florida, United States",Florida,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Sprint Communications,2,"375,027.74","187,513.87","Reston, Virginia, United States",Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
ST Net Apptis Firstsource,7,"2,414,327.18","344,903.88","Chantilly, Virginia, United States",Virginia,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
Staples Contract & Commercial,1,"4,798.00","4,798.00","Framingham, Massachusetts, United States",Massachusetts,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Starling Marine,1,"4,600.50","4,600.50","Morehead City, North Carolina, United States",North Carolina,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Stateside Procurement Services,1,"12,496.82","12,496.82","Miami, Florida, United States",Florida,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Staybridge Suites,1,"3,665.57","3,665.57","Gulf Shores, Alabama, United States",Alabama,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Sterling Computers,1,"3,965.00","3,965.00","Norfolk, Nebraska, United States",Nebraska,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Stewart & Stevenson Power Products,1,"3,380.29","3,380.29","Houston, Texas, United States",Texas,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Steyr Motors North Americ,1,"4,000.00","4,000.00","Panama City, Florida, United States",Florida,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Stratus Consulting,34,"109,575,275.14","3,222,802.21","Boulder, Colorado, United States",Colorado,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Subsea Technologies,1,"8,315.00","8,315.00","Katy, Texas, United States",Texas,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Sunshine Equipment Company,1,"9,410.40","9,410.40","Donaldsonville, Louisiana, United States",Louisiana,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Symbolic Technology,1,"4,920.00","4,920.00","Dallas, Texas, United States",Texas,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
Synnex Corporation,1,"292,403.50","292,403.50","Greenville, South Carolina, United States",South Carolina,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Systems Planning And Analysis,1,"716,163.15","716,163.15","Alexandria, Virginia, United States",Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Systems Research And Applications,2,0.00,0.00,"Fairfax, Virginia, United States",Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
T & T Marine Salvage,2,"164,148.63","82,074.32","Galveston, Texas, United States",Texas,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
T.R. Management,3,"6,157.56","2,052.52","Ormond Beach, Florida, United States",Florida,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Tape Resources,1,"24,936.00","24,936.00","Virginia Beach, Virginia, United States",Virginia,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Technical Manufacturing,1,"3,545.00","3,545.00","Peabody, Massachusetts, United States",Massachusetts,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Tecline Supply,1,420.00,420.00,"Brunswick, Georgia, United States",Georgia,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Telaurus Communications,1,"24,800.00","24,800.00","Cedar Knolls, New Jersey, United States",New Jersey,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Teledyne RD Instruments,2,"33,229.42","16,614.71","Poway, California, United States",California,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Telos Corporation,1,"4,021.65","4,021.65","Ashburn, Virginia, United States",Virginia,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Tesla Offshore,1,"32,557.57","32,557.57","Prairieville, Louisiana, United States",Louisiana,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Tetra Tech,11,"3,401,246.00","309,204.18","Reston, Virginia, United States",Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Texas A&M University System,1,"139,696.61","139,696.61","College Station, Texas, United States",Texas,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No
Texas Engineering Experiment Station,1,"11,160.00","11,160.00","College Station, Texas, United States",Texas,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No
Thao Vu,4,"24,811.31","6,202.83","Gulfport, Mississippi, United States",Mississippi,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
The Merchants Company,1,656.39,656.39,"Hattiesburg, Mississippi, United States",Mississippi,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
The Rent Zone,1,"15,280.00","15,280.00","Raceland, Louisiana, United States",Louisiana,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
The State University Of New Jersey - Rutgers,1,"70,608.84","70,608.84","New Brunswick, New Jersey, United States",New Jersey,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
Thermo Fisher Scientific,3,"28,952.42","9,650.81","Asheville, North Carolina, United States",North Carolina,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Thomas Jefferson Construction Corporation,2,"26,967.00","13,483.50","Harvey, Louisiana, United States",Louisiana,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Thomas R. Kitsos,2,"8,615.00","4,307.50","Bethesda, Maryland, United States",Maryland,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Thundercat Technology,1,"39,391.09","39,391.09","Reston, Virginia, United States",Virginia,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Tide Marine Supply,2,"19,200.00","9,600.00","Bayou La Batre, Alabama, United States",Alabama,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Tidewater Electrical And Mechanical Sales,1,"8,837.00","8,837.00","Portsmouth, Virginia, United States",Virginia,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
TKC Integration Services,3,"519,921.33","173,307.11","Anchorage, Alaska, United States",Alaska,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
TNT Transport Services,1,"17,046.40","17,046.40","Temecula, California, United States",California,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Toeroek Associates,6,"510,511.27","85,085.21","Lakewood, Colorado, United States",Colorado,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Travelcell,1,"-3,732.00","-3,732.00","New York, New York, United States",New York,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Trimble Navigation,1,"96,840.00","96,840.00","Dayton, Ohio, United States",Ohio,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Truland Service,1,"3,970.00","3,970.00","Alexandria, Virginia, United States",Virginia,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Turner Designs,3,"67,594.04","22,531.35","Sunnyvale, California, United States",California,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Tyler L. Jandegian,1,"-6,489.00","-6,489.00","River Ridge, Louisiana, United States",Louisiana,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U.S. Legal Support,1,"3,311.30","3,311.30","Houston, Texas, United States",Texas,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Undisclosed Domestic Contractor,1,"7,737.00","7,737.00","Arlington, Virginia, United States",Virginia,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Undisclosed Foreign Contractor (1),1,"-1,046.02","-1,046.02","Arlington, Virginia, United States",Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Undisclosed Foreign Contractor (2),1,"-6,349.46","-6,349.46","Arlington, Virginia, United States",Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Undisclosed Foreign Contractor (3),1,-96.78,-96.78,"Arlington, Virginia, United States",Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Undisclosed Foreign Contractor (4),1,"49,900.00","49,900.00","Arlington, Virginia, United States",Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Undisclosed Foreign Contractor (5),1,"-17,431.41","-17,431.41","Arlington, Virginia, United States",Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Undisclosed Foreign Contractor (6),1,"46,100.00","46,100.00","Arlington, Virginia, United States",Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Undisclosed Foreign Contractor (7),1,"10,049.46","10,049.46","Arlington, Virginia, United States",Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Undisclosed Foreign Contractor (8),1,"15,000.00","15,000.00","Arlington, Virginia, United States",Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Undisclosed Foreign Contractor (9),1,"20,200.00","20,200.00","Arlington, Virginia, United States",Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Undisclosed Foreign Contractor (10),1,"27,875.00","27,875.00","Arlington, Virginia, United States",Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Undisclosed Foreign Contractor (11),1,"5,375.82","5,375.82","Arlington, Virginia, United States",Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Undisclosed Foreign Contractor (12),1,350.00,350.00,"Washington, District Of Columbia, United States",District Of Columbia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Undisclosed Foreign Contractor (13),1,-348.98,-348.98,"Arlington, Virginia, United States",Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Undisclosed Foreign Contractor (14),1,"139,772.25","139,772.25","Washington, District Of Columbia, United States",District Of Columbia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Undisclosed Foreign Contractor (15),1,"6,821.00","6,821.00","Arlington, Virginia, United States",Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Undisclosed Foreign Contractor (16),1,"218,673.57","218,673.57","Washington, District Of Columbia, United States",District Of Columbia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Undisclosed Foreign Contractor (17),1,"-2,824.44","-2,824.44","Washington, District Of Columbia, United States",District Of Columbia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Undisclosed Foreign Contractor (18),1,"18,000.00","18,000.00","Arlington, Virginia, United States",Virginia,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Undisclosed Foreign Contractor (19),1,"4,289.00","4,289.00","Arlington, Virginia, United States",Virginia,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Undisclosed Foreign Contractor (20),1,"297,292.82","297,292.82","Arlington, Virginia, United States",Virginia,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Undisclosed Foreign Contractor (21),1,0.00,0.00,"Arlington, Virginia, United States",Virginia,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Undisclosed Foreign Contractor (22),1,"-43,000.00","-43,000.00","Arlington, Virginia, United States",Virginia,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Undisclosed Foreign Contractor (23),1,"-100,172.82","-100,172.82","Arlington, Virginia, United States",Virginia,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Unisys,1,"-125,468.80","-125,468.80","Mc Lean, Virginia, United States",Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
University Of Alabama - Birmingham,1,"42,768.00","42,768.00","Birmingham, Alabama, United States",Alabama,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
University Of Connecticut,3,"106,903.00","35,634.33","Storrs, Connecticut, United States",Connecticut,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
University Of Florida,3,"392,111.56","130,703.85","Gainesville, Florida, United States",Florida,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No
University Of Miami,1,"190,056.33","190,056.33","Key Biscayne, Florida, United States",Florida,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
University Of South Florida,1,"34,971.03","34,971.03","Tampa, Florida, United States",Florida,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No
University Of Southern Mississippi,5,"290,370.00","58,074.00","Hattiesburg, Mississippi, United States",Mississippi,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
University Of Washington,1,"25,000.00","25,000.00","Seattle, Washington, United States",Washington,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No
Val-Fab,1,"8,100.00","8,100.00","Neenah, Wisconsin, United States",Wisconsin,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Vantage Vehicle International,1,"70,331.13","70,331.13","Corona, California, United States",California,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
Verizon Federal,1,95.61,95.61,"Washington, District Of Columbia, United States",District Of Columbia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Versar,14,"171,772.22","12,269.44","Springfield, Virginia, United States",Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Viasat,1,"29,700.00","29,700.00","Carlsbad, California, United States",California,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Victor Giraldo,1,"5,140.00","5,140.00","Lafayette, Louisiana, United States",Louisiana,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Virginia Polytechnic Institute & State University,6,"3,174,317.88","529,052.98","Blacksburg, Virginia, United States",Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No
Vision Computers,1,"7,938.69","7,938.69","Norcross, Georgia, United States",Georgia,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes
W. & O. Supply,1,"4,934.00","4,934.00","Jefferson, Louisiana, United States",Louisiana,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
W2007 Brv Realty,7,"193,129.15","27,589.88","Diberville, Mississippi, United States",Mississippi,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Wagner-Trading E.U.,1,"2,413.00","2,413.00","Bad Hofgastein, , United States",,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Waters Corporation,2,"120,654.19","60,327.10","Milford, Massachusetts, United States",Massachusetts,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Websedge,1,"27,500.00","27,500.00","London, , United States",,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Wei Ye Jia,1,-768.00,-768.00,"Alexandria, Virginia, United States",Virginia,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Western Ecosystems Technology,1,"78,260.00","78,260.00","Cheyenne, Wyoming, United States",Wyoming,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Western Environmental Technology Laboratories,6,"50,038.76","8,339.79","Philomath, Oregon, United States",Oregon,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Weston Solutions,24,"17,706,499.00","737,770.79","Albuquerque, New Mexico, United States",New Mexico,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Wetland Sciences,3,"412,486.08","137,495.36","Pensacola, Florida, United States",Florida,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Wildlife Computers,1,"5,500.00","5,500.00","Redmond, Washington, United States",Washington,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Williams Scotsman,3,"14,406.53","4,802.18","Baltimore, Maryland, United States",Maryland,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Wood Group Pratt & Whitney Industrial Turbine Services,1,"2,329.47","2,329.47","Bloomfield, Connecticut, United States",Connecticut,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Woods Hole Oceanographic Institution,5,"196,167.00","39,233.40","Woods Hole, Massachusetts, United States",Massachusetts,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
World Communication Center,1,"24,740.00","24,740.00","Chandler, Arizona, United States",Arizona,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
World Data Products,1,"218,630.00","218,630.00","Minnetonka, Minnesota, United States",Minnesota,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Worldwide Corporate Housing,11,"99,915.00","9,083.18","Los Angeles, California, United States",California,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Xerox,2,"16,249.00","8,124.50","Mc Lean, Virginia, United States",Virginia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Yankee Fisherman,1,"348,000.00","348,000.00","Hampton, Virginia, United States",Virginia,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Zeus Electric,1,"101,530.00","101,530.00","Grover Beach, California, United States",California,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
